audit_id,stratum,title,decision,corpus_type,reason_code,rationale,confidence
AUD-0b39e7f4f951,alternate_dynamics_enriched,Model-based and model-free valuation signals in the human brain vary markedly in relation to individual differences in behavioral control.,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-fa60370df827,alternate_dynamics_enriched,Model-based reinforcement learning for ultrasound-driven autonomous microrobots.,include,empirical,include_empirical,Learns recurrent imagined environments for biomedical microrobot control and evaluates navigation performance.,high
AUD-00558f757aa0,alternate_dynamics_enriched,Prefrontal meta-control incorporating mental simulation enhances the adaptivity of reinforcement learning agents in dynamic environments.,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-82f6e10de1f4,alternate_dynamics_enriched,Role of health digital twins in oncology drug development - a primer,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-33a686ae8415,alternate_dynamics_enriched,Structural requirements for intelligent clinical digital twins in feedback-driven care,exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.,medium
AUD-0f4c587f0fe3,alternate_dynamics_enriched,The Anterior Cingulate Cortex Predicts Future States to Mediate Model-Based Action Selection.,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-5b8afa4dfc3d,alternate_dynamics_enriched,Towards Effective Patient Simulators,include,empirical,include_empirical,Introduces a graph-based simulator trained on ICU data and quantitatively compares patient simulators.,medium
AUD-5087605e130b,alternate_dynamics_enriched,Towards Surgical World-Action Modeling: A Preliminary Joint Visual-Trajectory Forecasting for Surgical Motion Planning,include,empirical,include_empirical,Learns joint surgical visual and tool-trajectory dynamics and evaluates 15-step autoregressive forecasts.,high
AUD-0bb84aa3bd2f,phrase_absent_random,Mapping pesticide mixtures to cancer risk at the country scale with spatial exposomics.,exclude,not_applicable,no_future_or_action_evaluation,"The evaluation does not test rollout, intervention response, counterfactuals, or planning.",high
AUD-269342174363,phrase_absent_random,Informing and Evaluating Educational Applications With the Kirkpatrick Model in Virtual Environments: Using a Virtual Human Scenario to Measure Communication Skills Behavior Change,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-c38374316b5f,phrase_absent_random,1042-P: Long-Term Complications after Add-on Treatment to Metformin—UK Real-World Progression in Diabetes (RAPIDS) Model,include,empirical,include_empirical,Uses an adapted microsimulation to project counterfactual five-year outcomes under alternative treatments.,medium
AUD-befa6026a27a,phrase_absent_random,Application of deep learning-based facial pain recognition model for postoperative pain assessment.,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-f5616d86e601,phrase_absent_random,Conceptual blending in humans and language models.,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-9afa5c092202,phrase_absent_random,Mozambique,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-cc7af03af185,phrase_absent_random,Will AI Replace Ophthalmologists?,exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.,high
AUD-36855051ce31,phrase_absent_random,Application of the woodchuck animal model for the treatment of hepatitis B virus-induced liver cancer,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-db7f5243c3da,phrase_absent_random,"S-Model core-corpus research archive: Canonical ontology, general-sense machine, common-universe analysis, and open-bank continuation",exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-6121d25433ab,phrase_absent_random,The Impact of Low EHR-Continuity on Effect Estimates: Evidence from Two EHR-Medicare Linked Databases,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-60a731249f91,phrase_absent_random,Resistive memory-based neural differential equation solver for score-based diffusion model.,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-e8150f457bb0,phrase_absent_random,EHR “SWAT” teams: a physician engagement initiative to improve Electronic Health Record (EHR) experiences and mitigate possible causes of EHR-related burnout,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-17cfbe19a661,phrase_absent_random,Recovering Individual Emotional States from Sparse Ratings Using Collaborative Filtering.,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-4ecfb438361f,phrase_absent_random,Guinea-Bissau,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-2d5736ad6003,phrase_absent_random,INFLUENCE OF VIRTUAL REALITY TOOLS ON HUMAN ANATOMY LEARNING,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-7d1def43588f,phrase_absent_random,Integrated Western and Traditional Chinese Medicine Approaches for Herpes Zoster and Post-Herpetic Neuralgia: A Narrative Review.,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-1c5d8413e95f,phrase_absent_random,The Gambia,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-a7cc87cf05d8,phrase_absent_random,Model Assessment,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-d7b3cbb0164d,phrase_absent_random,Development of a nomogram prediction model for severity of acute pancreatitis based on echocardiography parameters and systemic immunoinflammatory index,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-a045d83b9113,phrase_absent_random,"Attention in Psychology, Neuroscience, and Machine Learning",exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-fd0c4c5f99d2,phrase_absent_random,Intelligence Augmentation: Towards Building Human- machine Symbiotic Relationship,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-8cbd85e2f9de,phrase_absent_random,Exploring the link between synesthesia and lucid dreaming through perceptual presence.,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-ec48d84ccba0,phrase_absent_random,Social Media as a Tool for Patient Education in Neurosurgery: An Overview,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-df48728d8155,phrase_absent_random,Pulmonary valve assessment by three‐dimensional echocardiography,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-eae5a49fc2d0,phrase_absent_random,A Clinical Prediction Model for Complications After Cranioplasty Based on Modified-Brain Collapse Ratio and Comorbidity Burden,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-da73d883b73b,phrase_absent_random,An Extended Epidemic Model on Interconnected Networks for COVID-19 to Explore the Epidemic Dynamics,include,empirical,include_empirical,Evaluates a dynamic epidemic model on Tokyo data and simulates intervention-relevant propagation.,medium
AUD-2d381c43d614,phrase_absent_random,"Patient Data Privacy, Protected Health Information, and Ethics of Real-World Evidence",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-ff5600de04f7,phrase_absent_random,Nutrition assessment in surgical patients: The strategic way to improve outcomes,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-c4518751f366,phrase_absent_random,Fusion of Computer Vision and AI in Collaborative Robotics: A Review and Future Prospects,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-33f2c3e793b3,phrase_absent_random,Biocybersecurity and applications of predictive physiological modelling,exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.,medium
AUD-f6e02fe3397c,phrase_absent_random,Clinical characteristics of patients with hepatitis and cirrhosis and the construction of a prediction model,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-20aba72fa58e,phrase_absent_random,Indonesia,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-3f73d1ad6495,phrase_absent_random,A deep learning-driven cataract screening model derived from multicenter real-world dataset,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-e42dda968bb2,phrase_absent_random,Blockchain Technology Applications in Healthcare Supply Chains—A Review,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-a83095ebc97f,phrase_absent_random,Effect of health education based on information-motivation-behavioral skills model on patients with unilateral vestibular dysfunction,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-ffce4ca7fe24,phrase_absent_random,Data-Centric and Model-Centric AI: Twin Drivers of Compact and Robust Industry 4.0 Solutions,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-a5f175850c9b,phrase_absent_random,Language Models Might Not Understand You: Evaluating Theory of Mind via Story Prompting,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-3983834be75e,phrase_absent_random,Artificial Intelligence Algorithms in Health Care: Is the Current Food and Drug Administration Regulation Sufficient?,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-1417c348ab0e,phrase_absent_random,Designing the Mind: How Agentic Frameworks Are Shaping the Future of AI Behavior,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-aa760359b3ce,phrase_absent_random,A Decentralized Secure Blockchain Model and Lightweight Cryptosystem for Enhancing the EHR Data Security,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-f22cdfc77a20,phrase_absent_random,Machine Learning Models for Predicting Healthcare Spending and Financial Risk in U.S. Insurance and Hospital Networks,exclude,not_applicable,no_future_or_action_evaluation,"The evaluation does not test rollout, intervention response, counterfactuals, or planning.",medium
AUD-20975196e69a,phrase_absent_random,"Advances in the assessment of cosmetic outcomes, sensory alteration in surgical areas, and health-related quality of life of endoscopic thyroidectomy",exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-041c95e05141,phrase_absent_random,,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-066ac9dbde70,phrase_absent_random,Shared Interest: Measuring Human-AI Alignment to Identify Recurring Patterns in Model Behavior,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-0b9acf2391b1,phrase_absent_random,"A review of LLMs and their applications in the architecture, engineering and construction industry",exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-32970b1b27ea,phrase_absent_random,Navigated Exoscopic Transtubular Approach for Lumbar Decompression: Surgical Video,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-dc0c67a949c5,phrase_absent_random,An Alternative to Cognitivism: Computational Phenomenology for Deep Learning,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-26336a4c5902,phrase_absent_random,How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-b8eb5210f983,phrase_absent_random,DoTime: A Synthetic Benchmark Generator for Interventional and Counterfactual Time Series,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-49ece900bc3b,phrase_absent_random,Comparison of the Y-pouch orthotopic neobladder and the Studer technique after radical cystectomy: surgical and functional outcomes from a single-center series,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-6c298ba7fb86,phrase_absent_random,"Chance, probability, and uncertainty at the edge of human reasoning: What is Knightian uncertainty?",exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-066ca53b7072,phrase_absent_random,Forest Environmental Carrying Capacity Based on Deep Learning.,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-10e2c22b3dfb,phrase_absent_random,Universal Digital Twin: Land use,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-2cfce3382d18,phrase_absent_random,"Parsley, pints, and potions: unraveling patient errors in kidney stone care",exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-19a7051b32d2,phrase_absent_random,Gender disparities in hepatitis C treatment: A call for tailored approaches,exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.,high
AUD-39f2e1f295c6,phrase_absent_random,Enhanced Image Annotation in Wild Blueberry ( Vaccinium angustifolium Ait.) Fields Using Sequential Zero-Shot Detection and Segmentation Models.,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-ba620ea17e10,phrase_absent_random,Multi-model applications and cutting-edge advancements of artificial intelligence in hepatology in the era of precision medicine,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-f23757f15963,phrase_absent_random,Innovations in maternal and child health: case studies from Uganda.,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-72da478daf11,phrase_absent_random,RadThinking: A Dataset for Longitudinal Clinical Reasoning in Radiology,exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.,medium
AUD-70329337afdd,phrase_absent_random,A brain-network operator for modeling disease: a first data-based application for Parkinson’s disease,exclude,not_applicable,no_future_or_action_evaluation,"The evaluation does not test rollout, intervention response, counterfactuals, or planning.",medium
AUD-2750980ef38b,phrase_absent_random,Integrating the HFACS Framework and Fuzzy Cognitive Mapping for In-Flight Startle Causality Analysis,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-85b14554ceb9,phrase_absent_random,"Early-stage visual perception impairment in schizophrenia, bottom-up and back again.",exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-86debcdd6fc8,phrase_absent_random,Real-world implementation of an integrated exercise medicine model within routine oncology care.,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-776cfb45247f,phrase_absent_random,Surgical resection for sarcoma in the super-elderly: postoperative outcomes and clinical implications,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-a7c8ed0e628a,phrase_absent_random,Security and Privacy Challenges and Solutions in Autonomous Driving Systems: A Comprehensive Review,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-786635d94d39,phrase_absent_random,"Stepwise model to differentiate pathogenic from non-pathogenic organisms in urinary isolates: Effectiveness, safety, and feasibility prospective study",exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-819774d4de25,phrase_absent_random,"One Small Step for Generative AI, One Giant Leap for AGI: A Complete Survey on ChatGPT in AIGC Era",exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-021bf1832d3a,phrase_absent_random,Multimodal perception-driven decision-making for human-robot interaction: a survey.,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-459c8da79465,phrase_absent_random,"The Mathematical Foundations of Constrained Object Hierarchies-A Universal Framework for World Modeling, General Intelligence and Agentic Systems",exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-568434045571,phrase_absent_random,"Without birth, without death-issues in the research of nondual awareness or consciousness itself.",exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-cc4e00488a5f,phrase_absent_random,Emergency surgical consultation for cancer patients: identifying the prognostic determinants of health,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-50a6df459488,phrase_absent_random,,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-cea9a2a7405d,phrase_absent_random,Evaluation of myocardial function by strain echocardiography in cats with hypertrophic cardiomyopathy phenotypes,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-7a1659375ae9,phrase_absent_random,Methylene blue - an emerging vasopressor,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-09ac7bfff329,phrase_absent_random,,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-bd415dad5d94,phrase_absent_random,Research on diagnosis-related group grouping of inpatient medical expenditure in colorectal cancer patients based on a decision tree model,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-ea3149cef78d,phrase_absent_random,Mechanisms Underlying Disorders of Consciousness: Bridging Gaps to Move Toward an Integrated Translational Science,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-6fabbd709e44,phrase_absent_random,Establishment and evaluation of a prognostic model for patients with unresectable gastric cancer liver metastases,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-8c5a4ed18d25,phrase_absent_random,20 Years of Aberrant Salience in Psychosis: What Have We Learned?,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-288df7565405,phrase_absent_random,Aneurysmal Subarachnoid Hemorrhage; Early Surgery; Neurosurgeons Experience; Patient Outcome,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-9f287ad93072,phrase_absent_random,Establishment and verification of prediction model of occult peritoneal metastasis in advanced gastric cancer,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-06020daee0f4,phrase_absent_random,Prelims,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-4271bfe394e6,phrase_absent_random,Mannitol-facilitated entry of vancomycin into the central nervous system inhibits neuroinflammation in a rat model of MRSA intracranial infection by modulating brain endothelial cells,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-50acec798fd1,phrase_absent_random,Network Public Opinion Prediction and Control Based on Edge Computing and Artificial Intelligence New Paradigm,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-1b17af3adfb3,phrase_absent_random,A model for human action potential dynamics in vivo,include,empirical,include_empirical,Adapts a cardiac action-potential dynamics model to in-vivo data and evaluates responses to stimulation.,medium
AUD-e40d21c08202,phrase_absent_random,التقرير العالميّ عن سلامة المرضى 2024,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-1b6232cf83eb,phrase_absent_random,Risk prediction model for distinguishing Gram-positive from Gram-negative bacteremia based on age and cytokine levels: A retrospective study,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,medium
AUD-b1183b03bba3,phrase_absent_random,Neural Associative Skill Memories for Safer Robotics and Modeling Human Sensorimotor Repertoires.,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-9838e164c462,phrase_absent_random,Optimization method and experimental research on attitude adjustment scheme of attitude adaptive rescue robot.,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-13ca47847a68,phrase_absent_random,DRIFT: Direct-Recursive Intervention-Conditioned Forecasting of ICU Physiological Trajectories,include,empirical,include_empirical,Learns action-conditioned ICU dynamics and evaluates multi-horizon treatment-sequence perturbations.,high
AUD-15ec4f11ae64,phrase_absent_random,"The computational unconscious: Adaptive narrative control, psychopathology, and subjective well-being",exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.,medium
AUD-319773f66d63,phrase_absent_random,An analytical study of the dynamic behavior of Lotka-Volterra based models of COVID-19.,include,empirical,include_empirical,Adapts a Lotka-Volterra COVID-19 dynamics model and evaluates simulated trajectories numerically.,medium
AUD-c95fd70c811f,phrase_absent_random,Russian Federation,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,low
AUD-748d1cbe593b,phrase_absent_random,The Economics of Border Carbon Adjustment: Rationale and Impacts of Compensating for Carbon at the Border,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-3ec6773cb17e,phrase_absent_random,eHealth Literacy and Its Outcomes Among Postsecondary Students: Systematic Review,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-b3b998c306ff,phrase_absent_random,"Driving effect of multiplex factors on Mpox in global high-risk region, implication for Mpox based on one health concept",exclude,not_applicable,no_future_or_action_evaluation,"The evaluation does not test rollout, intervention response, counterfactuals, or planning.",medium
AUD-3f08715cbe0f,phrase_absent_random,"Multi-Scale Longevity: Defeating Aging from Cells to Embodied Human Minds, and the Future of the Species",exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a qualifying primary empirical evaluation of medical world-model capabilities.,medium
AUD-85bc03bee553,phrase_absent_random,Weyl conjecture and thermal radiation of finite systems,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-f2f080a87939,phrase_absent_random,Development and Implementation of a Family Presence Facilitator Curriculum for Interprofessional Use in Pediatric Medical Resuscitations.,exclude,not_applicable,no_learned_dynamics,The title and abstract do not describe a learned or adapted temporal transition mechanism.,high
AUD-1ed01f53d538,phrase_absent_random,From neuroinflammation to neural inference: computational psychiatry meets precision medicine.,exclude,not_applicable,review_not_primary,The review's primary topic is not medical or healthcare world models.,high
AUD-803f4e9b9777,medical_term_absent_random,Grounded world models in biological organisms and future embodied AI,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-daa957bbe863,medical_term_absent_random,International approaches to legal regulation of juvenile justice and juvenile prevention,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-87d8c7e1121a,medical_term_absent_random,Reviewer #1 (Public review): A mechanistic theory of planning in prefrontal cortex,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-ff94eeb3fd2e,medical_term_absent_random,Theory Under Construction: Orchestrating Language Models for Research Software Where the Specification Evolves,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-229125b5216e,medical_term_absent_random,Next-Latent Prediction Transformers Learn Compact World Models,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-b088c95abd8c,medical_term_absent_random,Predictive Policing and the Rule of Law: Evaluating AI’s Role in Criminal Justice through Global and Pakistani Legal Frameworks,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-07ce6555e058,medical_term_absent_random,A non-Hebbian code for episodic memory,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-0f7a62d08445,medical_term_absent_random,Embodied Intelligence: A Literature Review,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-4a326716f5b6,medical_term_absent_random,Critique of Agent Model,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-3ed6f4bdff95,medical_term_absent_random,Merge Hijacking: Backdoor Attacks to Model Merging of Large Language Models,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
AUD-f78f121153e2,medical_term_absent_random,SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users,exclude,not_applicable,wrong_domain,The title and abstract concern a nonmedical application rather than medical or biomedical dynamics.,high
