audit_id,route,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason
AUD-edd69cf53ded,primary_phrase_filter_residual,3 Machine learning approaches to predict colorectal cancer screening uptake in real-world EHR data,"Objectives/Goals: The study’s objective was to use real-world data to compare machine learning approaches for predicting colorectal cancer (CRC) screening status: (1) a Random Forest model optimized for overall accuracy and (2) Feasible Solution Algorithm (FSA) models focused on interpretability and identifying subgroups at risk of being unscreened. Methods/Study Population: The data included 22,549 adults aged 45–75 who visited a UK King’s Daughters Medical Center (UKKD) primary care site between 12/1/2023–11/30/2024, across five Appalachian counties. Patients with total colectomy, colon cancer, advanced illness, hospice care, dementia, and/or frailty were excluded. After complete-case analysis, 18,533 records remained and were split 80/20 for training/testing. Two machine learning methods, random forests and FSA, were applied to identify key predictors of CRC screening status. Within the FSA framework, logistic regression models were fitted using the training data, and model performance metrics were subsequently evaluated using the testing dataset. Results/Anticipated Results: Overall (n=22,549), 65.6% of patients completed CRC screening. The mean age was 59 years (SD = 8.2); most were White (97%), 40% had Medicare insurance, and 68% had multiple non-primary care provider (PCP) visits. The Random Forest model demonstrated the highest overall accuracy of 69% and had notably high sensitivity, correctly identifying approximately 9 of 10 screened patients. On the other hand, the FSA model offered greater specificity (65%) and interpretability, with the 2-predictor model identifying smokers and those with 0 non-PCP visits as the vulnerable subgroups who are least likely to be screened. Discussion/Significance of Impact: FSA identified smoking status, insurance type, number of non-PCP clinic visits, and age as key factors relating to CRC screening behavior. These findings can help clinicians and public health teams identify unscreened patients, guide targeted outreach, and advance translational strategies to improve population health.",Maliha Mehnaz Mitu; Tyler Thompson; Emily Slade; Charbel Salem; Jennifer Sword; Katherine Thompson,2026,2026,Journal of Clinical and Translational Science,10.1017/cts.2026.10246,,https://doi.org/10.1017/cts.2026.10246,journal-article,['crossref'],"['""world model"" EHR']",registered,world-model phrase absent from title and abstract
AUD-b214f45aa31a,primary_phrase_filter_residual,"3rd World Congress on Traditional, Complementary, and Integrative Medicine - 3rd WCTCIM",,,2026,2026,"3rd World Congress on Traditional, Complementary, and Integrative Medicine - 3rd WCTCIM",10.3389/978-2-8325-6562-9,,https://doi.org/10.3389/978-2-8325-6562-9,proceedings-article,['crossref'],"['""world model"" medicine']",registered,world-model phrase absent from title and abstract
AUD-6f4209acea29,primary_phrase_filter_residual,688P Equitable nationwide access to innovation in oncology: Real-world implementation of the French early access program for pembrolizumab in early triple-negative breast cancer,"Following the pivotal KEYNOTE-522 trial, a French early access program (EAP) for pembrolizumab in early triple-negative breast cancer (eTNBC) was granted in March 2022, preceding European Medicines Agency approval. This EAP offers a unique opportunity to evaluate the real-world implementation of an innovative treatment at a national scale and assess potential disparities in access.",O. Tredan; J. Peron; C. Liautard; N. Benard; C. Rancoule-Perkins; T. Bachelot; A De Nonneville,2026,2026-05-01,ESMO Open,10.1016/j.esmoop.2026.107376,,https://doi.org/10.1016/j.esmoop.2026.107376,article,['openalex'],"['""world model"" medicine']",open-access,world-model phrase absent from title and abstract
AUD-1d317af13390,primary_phrase_filter_residual,"77236 Vitiligo after anti–PD-1 therapy in melanoma: landmarked, propensity-matched survival analyses from a real-world EHR network",,Marissa Mojena; Jack Kollings; Joel Sunshine,2026,2026,Journal of the American Academy of Dermatology,10.1016/j.jaad.2026.04.1900,,https://doi.org/10.1016/j.jaad.2026.04.1900,journal-article,['crossref'],"['""world model"" EHR']",registered,world-model phrase absent from title and abstract
AUD-cb5d0924a633,primary_phrase_filter_residual,A blockchain technology with advanced lightweight symmetric cryptography schemes and smart security framework for healthcare wireless body area networks.,"The rapid evolution of intelligent healthcare systems has brought Healthcare Wireless Body Area Networks (HWBANs) to the forefront of personalized health monitoring. However, current systems face critical challenges, including high computational overhead, centralized trust management, and limited privacy-preserving analytics for real-time sensitive health data. This study proposes a Blockchain-enabled Advanced Lightweight Symmetric Cryptography (ALSC) framework for secure and privacy-preserving HWBANs. The proposed ALSC is a modified PRESENT-like cipher that integrates dynamic key rotation, reduced S-box complexity, and parallel substitution-permutation operations to achieve high-speed encryption in resource-constrained WBAN nodes. The framework combines Federated Learning (FL) for decentralized health analytics and Blockchain-based Proof of Authority (PoA) for tamper-proof trust management. The framework integrates lightweight symmetric encryption with blockchain-based authentication to secure healthcare WBAN data. Empirical results show a 48% reduction in encryption time and a 27% decrease in communication latency compared to existing methods, confirming improved privacy preservation, integrity assurance, scalability, and low computational overhead. The system was implemented in Python 3.10 and evaluated on Raspberry Pi 4 edge devices acting as HWBAN gateway nodes, with performance metrics measured directly on the hardware. Performance metrics-including latency, throughput, and encryption speed-were measured empirically using high-precision timing via time.perf_counter(). Compared with standard lightweight ciphers (AES-128, PRESENT-80, and SPECK-64), the proposed ALSC achieved 0.02 s latency, 100 MB/s throughput, and 5 ms/KB encryption speed, demonstrating 32% lower delay and 24% higher throughput under identical network and cryptographic conditions. These results validate the effectiveness of the ALSC-Blockchain-FL integration in ensuring confidentiality, low latency, and scalability for real-time healthcare monitoring.","Muthupandian S, Kumar DM.",2026,2026-04-22,,10.1038/s41598-026-48650-9,,https://europepmc.org/article/MED/42020554,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract
AUD-d541ff09e4e2,primary_phrase_filter_residual,A case of psittacosis pneumonia complicated by rhabdomyolysis,,Zhilun Zhu; Haoran Li; Sheng Bi; Yan Xiao,2026,2026,World Journal of Emergency Medicine,10.5847/wjem.j.1920-8642.2026.011,,https://doi.org/10.5847/wjem.j.1920-8642.2026.011,journal-article,['crossref'],"['""world model"" medicine']",registered,world-model phrase absent from title and abstract
AUD-c72549e0c910,primary_phrase_filter_residual,A Cloud-Based Architecture for Scalable Electronic Health Record (EHR) Management System,"The exponential growth of medical data, coupled with the increasing demand for interoperable and accessible patient information, has exposed the limitations of traditional, on-premise Electronic Health Record (EHR) systems. These legacy systems often suffer from scalability bottlenecks, high maintenance costs, and fragmented data silos that impede real-time clinical decision-making and continuity of care. This paper proposes a novel, cloud-based architectural framework designed to address these critical challenges by delivering a scalable, secure, and interoperable EHR management system. The proposed architecture leverages a hybrid cloud model, integrating a centralized data lake for longitudinal patient records with edge computing nodes for low-latency data ingestion from Internet of Medical Things (IoMT) devices. The framework is built upon a microservices approach, utilizing containerization (e.g., Docker, Kubernetes) to ensure modularity, fault isolation, and independent scalability of core functions such as patient registration, clinical data processing, and billing. To guarantee semantic interoperability, the architecture natively supports Fast Healthcare Interoperability Resources (FHIR) standards, enabling seamless data exchange with external healthcare providers and third-party applications. A critical component of the design is a multi-layered security model incorporating zero-trust principles, attribute-based access control (ABAC), and end-to-end encryption for data both at rest and in transit. Preliminary evaluation of a system prototype demonstrates significant improvements in performance metrics compared to traditional client-server models. The cloud-native design facilitates automatic scaling to accommodate fluctuating workloads, such as during peak telehealth hours, while the implementation of a FHIR-compliant API gateway reduced data retrieval latency by over 40% in simulated cross-institutional queries. Furthermore, the modular architecture reduced the time required to deploy new regulatory or feature updates from weeks to days. By decoupling data storage from application logic and embracing open standards, this architecture offers a viable pathway toward a more resilient, collaborative, and patient-centric healthcare ecosystem. It provides a foundation for integrating advanced cloud capabilities, such as AI-driven clinical decision support and large-scale population health analytics, ultimately aiming to improve patient outcomes and operational efficiency.",Claura Reid; Mack Jacob,2026,2026,ScienceOpen,10.14293/pr2199.003140.v1,,https://doi.org/10.14293/pr2199.003140.v1,posted-content,['crossref'],"['""world model"" EHR']",registered,world-model phrase absent from title and abstract
AUD-bb9b6a7caffb,primary_phrase_filter_residual,"A Co-Evolutionary Theory of Human–AI Coexistence: Mutualism, Governance, and Dynamics in Complex Societies",,Somyajit Chakraborty,2026,2026-05-28,Research Square,10.21203/rs.3.rs-9749980/v1,,https://doi.org/10.21203/rs.3.rs-9749980/v1,preprint,['openalex'],"['""world model"" medicine', '""world model"" patient']",open-access,world-model phrase absent from title and abstract
AUD-68e75317b65b,primary_phrase_filter_residual,A comparative study of the ‘3 + 2’ model ‘seven-step method’ programmed robotic distal gastric cancer radical resection versus conventional robotic surgical techniques,,Yuqi Ma; Ade Su; Xinran Bi; Zhiheng Wu; Juanjuan Sun; Jiguang Yin; Wentao Zhang; Ming Hu; Hui Cai; YunTao Ma,2026,2026,World Journal of Surgical Oncology,10.1186/s12957-026-04296-5,,https://doi.org/10.1186/s12957-026-04296-5,journal-article,['crossref'],"['""surgical world model""']",registered,world-model phrase absent from title and abstract
AUD-1b15284cf42b,primary_phrase_filter_residual,A comprehensive review of cryptographic techniques and emerging trends in modern cybersecurity,"Cryptography is a fundamental pillar of modern cybersecurity, ensuring confidentiality, integrity, authentication, and non-repudiation in digital communication systems. This paper presents a comprehensive review of classical and modern cryptographic techniques, including symmetric encryption, asymmetric encryption, and cryptographic hash functions. Widely adopted algorithms such as Advanced Encryption Standard (AES), Rivest -Shamir-Adleman (RSA), and Elliptic Curve Cryptography (ECC) are analyzed in terms of performance, security, and application domains. Recent advancements such as homomorphic encryption, blockchain-based cryptography, and post-quantum cryptography are also explored. Comparative analysis highlights trade-offs between computational efficiency, key size, and resistance to emerging threats such as quantum computing. Furthermore, challenges such as key management, scalability, and implementation vulnerabilities are discussed. The paper concludes by identifying future research directions focusing on lightweight, quantum-resistant, and privacy-preserving cryptographic systems for next-generation applications including IoT, cloud computing, and artificial intelligence-driven environments.",Debjit Banerjee; Arnab Acharyya,2026,2026-07-28,World Journal of Advanced Research and Reviews,10.30574/wjarr.2026.31.1.1951,,https://doi.org/10.30574/wjarr.2026.31.1.1951,article,['openalex'],"['""world model"" EHR']",open-access,world-model phrase absent from title and abstract
AUD-247e5436390f,primary_phrase_filter_residual,A computational architecture incorporating shallow brain networks: integrating parallel cortical and subcortical processing.,"Artificial neural networks commonly have deep hierarchical structures that were originally inspired by the neuroanatomical evidence of cortico-cortical connectivity pattern found in the mammalian brain. Largely under-represented in those models are non-hierarchical aspects of brain architecture, namely the subcortical pathways and the interactions between cortical and subcortical areas regardless of their hierarchical locations. Inspired by this principle, we present a computational model combining cortical hierarchical processing with subcortical pathways based on neuroanatomical evidence. We show the versatility of our model by implementing the cortical hierarchy in two alternative ways-a convolutional feedforward network and a predictive coding network. Both model variants can replicate behavioral observations in humans and monkeys on a perceptual context-dependent decision-making task. The model also reveals that subcortical structures lead decisions for easy trials while the more complex hierarchical network is necessary for the harder trials. Our results suggest that the parallel cortico-subcortical processing explored in the model represents a fundamental property that cannot be neglected in understanding the computational principles used by the brain.","Lee K, Baracco L, Pennartz CMA, Suzuki M, Mejias JF.",2026,2026-01-30,,10.1016/j.crneur.2026.100155,,https://europepmc.org/article/MED/41693795,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract
AUD-eed224acf9d7,primary_phrase_filter_residual,A Computational Community Blind Challenge on Pan-Coronavirus Drug Discovery Data.,"Computational blind challenges offer critical, unbiased opportunities to assess and accelerate scientific progress, as demonstrated by a breadth of breakthroughs over the past decade. We report the outcomes and key insights from an open science community blind challenge focused on computational methods in drug discovery, using lead optimization data from the AI-driven Structure-enabled Antiviral Platform Discovery Consortium's pan-coronavirus antiviral discovery program, in partnership with Polaris and the OpenADMET project. This collaborative initiative invited global participants from both academia and industry to develop and apply computational methods to predict the biochemical potency and crystallographic ligand poses of small molecules against key coronavirus targets, Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Middle East Respiratory Syndrome Coronavirus (MERS-CoV) main protease (Mpro), as well as multiple ADMET assay end points, using previously undisclosed comprehensive experimental drug discovery data sets as benchmarks. By evaluating submissions across multiple tasks and compounds, we established performance leaderboards and conducted meta-analyses to assess methodological strengths, common pitfalls, and areas for improvement. This analysis provides a foundation for best practices in real-world machine learning evaluation, grounded in community-driven benchmarking. We also highlight how next-generation platforms, such as Polaris, enable rigorous challenge design, embedded evaluation frameworks, and broad community engagement. This paper reports the collective findings of the challenge, offering a high-level overview of the data, evaluation infrastructure, and top-performing strategies. We further provide context and support for the accompanying papers authored by the challenge participants in this special issue, which explore individual approaches in greater depth. Together, these contributions aim to advance reproducible, trustworthy, and high-impact computational methods in drug discovery, and to explore best practices and pitfalls in future blind challenge design and execution, including planned initiatives for the OpenADMET project.","MacDermott-Opeskin H, Scheen J, Wognum C, Horton JT, West D, Payne AM, Castellanos MA, Colby S, Griffen E, Cousins D, Stacey J, Reid L, Aschenbrenner JC, Fearon D, Balcomb B, Marples P, Tomlinson CWE, Lithgo R, Godoy AS, Winokan M, Barr H, Lahav N, Lavi M, Duberstein S, Cohen G, Fate G, Lefker B, Robinson R, Szommer T, Lynch N, Minh DDL, La VNT, Kang L, Huddleston K, Renslow R, Tollefson M, Walters WP, Xu C, Hsu J, St-Laurent J, Etsmoberg H, Zhu L, Quirke A, Abdul Haleem MI, Alibay I, Baid G, Birnbaum B, Bishop KP, Bohorquez H, Bose A, Brown CJ, Burns J, Cai L, Cedeno R, de Cesco S, Chupakhin V, Clark F, Cole DJ, Corbi-Verge C, Danial M, Davi A, Dehaen W, Doering NP, Dougha A, Dréanic MP, Eakin B, Ehrlich A, Elijosius R, Fülöp J, Gitter A, Goossens K, Gu Y, Head-Gordon T, Hoffer L, Hofmans J, Jiang E, Kaminow B, Khosravi S, Khoualdi AF, Lenselink EB, Liu Z, Liu Y, Liu S, Ma Y, Maher P, Mayer I, Mendez-Lucio O, Mey ASJS, Michel J, Montanari F, Niu T, Ogino R, Palaniappan A, Pan X, Patnaik A, Pham LH, Pinto L, Purnomo J, Rich A, Schaaf L, Schran C, Singh RK, Srilakshmi M, Srivastava SP, Sun K, Sun Z, Talagayev V, Thirukonda Subramanian Balakrishnan B, Titus I, Tkatchenko A, Treyde W, Tricarico G, Tripp A, Vithayapalert N, Wang Y, Wasi AT, Wedig S, Wolber G, Xu B, Zhou W, von Delft F, Lee A, Kirkegaard K, Sjö P, Fraser JS, Chodera JD.",2026,2026-02-26,Journal of Chemical Information and Modeling,10.1021/acs.jcim.5c02106,,https://europepmc.org/article/MED/41749419,article,"['europe_pmc', 'openalex']","['""world model"" physiology', 'europe_pmc_core']",indexed,world-model phrase absent from title and abstract
AUD-86e93a799a3b,primary_phrase_filter_residual,A conceptual model for provider scheduling: insights from an EHR implementation,"Abstract Objective We present a set of definitions and a conceptual model to support primary and consulting physician schedule integration into the electronic health record (EHR) in an inpatient setting and show how utilization of this functionality supports patient-centered communication. Materials and Methods Our institution transitioned to the Epic EHR and implemented modules to connect primary and consulting provider schedules from external scheduling systems to secure messaging within an inpatient EHR context. We evaluated legacy functionality, met with provider groups to map their shifts to hospital teams, built a crosswalk tool to extract, transform, and load data from the scheduling systems to the EHR, evaluated the utilization, and assessed issues related to the implementation. We used our experience from the project to develop a set of definitions and a conceptual model for provider scheduling. Results We met with over 100 groups to map over 2000 shifts to nearly 700 teams across 15 facilities in our health system. Utilization was high with an average of 6500 on-call provider searches per day in the 30 days following implementation. The conceptual model for inpatient provider scheduling defines 11 terms. Discussion Our definitions and conceptual model sufficiently represent the inpatient provider scheduling domain as evidenced by high initial utilization and few reported defects. The standardized terminology for provider scheduling aids integration of scheduling data into the EHR. Conclusion Our successful integration of real-time scheduling data within the EHR guided development of a provider scheduling conceptual model. Standardized provider scheduling terminology promotes interoperability of scheduling systems.",Jeremy B Hill; Elmer V Bernstam; Licong Cui; Peter V Killoran,2026,2026,Journal of the American Medical Informatics Association,10.1093/jamia/ocaf217,,https://doi.org/10.1093/jamia/ocaf217,journal-article,['crossref'],"['""world model"" EHR']",registered,world-model phrase absent from title and abstract
AUD-cbbbab9cf253,primary_phrase_filter_residual,A Contextual Transformer-Enhanced ClinicalBERT Model for Automated Epilepsy Diagnosis from EHR Data,,Leeshma K; Praveena M,2026,2026,2026 International Conference on Intelligent and Sustainable AI Systems (ICOSAAS),10.1109/icosaas68663.2026.11649414,,https://doi.org/10.1109/icosaas68663.2026.11649414,proceedings-article,['crossref'],"['""world model"" EHR']",registered,world-model phrase absent from title and abstract
AUD-12296c7ab1db,primary_phrase_filter_residual,A Cross-Domain Benchmark of Intrinsic and Post Hoc Explainability for 3D Deep Learning Models.,"Deep learning models for three-dimensional (3D) data are increasingly used in domains such as medical imaging, object recognition, and robotics. At the same time, the use of AI in these domains is increasing, while, due to their black-box nature, the need for explainability has grown significantly. However, the lack of standardized and quantitative benchmarks for explainable artificial intelligence (XAI) in 3D data limits the reliable comparison of explanation quality. In this paper, we present a unified benchmarking framework to evaluate both intrinsic and post hoc XAI methods across three representative 3D datasets: volumetric CT scans (MosMed), voxelized CAD models (ModelNet40), and real-world point clouds (ScanObjectNN). The evaluated methods include Grad-CAM, Integrated Gradients, Saliency, Occlusion, and the intrinsic ResAttNet-3D model. We quantitatively assess explanations using the Correctness (AOPC), Completeness (AUPC), and Compactness metrics, consistently applied across all datasets. Our results show that explanation quality significantly varies across methods and domains, demonstrating that Grad-CAM and intrinsic attention performed best on medical CT scans, while gradient-based methods excelled on voxelized and point-based data. Statistical tests (Kruskal-Wallis and Mann-Whitney U) confirmed significant performance differences between methods. No single approach achieved superior results across all domains, highlighting the importance of multi-metric evaluation. This work provides a reproducible framework for standardized assessment of 3D explainability and comparative insights to guide future XAI method selection.","Chakraborty A, Karagoz G, Meratnia N.",2026,2026-01-30,,10.3390/jimaging12020063,,https://europepmc.org/article/MED/41745428,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract
AUD-27f1a032ac3f,primary_phrase_filter_residual,A Cross-Layered Multi-Drone Coordination for Medical Supply Delivery during Disaster Response Management,"Autonomous drone fleets have immense potential in medical supply delivery during disaster incident response. However, coordinating multiple drones in such settings introduces compounding challenges: dynamic environmental hazards such as wind, obstacles, and intermittent network connectivity, constrained energy budgets, and the need to serve patient locations fairly under deadlines and triage-based priority while optimizing schedule utilization. In this paper, we present CEDA, a novel CTDE Deep Q-Network algorithm for cooperative multi-drone medical delivery, designed to jointly optimize triage-priority-aware routing, multi-agent coordination, and energy-efficient navigation under dynamic uncertainty. CEDA introduces a Priority-Preserving Fair Scheduling strategy, in which a structured reward function encodes both triage weights and complementary fairness mechanisms ensuring no patient class is starved of service. We evaluate CEDA in a simulated grid environment featuring dynamic hazard zones, stochastic action failures, and dynamically spawning patients across three triage priority levels, as well as in a PX4 SITL validation using two X500 quadrotors controlled via MAVSDK in offboard position mode. Simulation results demonstrate that CEDA achieves a delivery completion rate above 85%, reduces obstacle collisions by over 90% across training, and delivers an average of 6 patients per episode with a triage efficiency of 0.82. CEDA preserves clinical priority ordering, Critical patients are served first, while achieving near-zero mortality across lower-triage classes, confirming that priority-weighted routing does not condemn Stable or Urgent patients to neglect. PX4 SITL validation further demonstrates that the learned policy remains executable and triage-coherent under practical communication constraints and realistic multi-drone coordination in disaster response settings.",Aneesh Calyam; Subrahmanya Chandra Bhamidipati; Zack Murry; Sharan Srinivas,2026,2026-05-10,arXiv (Cornell University),,2605.09342,https://arxiv.org/abs/2605.09342,preprint,['openalex'],"['""world model"" patient']",open-access,world-model phrase absent from title and abstract
AUD-33eaf98b7a7b,primary_phrase_filter_residual,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,"Altered affective state dynamics are a characteristic feature of depression and can persist beyond symptomatic remission. Individuals with remitted major depressive disorder (rMDD) often show heightened reactivity to negative mood states and reduced efficiency in recovering from them, consistent with changes in affective dynamics after remission. These patterns may reflect alterations in the brain's capacity to flexibly shift between neural states that support distinct affective modes. Characterizing the dynamical mechanisms that govern transitions into and out of experimentally induced affective states is therefore essential for understanding vulnerability to recurrence and informing mechanistic interventions. We developed a data-driven framework combining dynamical system reconstruction (DSR) with model-based control to infer optimal control policies for transitions between resting and sad mood brain states using functional magnetic resonance imaging (fMRI) data. Nonlinear DSR models trained on individuals with rMDD and healthy controls (HC) yielded region-specific, state-dependent control strategies. Small regions (e.g., sgACC, NAcc) showed higher controllability, requiring less energy for state transitions. Notably, rMDD participants required less control energy than HC to shift both into and, to a more spatially restricted extent, out of sad mood states. Despite reaching the resting state target with similar proximity, however, they remained closer to the sad mood distribution when returning to rest, reflecting a residual bias toward the sad mood distribution. Elevated coupling in rMDD, especially toward the DLPFC, was linked to lower control energy, suggesting that stronger network coupling facilitates transitions. These findings indicate rMDD dynamics that ease entry into sad mood states but impede full disengagement. More broadly, they demonstrate how closed-loop control applied to data-driven dynamical models can provide mechanistic insight into brain state transitions and inform future hypotheses about cognitive vulnerability or compensatory processes.","Emonds N, Herberg E, Gerchen MF, Pritsch M, Rocha J, Zamoscik V, Kirsch P, Herzog R, Koppe G.",2026,2026-08-01,,10.1002/hbm.70600,,https://europepmc.org/article/MED/42454569,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract
AUD-f9207f18f0ab,primary_phrase_filter_residual,A decade-long real-world cohort (2016-2025): development of an individualized risk-stratification nomogram and evaluation of clinical utility for recurrent respiratory tract infections in children.,"Background Recurrent respiratory tract infections (RRTIs) are common in children and are associated with substantial healthcare costs and reduced quality of life. A practical tool for individualized risk assessment may facilitate the early identification of high-risk children and support targeted prevention. Methods In this 10-year real-world cohort study (2016–2025), eligible children were screened and followed according to predefined criteria. After exclusions, 6,026 children were included, of whom 1,227 (20.4%) developed RRTIs. The cohort was randomly divided into a training set ( n = 4,219; events = 859) and a testing set ( n = 1,807; events = 368). Multivariable logistic regression was used in the training set to identify independent predictors and develop a customized nomogram. Bootstrap resampling was used for internal validation, and model performance was assessed in terms of discrimination, calibration, and clinical utility using decision-curve analysis. Results Multivariable analysis identified history of allergy (OR 5.187), history of asthma (OR 2.522), lower vitamin A level (OR 0.458 per 0.1 mg/L increase), lower vitamin D level (OR 0.556 per 10 ng/mL increase), lower birth weight (OR 0.283 per kg increase), passive smoking exposure (OR 2.061), and lower hemoglobin level (OR 0.425 per 10 g/L increase) as independent predictors of RRTI (all P < 0.001). The nomogram demonstrated good discrimination and calibration in both the training and testing sets. Decision-curve analysis supported its potential clinical utility by showing a favorable net benefit across clinically relevant threshold probabilities. Risk stratification based on predicted-probability cutoffs further separated children into low-, intermediate-, and high-risk groups with clearly different observed event rates. Conclusion We developed and validated a nomogram based on routinely available clinical history and nutritional indicators to predict individualized RRTI risk in children. This tool demonstrated robust predictive performance and may support early risk stratification and preventive decision-making in pediatric practice.","Cai H, Li J, Wang H.",2026,2026-05-12,Frontiers in Pediatrics,10.3389/fped.2026.1806366,,https://europepmc.org/article/MED/42205725,article,"['europe_pmc', 'openalex']","['""world model"" clinical', 'europe_pmc_core']",indexed,world-model phrase absent from title and abstract
