"audit_id","title","qc_decision","qc_corpus_type","qc_reason_code","qc_rationale","full_text_anchor","confidence"
"AUD-7bf30e9c2ee4","Physiology-Guided Blood Glucose Predictive Model Using Minimal Blood Glucose Dynamics","exclude","not_applicable","static_or_endpoint_prediction","The learned model predicts one isolated glucose value 30 minutes ahead, while insulin and meal dynamics are fixed analytical input transformations; no learned next-state operator, trajectory rollout, or action-response transition is evaluated.","Proceedings full text, Methods equations 1-2 and Evaluation section defining only G(t+PH) at a 30-minute prediction horizon.","high"
"AUD-4cbb5268d051","Short- and long-term weekly patient-reported outcomes prediction undergoing radiotherapy: single-patient time series model vs. transformer-based multi-patient time series model","include","empirical","learned_multistep_dynamics","VAR and TFT models learn weekly multivariate patient-reported-outcome evolution from longitudinal radiotherapy data; short- and long-horizon weekly trajectories, trends, and variations are evaluated against ground truth with MAE and RMSE.","Version-of-record Methods on VAR, VAR-Inc, and TFT; Results on weekly trajectory prediction, long-horizon errors, and trend capture.","medium"
"AUD-2e79c600b25d","A Deep Learning-Enhanced Compartmental Model and Its Application in Modeling Omicron in China.","exclude","not_applicable","source_policy_exclusion","DNN and LSTM components estimate time-varying compartmental transition parameters and the resulting 28-day epidemic trajectories are evaluated, but the only stable article version is in a source excluded by the review's evidence policy.","Version-of-record Methods and Results describe learned transmission parameters and 28-day infection/death prediction; exclusion is solely the established source-policy boundary.","high"
"AUD-69448c657186","A mini-review on perturbation modelling across single-cell omic modalities.","include","review","substantive_dynamic_simulator_review","The review centrally synthesizes learned single-cell perturbation-response models that predict intervention-driven changes in cellular physiology and dynamic cell state, including extrapolation to unseen perturbations and time-dependent responses.","Version-of-record Introduction and objectives O1-O4 define perturbation modeling as predicting external-intervention effects on dynamic cell states across time and modalities.","medium"
"AUD-d2a31182ebf8","OMG-RL:Offline Model-based Guided Reward Learning for Heparin Treatment","include","empirical","learned_multistep_dynamics","Clinical heparin trajectories train an ensemble probabilistic dynamics model of patient state under dosing actions; recursive model rollouts generate trajectories for reward and policy learning, followed by off-policy return and treatment-success evaluation.","Primary arXiv full text, Methods and Algorithm 2 on probabilistic dynamics-ensemble rollouts; Results Figures 3-7 on model-based returns and treatment success.","high"
"AUD-3b3b7e43e701","Structural and practical identifiability of contrast transport models for DCE-MRI.","exclude","not_applicable","hand_specified_mechanistic_dynamics","The Patlak, Tofts-Kety, extended Tofts, and leaky Tofts-Kety transition equations are pre-existing hand-specified compartmental models; patient data estimate parameters and identifiability but do not learn or adapt the transition mechanism.","Version-of-record Methods explicitly defines the fixed nested ODE compartment structures and evaluates parameter identifiability rather than a learned transition.","high"
"AUD-93cb6bb435b3","Structure-aware World Model for Probe Guidance via Large-scale Self-supervised Pre-train","include","empirical","action_conditioned_state_transition","Paired echocardiographic planes and their pose changes train a model to predict target-plane features from a source plane and probe transformation; the learned spatial transition is operationally evaluated through six-degree-of-freedom probe-guidance error.","Primary full text, Figure 2 and equations 4-6 for pose-conditioned target prediction; Table 1 for downstream translation and rotation MAE.","high"
"AUD-f0bd315b247d","BrainLM: A foundation model for brain activity recordings","include","empirical","learned_future_state_transition","BrainLM learns spatiotemporal fMRI transitions by masked sequence prediction over 6,700 recording hours and directly evaluates forecasting of future brain-state blocks, including transfer to external cohorts.","Most complete ICLR 2024 paper and associated bioRxiv record, future-brain-state forecasting experiment and external-cohort evaluation.","medium"
"AUD-2f16c363ccd1","Deep Dynamic Epidemiological Modelling for COVID-19 Forecasting in Multi-level Districts","include","empirical","learned_multistep_dynamics","A neural parameter generator learns state-dependent epidemic rates from regional observations, and a Neural ODE repeatedly advances compartment states; 20-day trajectories are evaluated across countries and districts against recurrent and tree baselines.","Primary arXiv full text, system diagram and Neural ODE transition procedure; Results Figures 7 and Tables I-II on held-out 20-day trajectories.","high"
"AUD-928cc400d0df","Towards Model-Informed Precision Dosing of Voriconazole: Challenging Published Voriconazole Nonlinear Mixed-Effects Models with Real-World Clinical Data","include","empirical","adapted_pharmacokinetic_dynamics","Published nonlinear mixed-effects concentration-time transitions are adapted to individual patients by Bayesian forecasting with observed drug levels; external concentration trajectories and simulation-based diagnostics directly test predictive fidelity.","Version-of-record workflow and Methods on external NLME evaluation, Bayesian forecasting, prediction error, RMSE, and simulation-based diagnostics.","high"
"AUD-2b0ad1358cef","BeCaked: An Explainable Artificial Intelligence Model for COVID-19 Forecasting","include","empirical","learned_multistep_dynamics","An LSTM learns time-varying SIRD transition parameters from historical epidemic series, and the resulting compartment trajectories are forecast and compared with real COVID-19 data and competing models.","Version-of-record model section linking LSTM outputs to SIRD rates and performance section evaluating future epidemic trajectories.","high"
"AUD-2fc9db7c7304","Considerations in Bayesian agent-based modeling for the analysis of COVID-19 data","exclude","not_applicable","hand_specified_mechanistic_dynamics","The susceptible-infected agent transition rule and contact-network mechanism are specified a priori; particle MCMC estimates their parameters and hidden states but does not learn or adapt the transition law itself.","Primary arXiv full text, equations 2-3 and agent-based SIS section define fixed Bernoulli transition rules before Bayesian parameter inference.","high"
"AUD-4dcfd3695dbe","Control of Magnetic Surgical Robots With Model-Based Simulators and Reinforcement Learning.","include","empirical","action_conditioned_closed_loop_control","Real magnetic-needle trajectories train a neural next-state dynamics model from needle state and coil action; the learned simulator trains controllers whose pressure-free motion trajectories are then evaluated in simulation and on the physical surgical robot.","Version-of-record Methods explicitly introduces neural model-based simulation learned from real-world data; experiments evaluate target-reaching control on MagnetoSuture hardware.","high"
"AUD-ae21c420fd65","Machine learning and artificial intelligence in physiologically based pharmacokinetic modeling","exclude","not_applicable","review_scope_too_broad","The review primarily covers ML prediction of static ADME inputs and PK summary endpoints for hand-specified PBPK models; learned time-series dynamics such as Neural ODEs are presented as a prospective opportunity rather than a central evaluated evidence category.","Version-of-record abstract and review structure organize evidence around ADME-parameter and AUC/Cmax prediction, with direct Neural-ODE profile modeling identified as future work.","high"
"AUD-4e37c79357ee","A Blood Glucose Control Framework Based on Reinforcement Learning With Safety and Interpretability: In Silico Validation","include","empirical","action_conditioned_closed_loop_control","Online RFR and dual-attention models learn 30-45-minute glucose transitions from glucose, insulin action, and meal histories; these predictions form extended states and safety triggers for SAC, with forecast and closed-loop trajectory evaluation in the UVA/Padova simulator.","Version-of-record Sections III-V: prediction-model equations, action-linked future-state definition, 30-minute forecast comparison, and 20-day closed-loop glucose-control trajectories.","medium"
"AUD-63771cfe66c1","Clinical-Based vs. Model-Based Adaptive Dosing Strategy: Retrospective Comparison in Real-World mRCC Patients Treated with Sunitinib","exclude","not_applicable","no_operational_dynamics_evaluation","The study retrospectively compares empirical dose changes with recommendations from an existing PK/PD model; it does not evaluate generated future patient-state trajectories, action responses, or simulator fidelity against subsequent outcomes.","Full article Results compare recommended dose categories and observed clinician decisions, without prospective or held-out longitudinal dynamics evaluation.","high"
"AUD-6f1d52747327","Machine Learning for Mechanical Ventilation Control","include","empirical","action_conditioned_closed_loop_control","State-action-pressure trajectories collected from a physical artificial lung train neural lung simulators; controllers optimized through those learned transitions are directly evaluated for multi-breath pressure-waveform tracking on held-out lung settings and hardware.","Primary arXiv full text, Sections 3-5 on physical data collection, learned simulator evaluation, and learned-controller pressure trajectories.","high"
"AUD-59a988c082f5","Phenotyping heart failure using model-based analysis and physiology-informed machine learning","exclude","not_applicable","hand_specified_mechanistic_dynamics","A pre-specified closed-loop cardiovascular ODE is tuned to cross-sectional catheterization and echocardiography summaries, then fitted parameters are clustered for phenotype discovery; no learned transition law or evolving future-state evaluation is provided.","Published PLOS Computational Biology version, model-calibration and clustering sections; evaluation is fit to hemodynamic summaries rather than temporal rollout fidelity.","high"
"AUD-63175be8811e","A Novel, Enriched Population Pharmacokinetic Model for Recombinant Factor VIII-Fc Fusion Protein Concentrate in Hemophilia A Patients","include","empirical","adapted_pharmacokinetic_dynamics","Registry concentration-time observations fit an enriched two-compartment nonlinear mixed-effects transition with learned covariate effects; external prediction error and internal visual predictive checks evaluate full FVIII concentration profiles.","Version-of-record Methods on NONMEM model development and covariate selection; Results Table 1, external validation, and visual predictive checks of concentration-time profiles.","high"
"AUD-eeb344a8dc5e","Model‐Based Approach to Improve Clinical Outcomes in Neonates With Opioid Withdrawal Syndrome Using Real‐World Data","include","empirical","learned_action_conditioned_state_transition","Longitudinal neonatal symptom scores and morphine doses fit a dynamic mixed-effects transition with lagged symptom autocorrelation and dose response; held-out simulation evaluates symptom-course-derived treatment duration against observations.","Version-of-record Methods on the dynamic linear mixed-effects model and 70/30 split; test-set simulation comparing observed 13.0-day with predicted 13.8-day median treatment duration.","high"
"AUD-bb86781b390a","Real-World Implications of a Rapidly Responsive COVID-19 Spread Model with Time-Dependent Parameters via Deep Learning: Model Development and Validation","include","empirical","learned_multistep_dynamics","Neural networks learn time-varying S, I, R, beta, and gamma functions from epidemic observations under SIR residual constraints; resulting state trajectories are numerically checked and cross-validated on Korea, Italy, Sweden, and the United States.","Version-of-record Methods on five neural networks and forward-inverse training; Results on RK4 agreement and cross-country trajectory validation.","high"
"AUD-4bc4e756f9f6","Second waves, social distancing, and the spread of COVID-19 across the USA.","exclude","not_applicable","hand_specified_mechanistic_dynamics","The 256-state regional epidemic transition graph, social-distancing response equations, and inter-state coupling structure are manually specified; variational Bayes fits parameters, but the medical transition mechanism itself is not learned or adapted from data.","Version-of-record model section and Figures 1-2 define fixed compartment states and transition arrows before Bayesian inversion and policy simulation.","high"
