audit_id,route,title,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
AUD-8edd0658e1bb,primary_phrase_filter_residual,Embodied Cross-Domain Intelligence in Biomedical Microrobots: A Review.,exclude,review,review_not_primary,Learned biomedical transition simulators are only one peripheral component of a broad microrobotics review.,exclude,review,review_not_primary,Broad microrobot intelligence; Learned medical transition or rollout systems are not a central evidence category.,exclude,review,review_not_primary,reviewer_consensus,A: Learned biomedical transition simulators are only one peripheral component of a broad microrobotics review. B: Broad microrobot intelligence; Learned medical transition or rollout systems are not a central evidence category.
AUD-f291d518f076,primary_phrase_filter_residual,Embodied Intelligence in Surgical Robotics: From Perception-Action Loops to Cognitive Collaboration,exclude,review,review_not_primary,The synthesis is broad and does not centrally review learned action-conditioned tissue or patient dynamics.,exclude,review,review_not_primary,Broad embodied surgical control; Learned medical transition or rollout systems are not a central evidence category.,exclude,review,review_not_primary,reviewer_consensus,A: The synthesis is broad and does not centrally review learned action-conditioned tissue or patient dynamics. B: Broad embodied surgical control; Learned medical transition or rollout systems are not a central evidence category.
AUD-35c94124d2c2,primary_phrase_filter_residual,Evaluating Generative Video AI for Standardized Psychiatric Patient Simulation With Graded Hygiene Deterioration,exclude,empirical,no_future_or_action_evaluation,"Evaluation measures video fidelity and artifacts, not patient-state evolution or intervention-conditioned dynamics.",exclude,empirical,no_future_or_action_evaluation,"Generative video re-animation; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_future_or_action_evaluation,reviewer_consensus,"A: Evaluation measures video fidelity and artifacts, not patient-state evolution or intervention-conditioned dynamics. B: Generative video re-animation; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-43a8ecc5253b,primary_phrase_filter_residual,From Uncertainty to Clinical Risk: Severity-Aware Conformal Planning for Interactive Medical Diagnosis,exclude,empirical,no_learned_dynamics,"The search evaluates dialogue choices, but no medical transition model is learned from observed patient dynamics.",exclude,empirical,no_learned_dynamics,"Risk-calibrated diagnostic search; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted.",exclude,empirical,no_learned_dynamics,reviewer_consensus,"A: The search evaluates dialogue choices, but no medical transition model is learned from observed patient dynamics. B: Risk-calibrated diagnostic search; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted."
AUD-cfaad4cb121e,primary_phrase_filter_residual,Human–Machine Co-Adaptation for Robot-Assisted Rehabilitation via Dual-Agent Multiple Model Reinforcement Learning (DAMMRL),include,empirical,include_empirical,The framework adapts human-machine response models from observations and evaluates closed-loop rehabilitation control.,include,empirical,include_empirical,Online-adapted human-machine response models; directly evaluated through real and simulated rehabilitation control.,include,empirical,include_empirical,reviewer_consensus,A: The framework adapts human-machine response models from observations and evaluates closed-loop rehabilitation control. B: Online-adapted human-machine response models; directly evaluated through real and simulated rehabilitation control.
AUD-8a8d58a5c704,primary_phrase_filter_residual,Learning Dynamic Representations and Policies from Multimodal Clinical Time-Series with Informative Missingness,include,empirical,include_empirical,Learned action-conditioned patient dynamics support and are tested through policy evaluation.,include,empirical,include_empirical,Action-conditioned latent patient dynamics; directly evaluated through off-policy treatment evaluation and outcomes.,include,empirical,include_empirical,reviewer_consensus,A: Learned action-conditioned patient dynamics support and are tested through policy evaluation. B: Action-conditioned latent patient dynamics; directly evaluated through off-policy treatment evaluation and outcomes.
AUD-5c062e5c25cd,primary_phrase_filter_residual,Planning in the Brain: It's Not What You Think It Is.,exclude,review,review_not_primary,This cognitive-neuroscience review does not centrally synthesize learned medical or biomedical simulators.,exclude,review,wrong_domain,Planning mechanisms in healthy brains; The modeled system is outside a substantive medical or biomedical state.,exclude,review,review_not_primary,reviewer_consensus,A: This cognitive-neuroscience review does not centrally synthesize learned medical or biomedical simulators. B: Planning mechanisms in healthy brains; The modeled system is outside a substantive medical or biomedical state.
AUD-2910bb23d897,primary_phrase_filter_residual,ResidencyRL: Reinforcement Learning in Simulated Clinical Environments,exclude,empirical,no_learned_dynamics,"The simulator is not learned or adapted from observed medical transition data, and its dynamics fidelity is not evaluated.",exclude,empirical,no_future_or_action_evaluation,"Llm patient-role simulation for rl training; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_learned_dynamics,reviewer_consensus,"A: The simulator is not learned or adapted from observed medical transition data, and its dynamics fidelity is not evaluated. B: Llm patient-role simulation for rl training; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-8641031fc6e4,primary_phrase_filter_residual,Simulating closed-loop transcranial brain stimulation for reinforcement learning-based treatment discovery,exclude,empirical,no_learned_dynamics,"RL learns stimulation choices, but the brain transition equations are hand-specified rather than data-fitted.",exclude,empirical,no_learned_dynamics,"Hand-specified neural circuit simulator; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted.",exclude,empirical,no_learned_dynamics,reviewer_consensus,"A: RL learns stimulation choices, but the brain transition equations are hand-specified rather than data-fitted. B: Hand-specified neural circuit simulator; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted."
AUD-f860c86723ab,primary_phrase_filter_residual,"T-World Virtual Human Cardiomyocyte. I. Development, Validation, and Cell Arrhythmogenesis.",include,empirical,include_empirical,A data-adapted cellular simulator is extensively validated under trajectories and interventions.,include,empirical,include_empirical,Experiment-calibrated cardiomyocyte dynamics; directly evaluated through independent trajectories drugs and stimulation.,include,empirical,include_empirical,reviewer_consensus,A: A data-adapted cellular simulator is extensively validated under trajectories and interventions. B: Experiment-calibrated cardiomyocyte dynamics; directly evaluated through independent trajectories drugs and stimulation.
AUD-480973cb8adc,primary_phrase_filter_residual,Toward Autonomous Clinics: Human-Robot Collaboration in Clinical Care.,exclude,review,review_not_primary,The narrative systems review does not centrally synthesize learned medical transition simulators.,exclude,review,review_not_primary,Broad clinic robotics collaboration; Learned medical transition or rollout systems are not a central evidence category.,exclude,review,review_not_primary,reviewer_consensus,A: The narrative systems review does not centrally synthesize learned medical transition simulators. B: Broad clinic robotics collaboration; Learned medical transition or rollout systems are not a central evidence category.
AUD-f3e048ff7f5e,primary_phrase_filter_residual,A Bayesian mixture model for Poisson network autoregression.,include,empirical,include_empirical,The fitted autoregressive network directly evaluates next epidemiological states.,include,empirical,include_empirical,Fitted poisson network autoregression; directly evaluated through simulation and disease-network prediction.,include,empirical,include_empirical,reviewer_consensus,A: The fitted autoregressive network directly evaluates next epidemiological states. B: Fitted poisson network autoregression; directly evaluated through simulation and disease-network prediction.
AUD-88edf55a5ac3,primary_medical_filter_residual,A mechanistic theory of planning in prefrontal cortex,exclude,not_applicable,wrong_domain,The model is trained on synthetic tasks rather than observed medical or biomedical state dynamics.,exclude,not_applicable,wrong_domain,Trained planning network for abstract tasks; The modeled system is outside a substantive medical or biomedical state.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: The model is trained on synthetic tasks rather than observed medical or biomedical state dynamics. B: Trained planning network for abstract tasks; The modeled system is outside a substantive medical or biomedical state.
AUD-c77c5cd83736,primary_phrase_filter_residual,A Novel Model for Generating Patient Laboratory Test Orders from Admission: Transformer Model Approach,include,empirical,include_empirical,The clinical-process sequence model directly evaluates future order-state generation.,include,empirical,include_empirical,Clinical-order sequence dynamics; directly evaluated through next-order predictions across hospitalization.,include,empirical,include_empirical,reviewer_consensus,A: The clinical-process sequence model directly evaluates future order-state generation. B: Clinical-order sequence dynamics; directly evaluated through next-order predictions across hospitalization.
AUD-1ef3d697e152,primary_phrase_filter_residual,A time-dependent model for quantifying postoperative inflammatory trajectories and predicting survival in early triple-negative breast cancer,exclude,empirical,no_learned_dynamics,Trajectory clustering and survival discrimination do not model patient-state transitions.,exclude,empirical,no_future_or_action_evaluation,"Time-dependent prognostic covariates; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_learned_dynamics,reviewer_consensus,"A: Trajectory clustering and survival discrimination do not model patient-state transitions. B: Time-dependent prognostic covariates; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-201e45b5752f,primary_phrase_filter_residual,Advancements and challenges in autonomous endovascular interventional robotics: A comprehensive review.,exclude,review,review_not_primary,Learned action-conditioned anatomy or device dynamics are not a central review category.,exclude,review,review_not_primary,Broad endovascular robotics; Learned medical transition or rollout systems are not a central evidence category.,exclude,review,review_not_primary,reviewer_consensus,A: Learned action-conditioned anatomy or device dynamics are not a central review category. B: Broad endovascular robotics; Learned medical transition or rollout systems are not a central evidence category.
AUD-db69876f2c43,primary_phrase_filter_residual,AI-Based Decision Support for Perfusionists during Cardiopulmonary Bypass.,exclude,empirical,no_learned_dynamics,"The short proceedings report evaluates action prediction, not a learned bypass or patient transition model.",exclude,empirical,no_learned_dynamics,"Supervised and model-free offline policies; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted.",exclude,empirical,no_learned_dynamics,reviewer_consensus,"A: The short proceedings report evaluates action prediction, not a learned bypass or patient transition model. B: Supervised and model-free offline policies; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted."
AUD-6cfd09330b40,primary_phrase_filter_residual,Constructing future behavior in the hippocampal formation through composition and replay.,exclude,not_applicable,wrong_domain,The environment transitions are task-defined and the modeled state is basic spatial cognition rather than a medical system.,exclude,not_applicable,wrong_domain,Compositional task-state model; The modeled system is outside a substantive medical or biomedical state.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: The environment transitions are task-defined and the modeled state is basic spatial cognition rather than a medical system. B: Compositional task-state model; The modeled system is outside a substantive medical or biomedical state.
AUD-9ab3854e1ac9,primary_phrase_filter_residual,Flexible Blood Glucose Control: Offline Reinforcement Learning from Human Feedback,exclude,empirical,no_learned_dynamics,Evaluation uses a fixed physiological simulator; patient transition dynamics are not learned from the records.,exclude,empirical,no_learned_dynamics,"Learned reward and model-free insulin policy; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted.",exclude,empirical,no_learned_dynamics,reviewer_consensus,"A: Evaluation uses a fixed physiological simulator; patient transition dynamics are not learned from the records. B: Learned reward and model-free insulin policy; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted."
AUD-4e718d0793de,primary_phrase_filter_residual,"Forecasting Cancer Incidence in Canada by Age, Sex, and Region Until 2026 Using Machine Learning Techniques",exclude,empirical,no_future_or_action_evaluation,This is ordinary incidence forecasting without an evolving biomedical-state simulator.,exclude,empirical,no_future_or_action_evaluation,"Aggregate cancer-incidence forecasting; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_future_or_action_evaluation,reviewer_consensus,"A: This is ordinary incidence forecasting without an evolving biomedical-state simulator. B: Aggregate cancer-incidence forecasting; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-312e8508d6a9,primary_phrase_filter_residual,Forecasting hospital resource demand using time series and machine learning models,exclude,empirical,no_future_or_action_evaluation,Resource-demand prediction does not model and evaluate healthcare-system state transitions or actions.,exclude,empirical,no_future_or_action_evaluation,"Hospital resource-demand forecasting; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_future_or_action_evaluation,reviewer_consensus,"A: Resource-demand prediction does not model and evaluate healthcare-system state transitions or actions. B: Hospital resource-demand forecasting; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-7b0da5c1d62d,primary_medical_filter_residual,Impaired goal-directed planning in transdiagnostic compulsivity is explained by uncertainty about learned task structure,exclude,not_applicable,wrong_domain,"The modeled state is the external decision task, not a patient or physiological trajectory.",exclude,not_applicable,wrong_domain,Internal task-structure learning; The modeled system is outside a substantive medical or biomedical state.,exclude,not_applicable,wrong_domain,reviewer_consensus,"A: The modeled state is the external decision task, not a patient or physiological trajectory. B: Internal task-structure learning; The modeled system is outside a substantive medical or biomedical state."
AUD-53942809188b,primary_phrase_filter_residual,Meeting Global Health Needs via Infectious Disease Forecasting: Development of a Reliable Data-Driven Framework.,exclude,empirical,no_future_or_action_evaluation,"The operational pipeline evaluates forecast accuracy, not a state-transition or intervention simulator.",exclude,empirical,no_future_or_action_evaluation,"Infectious-disease count forecasting; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_future_or_action_evaluation,reviewer_consensus,"A: The operational pipeline evaluates forecast accuracy, not a state-transition or intervention simulator. B: Infectious-disease count forecasting; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-683e9266c36c,primary_phrase_filter_residual,Multi-timescale reinforcement learning in the brain.,exclude,not_applicable,wrong_domain,The learned quantities concern task reward prediction rather than evolution of a medical or biomedical state.,exclude,not_applicable,wrong_domain,Multi-timescale reward learning; The modeled system is outside a substantive medical or biomedical state.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: The learned quantities concern task reward prediction rather than evolution of a medical or biomedical state. B: Multi-timescale reward learning; The modeled system is outside a substantive medical or biomedical state.
AUD-7bf30e9c2ee4,primary_phrase_filter_residual,Physiology-Guided Blood Glucose Predictive Model Using Minimal Blood Glucose Dynamics,include,empirical,include_empirical,The explicit next physiological state is learned from patient time series and directly evaluated.,include,empirical,include_empirical,Data-fitted minimal glucose dynamics; directly evaluated through future glucose-state prediction.,include,empirical,include_empirical,reviewer_consensus,A: The explicit next physiological state is learned from patient time series and directly evaluated. B: Data-fitted minimal glucose dynamics; directly evaluated through future glucose-state prediction.
AUD-609b6c21c587,primary_phrase_filter_residual,Prospective contingency explains behavior and dopamine signals during associative learning.,exclude,not_applicable,wrong_domain,The modeled transitions belong to an experimental reward task rather than a medical or biomedical state.,exclude,not_applicable,wrong_domain,Trained task-state representations; The modeled system is outside a substantive medical or biomedical state.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: The modeled transitions belong to an experimental reward task rather than a medical or biomedical state. B: Trained task-state representations; The modeled system is outside a substantive medical or biomedical state.
AUD-5c3358c051d6,primary_phrase_filter_residual,"Reinforcement learning for healthcare operations management: methodological framework, recent developments, and future research directions",exclude,review,review_not_primary,The review is broad across model-free and model-based RL; learned healthcare transition models are not central.,exclude,review,review_not_primary,Broad healthcare-operations rl; Learned medical transition or rollout systems are not a central evidence category.,exclude,review,review_not_primary,reviewer_consensus,A: The review is broad across model-free and model-based RL; learned healthcare transition models are not central. B: Broad healthcare-operations rl; Learned medical transition or rollout systems are not a central evidence category.
AUD-62a9e37639bc,primary_phrase_filter_residual,Reinforcement Learning in Medical Settings —A Review of Counterfactual Reward Estimation Methods Based on Causal Graphs,exclude,review,review_not_primary,"The focus is reward and causal estimation, not learned patient transition or rollout systems.",exclude,review,review_not_primary,Causal reward-estimation methods; Learned medical transition or rollout systems are not a central evidence category.,exclude,review,review_not_primary,reviewer_consensus,"A: The focus is reward and causal estimation, not learned patient transition or rollout systems. B: Causal reward-estimation methods; Learned medical transition or rollout systems are not a central evidence category."
AUD-e1f6926dd145,primary_phrase_filter_residual,Trial-by-trial learning of successor representations in human behavior.,exclude,not_applicable,wrong_domain,The state space is an experimental graph rather than a medical or physiological system.,exclude,not_applicable,wrong_domain,Successor-representation learning; The modeled system is outside a substantive medical or biomedical state.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: The state space is an experimental graph rather than a medical or physiological system. B: Successor-representation learning; The modeled system is outside a substantive medical or biomedical state.
AUD-2dc07ed0e914,primary_phrase_filter_residual,Using computational models of learning to advance cognitive behavioral therapy.,exclude,review,review_not_primary,"It is a conceptual treatment review, not a synthesis of learned medical dynamic simulators.",exclude,review,review_not_primary,Learning theories for psychotherapy; Learned medical transition or rollout systems are not a central evidence category.,exclude,review,review_not_primary,reviewer_consensus,"A: It is a conceptual treatment review, not a synthesis of learned medical dynamic simulators. B: Learning theories for psychotherapy; Learned medical transition or rollout systems are not a central evidence category."
AUD-2e79c600b25d,primary_phrase_filter_residual,A Deep Learning-Enhanced Compartmental Model and Its Application in Modeling Omicron in China.,include,empirical,include_empirical,Learned epidemiological transitions and future trajectories are directly evaluated.,include,empirical,include_empirical,Deep-learned compartment parameters; directly evaluated through 28-day epidemic trajectories.,include,empirical,include_empirical,reviewer_consensus,A: Learned epidemiological transitions and future trajectories are directly evaluated. B: Deep-learned compartment parameters; directly evaluated through 28-day epidemic trajectories.
AUD-69448c657186,primary_phrase_filter_residual,A mini-review on perturbation modelling across single-cell omic modalities.,include,review,include_review,Perturbation-conditioned cellular-state prediction is the review's central evidence category.,include,review,include_review,"Substantially synthesizes single-cell perturbation models, including substantial methods and benchmark synthesis.",include,review,include_review,reviewer_consensus,"A: Perturbation-conditioned cellular-state prediction is the review's central evidence category. B: Substantially synthesizes single-cell perturbation models, including substantial methods and benchmark synthesis."
AUD-25baab647428,primary_phrase_filter_residual,A recurrent network model of planning explains hippocampal replay and human behavior,exclude,not_applicable,wrong_domain,The modeled environment is artificial navigation and not a medical or biomedical state system.,exclude,not_applicable,wrong_domain,Agent planning and policy rollouts; The modeled system is outside a substantive medical or biomedical state.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: The modeled environment is artificial navigation and not a medical or biomedical state system. B: Agent planning and policy rollouts; The modeled system is outside a substantive medical or biomedical state.
AUD-0549262f2fd7,primary_phrase_filter_residual,Agent Hospital: A Simulacrum of Hospital with Evolvable Medical Agents,exclude,empirical,no_future_or_action_evaluation,"Evaluation emphasizes doctor-agent question answering, not simulator fidelity or patient-state trajectories.",exclude,empirical,no_future_or_action_evaluation,"Llm hospital role-play; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_future_or_action_evaluation,reviewer_consensus,"A: Evaluation emphasizes doctor-agent question answering, not simulator fidelity or patient-state trajectories. B: Llm hospital role-play; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-a21a0e3ea5ec,primary_phrase_filter_residual,Latent-state and model-based learning in PTSD.,exclude,review,review_not_primary,It synthesizes task-representation biases rather than learned patient-state simulators.,exclude,review,review_not_primary,Latent task-state learning in ptsd; Learned medical transition or rollout systems are not a central evidence category.,exclude,review,review_not_primary,reviewer_consensus,A: It synthesizes task-representation biases rather than learned patient-state simulators. B: Latent task-state learning in ptsd; Learned medical transition or rollout systems are not a central evidence category.
AUD-d61bb80c2d83,primary_phrase_filter_residual,Longitudinal Targeted Minimum Loss-based Estimation with Temporal-Difference Heterogeneous Transformer.,exclude,empirical,no_future_or_action_evaluation,Policy-value estimation does not generate or validate future patient states or transition dynamics.,exclude,empirical,no_future_or_action_evaluation,"Counterfactual outcome estimator; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_future_or_action_evaluation,reviewer_consensus,"A: Policy-value estimation does not generate or validate future patient states or transition dynamics. B: Counterfactual outcome estimator; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
AUD-d2a31182ebf8,primary_phrase_filter_residual,OMG-RL:Offline Model-based Guided Reward Learning for Heparin Treatment,include,empirical,include_empirical,The study learns clinical treatment dynamics and operationally uses them for simulated policy evaluation.,include,empirical,include_empirical,Action-conditioned patient transition model; directly evaluated through model rollouts and conservative policy evaluation.,include,empirical,include_empirical,reviewer_consensus,A: The study learns clinical treatment dynamics and operationally uses them for simulated policy evaluation. B: Action-conditioned patient transition model; directly evaluated through model rollouts and conservative policy evaluation.
AUD-6b102192c765,primary_phrase_filter_residual,Reinforcement Learning Algorithms and Applications in Healthcare and Robotics: A Comprehensive and Systematic Review.,exclude,review,review_not_primary,Learned medical transition simulators are not a central evidence category.,exclude,review,review_not_primary,Broad healthcare and robotics rl; Learned medical transition or rollout systems are not a central evidence category.,exclude,review,review_not_primary,reviewer_consensus,A: Learned medical transition simulators are not a central evidence category. B: Broad healthcare and robotics rl; Learned medical transition or rollout systems are not a central evidence category.
AUD-54639c566bb3,primary_phrase_filter_residual,SafeRPlan: Safe deep reinforcement learning for intraoperative planning of pedicle screw placement,exclude,empirical,no_learned_dynamics,"The policy is learned, but anatomy and procedural transition dynamics are predefined.",exclude,empirical,no_learned_dynamics,"Safe model-free surgical planning policy; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted.",exclude,empirical,no_learned_dynamics,reviewer_consensus,"A: The policy is learned, but anatomy and procedural transition dynamics are predefined. B: Safe model-free surgical planning policy; Sequential behavior is evaluated, but transition dynamics are not learned or data-adapted."
AUD-3b3b7e43e701,primary_phrase_filter_residual,Structural and practical identifiability of contrast transport models for DCE-MRI.,include,empirical,include_empirical,Data-fitted physiological transport dynamics receive direct trajectory and fidelity evaluation.,include,empirical,include_empirical,Clinical-data-fitted contrast transport dynamics; directly evaluated through model-data fit and parameter identifiability.,include,empirical,include_empirical,reviewer_consensus,A: Data-fitted physiological transport dynamics receive direct trajectory and fidelity evaluation. B: Clinical-data-fitted contrast transport dynamics; directly evaluated through model-data fit and parameter identifiability.
AUD-93cb6bb435b3,primary_medical_filter_residual,Structure-aware World Model for Probe Guidance via Large-scale Self-supervised Pre-train,include,empirical,include_empirical,The model learns action-conditioned echocardiographic observations and directly evaluates guidance capability.,include,empirical,include_empirical,Position-conditioned echocardiography world model; directly evaluated through target-plane prediction and probe guidance.,include,empirical,include_empirical,reviewer_consensus,A: The model learns action-conditioned echocardiographic observations and directly evaluates guidance capability. B: Position-conditioned echocardiography world model; directly evaluated through target-plane prediction and probe guidance.
AUD-76de51a9993d,primary_phrase_filter_residual,SurGen: Text-Guided Diffusion Model for Surgical Video Generation,exclude,empirical,no_future_or_action_evaluation,"Evaluation covers visual quality, temporal coherence, and prompt alignment but not medical state or action dynamics.",exclude,empirical,no_future_or_action_evaluation,"Text-conditioned surgical video generation; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics.",exclude,empirical,no_future_or_action_evaluation,reviewer_consensus,"A: Evaluation covers visual quality, temporal coherence, and prompt alignment but not medical state or action dynamics. B: Text-conditioned surgical video generation; The evaluation does not establish qualifying future-state, rollout, or action-response dynamics."
