candidate_id,title,domain_group,highest_capability_claim,missingness_reporting,censoring_reporting,formal_calibration,frozen_external_validation,explicit_causal_estimand,action_perturbation,closed_loop_evaluation,safety_hazard_test,public_code,reproducibility_evidence,appraisal_strengths,appraisal_limitations,evidence_anchors
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,imaging_biological,passive_forecasting,not_applicable,not_applicable,no,unclear,NA,NA,no,no,unclear,1,"Subject-disjoint OOD testing, diverse probes, repeated seeds, and a reported negative audio-conditioning result",No clinically meaningful trajectory simulator; very small clinical cohorts; private pretraining data; no uncertainty calibration; audio conditioning was ineffective,Abstract pp.1-2; Sec. 3 pp.3-5 and Table 9 p.19; Sec. 4 pp.6-9 and Tables 1-4; clinical evaluations pp.10-15 and Tables 5-8; Appendix Tables 12-20 pp.20-25; Limitations p.16
MWM-X6FB8E7370E,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,longitudinal_physiology_decision,counterfactual,not_identified,described,no,no,yes,yes,simulation,no,no,1,"Directly decision-oriented rare-disease simulations, explicit scenario perturbations, repeated trials, and an accessible interactive implementation","Small high-risk source subsets, single-registry provenance, hypothetical treatment response, no safety model, and no independent intervention validation","Clinical and Translational Science full text, DOI 10.1002/psp4.70258: Methods on CTS development and simulation; case-report Results and figures/tables; Discussion limitations; Data S1 code examples."
MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,imaging_biological,action_conditioned,described,described,no,no,NA,yes,no,no,no,0,"Long single-cell trajectories, an explicit monotonic outcome constraint, a no-action ablation, and a free-forecast metric support action-conditioned cellular forecasting","One recording creates dependence and possible leakage across trajectory splits; track termination is not modeled; no external data, calibration, action perturbation, statistical testing, or intervention evidence","Methods, pp. 3-5: RSSM state, action, decoder, and monotonic outcome; Dataset and protocol, p. 6: recording, tracking, scale, split, and exclusions; Table 1, p. 7: predictive baselines and metrics; Fig. 3, p. 8: latent modes and transitions"
MWM-0034,Brain-WM: Brain Glioblastoma World Model,imaging_biological,counterfactual,not_identified,described,no,yes,no,no,no,no,yes,2,"Subject-level splitting, two independent external cohorts, strong task-specific baselines and explicitly treatment-conditioned images","No causal assumptions or counterfactual validation, no multi-step rollout, calibration, safety or prospective utility; dense within-patient pairs may overweight some subjects","p.1 Abstract and Fig. 1; pp.2-5 Sec. III for state, treatments and architecture; pp.5-6 Sec. IV-A and Tables I-II for cohorts and splits; pp.7-9 Figs. 4-7 and Tables III-IV for external results and stratified analyses; p.9 Conclusion"
MWM-0239,CLARITY: Medical World Model for Guiding Treatment Decisions by Modeling Context-Aware Disease Trajectories in Latent Space,imaging_biological,planning,not_identified,described,no,yes,no,no,offline,no,no,0,"Patient-level modeling, a zero-shot external imaging cohort, multimodal temporal conditioning, survival metrics, explicit planner constraints, and an expert assessment support predictive and usability components",No causal identification supports unobserved treatment outcomes; the reported 75/15/15 split is inconsistent; observed regimen is an imperfect reference for optimal care; recursive rollout accuracy is not validated by horizon; expert review is only two raters and 40 cases; GPT-5 planning limits reproducibility,"Methods/rollout, pp. 5-10: state, treatments, transition, survival, and iterative planning; Datasets, p. 10: cohort sizes and split; Tables 1-6 and Figs. 5-6, pp. 11-15: baselines, metrics, external test, and expert evaluation; Appendix, pp. 19-24: losses, prompt safety constraints, ablations, and limitations"
MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation",longitudinal_physiology_decision,passive_forecasting,described,described,yes,yes,NA,NA,no,no,unclear,1,"Transparent teacher-forcing boundary, true held-out-hospital tests, second dataset, and candid reporting of reversed component rankings","Single seed; auxiliary baseline heads intentionally untrained; small/demo cohorts; no free-running rollout, clinical utility, or imaging validation","pp.1-4 Abstract and Secs.1-2; pp.4-7 Sec.3; pp.7-10 Sec.4, Tables 1-2, Figs.1-2; pp.11-12 Secs.5-6"
MWM-XD3411F7D18,"CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling",imaging_biological,counterfactual,not_identified,not_applicable,no,no,no,yes,offline,no,yes,2,"Mechanistic executable model, multiple real and simulated datasets, public code/data/calibrated artifacts, and explicit perturbation files","Full-text-only sample counts, metric definitions, statistical procedures, causal assumptions, and paper tables remain NI because bioRxiv returned HTTP 429; repository evidence was not used to invent those details.","Accessible primary evidence: bioRxiv v2 abstract/version metadata for DOI 10.64898/2026.03.31.715390 and the official eliasventre/CardamomOT README, configs, dataset modules, tests, experimental_datasets, and article-result scripts. Direct v2 PDF/HTML requests returned HTTP 429 on 2026-09-12."
MWM-0294,Cardiac Copilot: Automatic Probe Guidance for Echocardiography with World Model,procedural_embodied,planning,not_applicable,not_applicable,no,no,NA,no,offline,no,unclear,0,"Unseen-person scan split, clinically collected synchronized poses and real-time inference","Only healthy males, three target planes and 15 test scans; one weak component baseline; no closed-loop trial, external validation, statistics, calibration or safety","pp.1-3 Abstract and Introduction; pp.4-6 Sec. 2 and Fig. 2 for data, state, motion and model; pp.6-8 Sec. 3, Table 1 and Fig. 3 for held-out errors and latency; p.8 Conclusion"
MWM-X1BBCF32528,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics",imaging_biological,passive_forecasting,described,not_applicable,no,no,NA,NA,no,no,yes,2,"Leakage-aware temporal holdouts, broad fidelity tests, common-split baselines, public data, and public code","Cross-sectional snapshots do not establish same-cell dynamics; no frozen external forecasting, formal calibration, or intervention test","bioRxiv v1 Figs. 1-5 and supplements; Methods datasets, deterministic stage splits, generation, and metrics; Software/Data Availability; DOI 10.64898/2026.02.25.707938"
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,imaging_biological,action_conditioned,described,not_applicable,no,yes,no,no,no,no,unclear,1,Large multi-dataset pretraining corpus; explicit one-step scope boundary; multiple downstream datasets; matched architecture controls; per-target temporal results and architecture/training ablations,"Action token is null during temporal pretraining and not evaluated downstream; perturbation evidence comes from embedding replacement inside GEARS; no rollout, calibration, broad frozen external validation, or causal identification; only the zero-shot Weinreb fate analysis is frozen, and exact downstream split details are incomplete","Abstract and pp. 2-7 for claim, model, pretraining corpus, and protocol; Tables 1-4 on pp. 8-9; Scope on pp. 9-10; Appendices A-C and Tables 5-6 on pp. 12-15; uncertainty limitation on p. 16; ablations on pp. 17-18; NeurIPS checklist pp. 19-25"
MWM-0046,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,longitudinal_physiology_decision,counterfactual,described,described,no,no,no,yes,no,no,unclear,0,"Patient-level split, explicit missingness representation, free-running rollout training, and action-channel ablations","Single-source selected cohort; one weak LLM baseline; no causal adjustment, overlap check, calibration, external validation, or statistical uncertainty; annual actions are coarse","Abstract p.1; Sec. 2.4 pp.3-4, including non-causal qualification; Sec. 3 and Fig. 1 pp.4-6; Sec. 4 and Tables 1-3 pp.6-8; Sec. 5 and Tables 4-5 pp.8-9; Secs. 6.2 and 6.4 p.10"
MWM-XC0A20D0271,Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,longitudinal_physiology_decision,action_conditioned,described,described,no,no,NA,no,offline,no,yes,2,Clear patient-disjoint split; explicit free-running 48-hour evaluation; strong failure-mode ablations; direct latent-state and downstream task evidence; detailed feature and training appendices; public code,"Single-source retrospective data; no action-sensitivity test despite action-conditioned framing; no calibration, external validation, causal identification, clinical decision study, or safety evaluation; only one reported training seed","Abstract and pp. 2-6 for claims, state/action encoding, transition, and curriculum; Fig. 2 and Sec. 5.2 pp. 6-7 for 48-hour rollout; Fig. 3 pp. 8-9 for state geometry; Fig. 4 and Sec. 5.4 p. 9; Appendices A-D pp. 13-18 for features, hyperparameters, ablations, and confidence intervals"
MWM-XA5A2F4844E,Control of Magnetic Surgical Robots With Model-Based Simulators and Reinforcement Learning.,procedural_embodied,planning,not_applicable,not_applicable,no,no,NA,no,real,yes,no,0,Direct learned-transition validation plus frozen sim-to-real closed-loop evaluation and concrete hardware hazard controls,"Single apparatus, one-step simulator metric only, no uncertainty/action ablation, limited safety scope, and no public artifacts.","IEEE TMRB full text, DOI 10.1109/TMRB.2022.3214426: Secs. II-B-II-D on data, model, and TD3; Sec. III and Figs. 4-7 on model loss and real-robot transfer; hardware safety descriptions."
MWM-S004,Cosmos-H-Surgical: Learning Surgical Robot Policies from Videos via World Modeling,procedural_embodied,planning,not_applicable,not_applicable,no,no,NA,no,offline,yes,yes,1,Open code/model; real held-out action data; prompt-curation ablation; multiple synthetic-data scales and repeated generation seeds,"Separate world-model, inverse-dynamics, and policy stages; world model is not kinematic-action conditioned; no closed-loop robot success; tiny same-platform robot set; pseudo-action noise and data availability are unresolved","Abstract and artifact links p.1; Sec. 3 pp.4-5; Sec. 4, Tables 1-2, and Figs. 4-8 pp.5-9; Conclusion p.8; Supplement pp.12-15"
MWM-0054,CrossScope: A Role-Asymmetric World Model for Joint Dual-Scope Surgical Video Prediction,procedural_embodied,action_conditioned,described,not_applicable,no,no,NA,yes,no,no,no,1,"Episode/patient-disjoint splits, competitive video baselines, role-specific geometric metrics, and explicit implementation details provide strong short-horizon video evidence","The conditioning variable is not an operator action; the real cohort is small and single-setting; horizon is short and non-autoregressive; no calibrated uncertainty, clinical utility, or safety evaluation; one run per model","Benchmark overview, p. 2: paired data and counts; Methods, pp. 3-5: latent streams, routing, trajectory proxy, and horizon; Tables 1-2 and Fig. 6, pp. 5-7: baselines and fidelity; Appendix Tables 4-10, pp. 11-15: geometry metrics, controls, seeds, and implementation; Appendix p. 15: traces are independent windows"
MWM-XD7F5DAFF27,DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer.,longitudinal_physiology_decision,planning,described,described,no,no,no,yes,offline,no,no,0,"Sequential treatment representation, multi-horizon outcomes, uncertainty display and direct clinician-centered evaluation","Single-center retrospective data; unresolved 526-versus-536 cohort-count inconsistency; incomplete censoring/confounding and overlap characterization; no external/prospective validation, formal calibration, public pipeline, or hazard test.","Accepted author manuscript arXiv:2407.13107, Sections 3-5, Figs. 5-8, quantitative tables, and Appendix A.2. Main text reports n=526, while Appendix A.2 reports n=536=389+147; both values are retained as an unresolved publication inconsistency."
MWM-XFA677C184B,DRIFT: Direct-Recursive Intervention-Conditioned Forecasting of ICU Physiological Trajectories,longitudinal_physiology_decision,action_conditioned,described,described,no,no,NA,yes,offline,no,no,1,Strong causal boundary language; detailed action provenance and timing; action-agnostic and perturbation audits; multi-horizon and lead-wise diagnostics; patient-disjoint cross-database replication; extensive statistical robustness,"Absolute gains are small and concentrated on MAP; eICU requires retraining and is not site-held-out; binary exposure omits dose and co-interventions; no predictive calibration, clinical decision utility, or causal effect validation; code is not yet public","Main text pp. 1-7 for claim boundary, model, datasets, replacement audit, results, and limitations; Tables 1-4 pp. 6-7; Appendices B-C pp. 10-20 for cohort, preprocessing, losses, seeds, and checkpoint robustness; Appendix D pp. 21-24 for action audits; Appendices F-H pp. 25-34 for rollout diagnostics, code status, and eICU replication"
MWM-0369,Data-Efficient Reinforcement Learning for Malaria Control,longitudinal_physiology_decision,planning,not_applicable,not_applicable,no,no,NA,no,simulation,no,yes,2,"Uncertainty directly informs exploration; the work includes a sample-complexity argument, strong simulation baselines, repeated runs, and public code","Evidence is simulator-only and predates current medical-world-model framing; the compact state omits epidemiologic measurements; no field validation, empirical calibration, mismatch stress test, or deployment safety analysis","Problem and method, pp. 1-4: MDP, state/action, GP transition, uncertainty bonus, and search; Theorem, pp. 4-5: sample complexity; Experiments, Table 1 and Fig. 4, pp. 5-6: simulators, baselines, 20-trial budget, and 10-run results"
MWM-X2BD39C3B8E,Deep Generative Model of Macrophage Immune Response for Hepato-intestinal Tumor Therapy Optimization.,imaging_biological,planning,described,described,no,yes,no,yes,real,yes,unclear,1,"Large multimodal cohort, patient-level splits, missing-modality handling, held-out trajectory and geographic validation, explicit planning, real observational decision use, and adverse-event reporting","Nonrandomized treatment uptake, no causal identification or positivity diagnostic, modality advantages across baselines, no horizon-resolved rollout fidelity or formal calibration, and no stable code/checkpoint URL","Primary journal PDF Figs. 1-4; cohort/completeness and temporal holdout Methods; TDM, MPC/CEM, training and evaluation Methods; trajectory Results; Table 4; deployment, limitations, and Reproducibility sections"
MWM-X872C154484,Development of a model-based clinical trial simulation platform to optimize the design of clinical trials for Duchenne muscular dystrophy.,longitudinal_physiology_decision,counterfactual,described,described,no,yes,no,yes,simulation,no,yes,1,"Large integrated longitudinal dataset, true geographically external validation, multiple clinically meaningful outcomes, and accessible model code","Treatment effects are hypothetical, dropout and safety are not modeled, governed data limit reproduction, and clinical decision impact is untested.","Clinical and Translational Science full text, DOI 10.1002/psp4.12753: cohort/model-development Methods; internal and external VPC Results; trial-simulation platform description; Appendix S5 model code."
MWM-X1305C7353F,Digital twin brain simulator for real-time consciousness monitoring and virtual intervention using primate electrocorticogram data,imaging_biological,action_conditioned,described,not_applicable,no,no,NA,yes,offline,no,yes,1,"Leave-one-animal evaluation, explicit hierarchical states, horizon-resolved free simulation, online assimilation, and multi-level virtual intervention sensitivity.","Only four animals; held-out-subject evidence becomes adapted after assimilation; intervention remains latent/model-based; no formal calibration, real intervention validation, hazard test, or confirmed study-specific weights/configuration.","npj Digital Medicine PMCID PMC11811282: Methods on ECoG data, hierarchical V-RNN, data assimilation, and virtual intervention; Figs. 2-5, Table 1, supplementary 1-100-step prediction results, and 2,000-step intervention; Data Availability; h-idei/pvrnn_sa repository checked."
MWM-XF38CEA9063,Digital twin models for predicting venetoclax and azacitidine-induced neutropenia in patients with acute myeloid leukemia.,longitudinal_physiology_decision,action_conditioned,described,described,no,no,NA,yes,offline,yes,yes,1,"Interpretable dynamics, patient temporal testing, horizon-separated results, toxicity target, comparators, public code","Small selected subset, sparse data, high interpatient error, no external validation/calibration, and five cycles needed","Primary article Figs. 1-3 and Table 2; Model fitting and continuous updating Results; Methods patient selection, multi-cycle learning, interpolation, and statistics; Data/Code availability"
MWM-0068,DreamReg: Belief-Driven World Model for 2D-3D Ultrasound Registration,procedural_embodied,planning,not_applicable,not_applicable,no,no,NA,yes,simulation,no,yes,2,"Case-level splits, two datasets, genuinely free-running inference, and geometric, image and runtime metrics","Evaluation uses resampled synthetic slices, omits tissue deformation and live feedback, and lacks rollout-drift, calibration, safety and repeated-seed analyses","p.1 Abstract; pp.3-6 Sec. 2 and Figs. 1-2 for state, actions and dynamics; pp.6-8 Sec. 3 and Tables 1-2 for datasets, horizons, metrics and ablations; p.9 Conclusion"
MWM-0073,ECG-WM: A Physiology-Informed ECG World Model for Clinical Intervention Simulation,longitudinal_physiology_decision,counterfactual,described,not_applicable,no,yes,no,yes,offline,yes,unclear,1,"Action-conditioned paired data, patient-disjoint splits, rollout-oracle audit, OOD and corruption tests, physiological constraints, explicit stochastic risk",Counterfactual and treatment-ranking claims exceed causal evidence; risk is a model-derived proxy; exact horizons/support and statistical uncertainty are underreported,"pp.1-5 Abstract, Secs.1-4, Figs.1-2; pp.6-9 Sec.5, Tables 1-4; pp.9-10 Sec.6; pp.13-19 Apps.A-B, Figs.3-9, Tables 5-8"
MWM-0074,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,longitudinal_physiology_decision,counterfactual,described,described,no,no,no,no,no,no,unclear,0,"Full-hospitalization evaluation, explicit next-step versus rollout retention, patient separation, and a high-sensitivity stress test","Causal language exceeds evidence; no confounding or overlap analysis, calibration, action ablation, external validation, simple baselines, or released derived resource","Abstract pp.1-2; Sec. 3 and Fig. 2 pp.3-4; Sec. 4 pp.4-5 and Algorithm 1 p.13; Sec. 5 pp.5-8, Tables 1-2, and Fig. 3; Limitations and Ethics p.9; Appendices A and C pp.11-14"
MWM-0242,EchoWorld: Learning Motion-Aware World Models for Echocardiography Probe Guidance,procedural_embodied,action_conditioned,not_applicable,described,no,no,NA,yes,offline,no,yes,1,"Individual-disjoint scan split, roughly one million images, spatial and motion ablations, and common-backbone comparisons","Healthy male single-setup cohort; offline direct guidance rather than rollout control; no calibration, safety, statistical detail, external center or public data","p.1 Abstract; pp.3-6 Secs. 3-4 and Fig. 4 for collection, state, motion and objectives; pp.6-8 Sec. 5, Tables 1-3 and Figs. 7-9 for held-out results and ablations; pp.12-14 supplement A-C for split, planes and training details"
MWM-0077,EyeWorld: A Generative World Model of Ocular State and Dynamics,imaging_biological,counterfactual,described,described,no,no,no,yes,no,no,no,0,"Large multimodal scale, patient-level splitting, broad ophthalmic tasks, comparator models, and real longitudinal images support multimodal image modeling","The highest counterfactual claim is supported only by prompt editing and image-level plausibility, with no causal intervention model, overlap analysis, recursive rollout, calibrated uncertainty, or prospective validation; source and institution composition are incompletely reported","Data overview, pp. 5-7: sources, scale, splits, and exclusions; Fig. 7, pp. 16-18: longitudinal progression synthesis and metrics; Fig. 8, pp. 19-21: counterfactual prompt edits; Limitations and Methods, pp. 24-31: hallucination caveat, architecture, conditioning, and training"
MWM-0078,Failure Detection for Surgical Robot Imitation Policies via Flow-Matching World Modeling,procedural_embodied,action_conditioned,not_applicable,described,yes,no,NA,yes,offline,yes,no,1,"Disjoint conformal calibration, simulation and real hardware, 20 diverse failure modes and explicit action ablations","Training-demo scale is NI; evaluation is offline with only 19 calibration successes per task and no CIs, seeds, online intervention or clinical validation","p.1 Abstract; p.2 Fig. 1; pp.3-4 Sec. III for states, actions and flow model; pp.4-6 Sec. IV and Table I for tasks, calibration and counts; p.7 Figs. 5-6 for action and horizon ablations; p.8 Limitations"
MWM-0094,Future Querying: Can LLMs Serve as Implicit Medical World Models?,longitudinal_physiology_decision,passive_forecasting,described,described,no,no,NA,NA,no,no,unclear,0,"Large patient-wise test sets, real notes plus synthetic corpus, broad model baselines, and explicit necessary-not-sufficient world-model framing","Single-answer LLM-judge accuracy does not establish coherent dynamics; no calibration, horizon-stratified validity, action modeling, robustness, or clinician benchmark","pp.1-4 Abstract and Secs.1-4, Fig.1; pp.5-6 Secs.5.1-5.3, Fig.2; pp.7-8 Secs.5.4-6, Figs.3-4"
MWM-0095,"GEMEO: the first patient world model for rare disease, grounding generative clinical trajectories in the genome and a biomedical knowledge graph",longitudinal_physiology_decision,action_conditioned,not_identified,described,yes,unclear,NA,yes,no,no,yes,1,"Explicit capability-level boundary, strong simple baselines, action-mask test, bootstrap intervals, and open code/weights/benchmark",Self-released non-peer-reviewed manuscript; headline combines many components; flagship is not genome-conditioned; no causal or Level-3 counterfactual validation; external-test detail is sparse,"Abstract p.1; Sec. 2 pp.2-3; Sec. 3 pp.3-6 and Tables 1-3; Sec. 4 p.6; Methods p.7; Limitations, Ethics, and Data statements pp.7-8"
MWM-X056BF65776,Generating whole-brain neural activity and behavior through unified latent dynamics,imaging_biological,counterfactual,not_identified,not_applicable,no,no,no,yes,simulation,no,no,1,"Unusually long free generation, multimodal decoding, explicit stochastic modeling, repeated perturbations, and quantitative aggregate-dynamics checks","Single training/evaluation recording, no held-out subject/session, no biological perturbation validation, no calibration, and no code/weights.","bioRxiv v2 full text, DOI 10.64898/2026.06.05.730482: Results Secs. 2.2-2.5 and Figs. 2-4; Methods Secs. 4.1-4.5; supplementary robustness and intervention analyses."
MWM-0103,Intervention-Aware Clinical World Model for Post-Op Outcome Forecasting in Cardiology,longitudinal_physiology_decision,action_conditioned,described,not_identified,yes,no,NA,yes,no,no,unclear,1,"Irregular multimodal events are explicitly encoded; disjoint representation pretraining, event shuffling/ablation, internal calibration, and repeated cross-validation strengthen the forecasting evidence","Only 91 complete cases and no external validation; interventions are confounded and incompletely recorded; censoring, overlap, and causal identification are absent; retrospective input edits do not establish treatment effects","Methods and Table 1, pp. 3-5: cohort, state, event tokens, outcomes, and sample counts; Preprocessing, p. 5: MRI/ECG handling; Tables 2-4 and Fig. 3, pp. 6-7: baselines, calibration, and ablations; Fig. 4 and Limitations, p. 8: trajectories, edits, and noncausal boundary"
MWM-X6A64D732FB,Koopman-based linearization of preparatory EEG dynamics in Parkinson's disease during galvanic vestibular stimulation.,imaging_biological,planning,described,not_applicable,no,no,no,yes,simulation,no,yes,1,"Subject-level folds, horizon-resolved recursive error, observed stimulation contrasts, motor correlations, interpretable linear control, and public code.","Small single-site cohort and millisecond horizon; group-specific models; abstract identity-matrix control has no physiological dose mapping, explicit causal estimand, external validation, real model-directed intervention, or safety audit.","Frontiers full text PMCID PMC12116581: participants and EEG preprocessing, six-fold subject split, Deep Koopman model, 1-15-step prediction (Fig. 4), LQR methods and controlled/uncontrolled trajectory with bounded inputs (Fig. 8), statistics, and Data/Code Availability."
MWM-0261,Learning Emotional Dynamics: A World Model Approach,peripheral_health_adjacent,counterfactual,described,not_applicable,no,no,no,no,no,no,yes,2,"Free-running horizon analysis, conditioning comparator, LOSO check, public code, and detailed preprocessing","Tiny single dataset, ambiguous split, inconsistent time-horizon interpretation, no uncertainty/statistics, and unsupported causal wording","pp.1,4-8 Abstract and Secs.2.4-4.2; pp.12-19 Secs.4.4-4.8, Tables 2-3, Figs.6-13; pp.22-23 Secs.5.2-6; p.32 code availability"
MWM-XEA4B3285B2,Learning Temporal Basis Vectors for Closed-Loop Neural Stimulation.,imaging_biological,planning,described,not_applicable,no,no,NA,yes,simulation,no,yes,1,"Efficient action-conditioned forecasting, temporal tests, horizon accuracy, multiple baselines, and operational simulated control","Two animals, no subject-held-out/external validation, no calibrated uncertainty, simulation-only closed loop",Corresponding arXiv manuscript Secs. 3.1-3.6 and 4; forecasting/horizon results; two closed-loop simulations; Table 1; Appendix 6.1-6.4 and 6.9; Code/Data availability; EMBC DOI
