candidate_id,title,field,reviewer_a,reviewer_b,adjudicated_value,adjudication_anchor,adjudication_notes
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,action,NA: passive progression model,NA: no treatment or controllable action,NA: no treatment or controllable action,Sec. IV-A/IV-B and Fig. 3,Primary publication supports Reviewer B's more precise formulation for action; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,action_provenance,NA: no treatment or control input,NA: passive disease-progression forecasting,NA: passive disease-progression forecasting,Sec. IV-A/IV-B and Fig. 3,Primary publication supports Reviewer B's more precise formulation for action_provenance; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,transition_mechanism,Stage-specific conditional DCGAN modules arranged as a proposed cascade,"Cascaded conditional DCGAN modules; each later module conditions on the current or previously generated stage, with k-space manipulation and cortical-ribbon extraction",Stage-specific conditional DCGAN modules with a proposed cascade in which a generated cortical-ribbon image is combined with the original MRI for the next module,Sec. IV-A/IV-B and Fig. 3,Primary publication resolves transition_mechanism to the stated source-bounded value; incompatible or incomplete reviewer wording was not merged.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,rollout_regime,Proposed recursive cascade; complete held-out free-running patient rollout not demonstrated,Recursive cascade can feed a generated stage to the next module; evaluation is generated examples and fractal trends rather than held-out trajectory error,"Conceptual recursive cascade; experiments show separate 6- and 12-month generators plus visit-bucket fractal trends, not a same-patient held-out free-running cascade",Sec. IV-A/IV-B and Fig. 3,Primary publication resolves rollout_regime to the stated source-bounded value; incompatible or incomplete reviewer wording was not merged.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,capability_claim,Passive forecasting/simulation of MCI-to-AD atrophy,passive_forecasting,Passive forecasting/simulation of Alzheimer-related atrophy,Sec. IV-A/IV-B and Fig. 3,Primary publication resolves capability_claim to the stated source-bounded value; incompatible or incomplete reviewer wording was not merged.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,baselines,0: no predictive baseline,No standard forecasting baseline; descriptive full versus undersampled k-space and healthy/MCI fractal-range comparisons,No standard forecasting baseline; descriptive full versus undersampled k-space and healthy/MCI fractal-range comparisons,Sec. IV-E and V-B; Figs. 11-21,Primary publication supports Reviewer B's more precise formulation for baselines; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,state_fidelity_metrics,Generated-image examples and cortical-ribbon fractal dimension; no held-out image metric,"Fractal-dimension ranges and qualitative image inspection; NI: no SSIM, PSNR, clinical-label fidelity, or held-out distribution metric","Fractal-dimension ranges and qualitative image inspection; NI: no SSIM, PSNR, clinical-label fidelity, or held-out distribution metric",Sec. IV-E and V-B; Figs. 11-21,Primary publication supports Reviewer B's more precise formulation for state_fidelity_metrics; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,transition_metrics,Fractal trend by visit; ranges 1.68-1.76 full k-space and 1.50-1.60 undersampled,Direction of fractal-dimension change across visits; NI: no error against matched future patient images,"Fractal-dimension trends across 6-, 12-, 18-, 24-, 36-, and 48-month visit buckets; no error against matched future patient images",Sec. IV-E and V-B; Figs. 11-21,Primary publication resolves transition_metrics to the stated source-bounded value; incompatible or incomplete reviewer wording was not merged.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,rollout_stability,"0: no drift, divergence, or recursive-error metric","NI: no drift, collapse, constraint-violation, or long-rollout stability analysis","NI: no drift, collapse, constraint-violation, or long-rollout stability analysis",Sec. IV-E and V-B; Figs. 11-21,Primary publication supports Reviewer B's more precise formulation for rollout_stability; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,action_sensitivity,NA: no action,NA: no action input,NA: no action input,Sec. IV-E and V-B; Figs. 11-21,Primary publication supports Reviewer B's more precise formulation for action_sensitivity; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,calibration_and_uncertainty,"0: no intervals, coverage, or calibration","NI: no predictive intervals, calibration, coverage, or repeated-model uncertainty","NI: no predictive intervals, calibration, coverage, or repeated-model uncertainty",Sec. IV-E and V-B; Figs. 11-21,Primary publication supports Reviewer B's more precise formulation for calibration_and_uncertainty; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,external_validation,0: no external validation,NI: no external cohort or institution,NI: no external cohort or institution,Sec. IV-E and V-B; Figs. 11-21,Primary publication supports Reviewer B's more precise formulation for external_validation; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,decision_utility,0: clinical usefulness discussed but not tested,"Conceptual early-diagnosis/atrophy visualization only; no clinician, workflow, or decision comparison","Conceptual early-diagnosis/atrophy visualization only; no clinician, workflow, or decision comparison",Sec. IV-E and V-B; Figs. 11-21,Primary publication supports Reviewer B's more precise formulation for decision_utility; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,safety_evaluation,0: no safety evaluation,NI: no safety or failure-mode evaluation,NI: no safety or failure-mode evaluation,Sec. IV-E and V-B; Figs. 11-21,Primary publication supports Reviewer B's more precise formulation for safety_evaluation; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,statistical_analysis,"0: no confidence intervals, resampling, or hypothesis tests for progression","Descriptive fractal summaries; NI: no CIs, significance tests, resampling, or multiplicity control for forecasting","Descriptive fractal summaries; NI: no CIs, significance tests, resampling, or multiplicity control for forecasting",Sec. IV-E and V-B; Figs. 11-21,Primary publication supports Reviewer B's more precise formulation for statistical_analysis; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,causal_language,Prediction/simulation language only; no treatment-effect claim,Prediction/simulation language for atrophy progression without a causal intervention claim,Prediction/simulation language for atrophy progression without a causal intervention claim,"Abstract, Introduction, and Conclusion capability language",Primary publication supports Reviewer B's more precise formulation for causal_language; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,estimand,Observed-process image progression; no formal estimand,NA: observational future-image generation; no causal estimand,NA: observational future-image generation; no causal estimand,"Abstract, Introduction, and Conclusion capability language",Primary publication supports Reviewer B's more precise formulation for estimand; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,confounding_strategy,NA: no intervention claim,NA: no treatment-effect claim; NI for adjustment of cohort differences,NA: no intervention claim,"Abstract, Introduction, and Conclusion capability language",Primary publication supports Reviewer A for confounding_strategy; Reviewer B's competing interpretation was not retained.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,positivity_and_overlap,NA: no intervention contrast,NA: no causal treatment comparison,NA: no causal treatment comparison,"Abstract, Introduction, and Conclusion capability language",Primary publication supports Reviewer B's more precise formulation for positivity_and_overlap; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,code_access,0: code not reported,NI: no public code identified,NI: no public code identified,Sec. IV-B-IV-D and V; no availability statement,Primary publication supports Reviewer B's more precise formulation for code_access; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,weights_access,0: weights not reported,NI: no public model weights identified,NI: no public model weights identified,Sec. IV-B-IV-D and V; no availability statement,Primary publication supports Reviewer B's more precise formulation for weights_access; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,data_access,Credentialed ADNI access,ADNI is credentialed/request-based,ADNI is credentialed/request-based,Sec. IV-B-IV-D and V; no availability statement,Primary publication supports Reviewer B's more precise formulation for data_access; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,preprocessing_reproducibility,"1: source preprocessing, resampling, ribbon extraction, k-space processing, and thresholds described; split absent","Partial: image extraction, size, k-space variants, and GAN architecture described; cohort construction/split details insufficient","Partial: image extraction, size, k-space variants, and GAN architecture described; cohort construction/split details insufficient",Sec. IV-B-IV-D and V; no availability statement,Primary publication supports Reviewer B's more precise formulation for preprocessing_reproducibility; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,randomness,0: GAN noise used but seeds and repeated runs not reported,"NI: seeds, repeated runs, and stochastic variability not reported","NI: seeds, repeated runs, and stochastic variability not reported",Sec. IV-B-IV-D and V; no availability statement,Primary publication supports Reviewer B's more precise formulation for randomness; no incompatible claim from Reviewer A was carried forward.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,evidence_anchors,Primary PDF pp. 3-7; Fig. 3; Sec. IV; Sec. V-A/V-B; Fig. 21; stable DOI,Public author PDF pp. 3-7; Fig. 3; Experiments V.A-V.B; Figs. 11-21; Conclusion,"Primary IJCNN PDF Sec. IV-A/IV-E and V-A/V-B; Figs. 3, 11-21; Conclusion; DOI 10.1109/IJCNN48605.2020.9206875","Full IJCNN PDF, Secs. IV-VI",Primary publication resolves evidence_anchors to the stated source-bounded value; incompatible or incomplete reviewer wording was not merged.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,appraisal_strengths,"Longitudinal dataset, explicit future stages, cohort counts, and imaging pipeline",Explicit recursive multistage generation and interpretable atrophy proxy over named horizons,"Longitudinal ADNI visit buckets, explicit future-stage image generation, cohort counts, and an interpretable cortical-ribbon atrophy proxy","Full IJCNN PDF, Secs. IV-VI",Primary publication resolves appraisal_strengths to the stated source-bounded value; incompatible or incomplete reviewer wording was not merged.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,appraisal_limitations,"No split, held-out trajectory fidelity, baseline, uncertainty, external validation, or demonstrated full cascade","No patient-level split, matched-future error, competitive baseline, uncertainty, external validation, or utility test","No patient-level split, matched-future trajectory error, demonstrated full recursive cascade, competitive baseline, calibration, external validation, or utility test","Full IJCNN PDF, Secs. IV-VI",Primary publication resolves appraisal_limitations to the stated source-bounded value; incompatible or incomplete reviewer wording was not merged.
MWM-X10E1E2640B,A Modular Framework to Predict Alzheimer’s Disease Progression Using Conditional Generative Adversarial Networks,source_status,Full primary conference PDF inspected,Exact paper inspected via the University of Missouri public WCCI/IJCNN archive; DOI identifies the IEEE publication,Exact primary IJCNN conference PDF inspected from the public University of Missouri WCCI archive; IEEE DOI verified,IJCNN PDF title page and DOI; Conclusion,Primary publication resolves source_status to the stated source-bounded value; incompatible or incomplete reviewer wording was not merged.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,publication_status,medRxiv preprint posted 22 March 2026,medRxiv preprint v1 posted 2026-03-22,medRxiv preprint v1 posted 2026-03-22,"medRxiv v1 title page, DOI, and availability statements",Primary publication supports Reviewer B's more precise formulation for publication_status; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,domain,Critical-care EHR; sepsis and AKI,Sepsis acute kidney injury; ICU cardio-renal forecasting,Sepsis acute kidney injury; ICU cardio-renal forecasting,"Methods Datasets, Input features, and Preprocessing",Primary publication supports Reviewer B's more precise formulation for domain; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,dataset_or_cohort,MIMIC-IV v2.2 and Indiana University Health ICU v1.0 sepsis cohorts,MIMIC-IV v2.2 from Beth Israel Deaconess and IUH ICU v1.0 across 11 hospitals,MIMIC-IV v2.2 from Beth Israel Deaconess and IUH ICU v1.0 across 11 hospitals,"Methods Datasets, Input features, and Preprocessing",Primary publication supports Reviewer B's more precise formulation for dataset_or_cohort; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,sample_scale,Parent databases contain 73181 MIMIC stays and 6918 IUH admissions; 6673 MIMIC test windows in BP analysis,"Source databases: 73,181 MIMIC ICU stays and 6,918 IUH admissions; analytic sepsis count NI; 6,673 MIMIC BP test windows","Source databases: 73,181 MIMIC ICU stays and 6,918 IUH admissions; analytic sepsis count NI; 6,673 MIMIC BP test windows","Methods Datasets, Input features, and Preprocessing",Primary publication supports Reviewer B's more precise formulation for sample_scale; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,institution_count,Two systems: one Boston hospital and 11 IUH hospitals,12 hospitals: one MIMIC hospital plus 11 IUH hospitals,12 hospitals: one MIMIC hospital plus 11 IUH hospitals,"Methods Datasets, Input features, and Preprocessing",Primary publication supports Reviewer B's more precise formulation for institution_count; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,split_strategy,Five-fold MIMIC cross-validation at ICU-stay level; independent IUH external evaluation,Five-fold ICU-stay-level MIMIC cross-validation; independent IUH evaluation; Phase-1 encoders frozen before Phase-2 heads,Five-fold ICU-stay-level MIMIC cross-validation; independent IUH evaluation; Phase-1 encoders frozen before Phase-2 heads,"Methods Datasets, Input features, and Preprocessing",Primary publication supports Reviewer B's more precise formulation for split_strategy; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,observation_process,Irregular EHR aligned hourly; 12-hour by 49-variable sequence plus 42 baseline/context variables,42 baseline variables plus 49 time-varying variables binned hourly over the preceding 12 hours; next-window outcomes forecast,42 baseline variables plus 49 time-varying variables binned hourly over the preceding 12 hours; adjacent-window physiological and outcome forecasts,"Methods Datasets, Input features, and Preprocessing",Primary publication resolves observation_process to the stated source-bounded value; incompatible or incomplete reviewer wording was not merged.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,missingness,"2: exclusions, median imputation, SOFA forward-fill, lab carry-forward/interpolation, and no whole-group imputation described",Baseline median fill; SOFA forward fill; lab/physiology carry-forward or median interpolation; absent respiratory documentation coded absent; IUH medication stop times use 12-hour decay,Baseline median fill; SOFA forward fill; lab/physiology carry-forward or median interpolation; absent respiratory documentation coded absent; IUH medication stop times use 12-hour decay,"Methods Datasets, Input features, and Preprocessing",Primary publication supports Reviewer B's more precise formulation for missingness; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,censoring_or_competing_events,1: 12-hour survival outcome and exclusion of stays under 48 hours; no time-to-event censoring model,"Near-term survival is an outcome; NI: discharge, informative missingness, repeat admissions, and competing risks otherwise not modeled","Near-term survival is an outcome; NI: discharge, informative missingness, repeat admissions, and competing risks otherwise not modeled","Methods Datasets, Input features, and Preprocessing",Primary publication supports Reviewer B's more precise formulation for censoring_or_competing_events; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,state,"Cardiovascular, renal, and other-organ variational latent states","Cardiovascular, renal, and other-organ latent states from a 12x49 temporal matrix plus 42 baseline variables","Cardiovascular, renal, and other-organ latent states from a 12x49 temporal matrix plus 42 baseline variables",Methods Phase 1 and Phase 2; Fig. 1,Primary publication supports Reviewer B's more precise formulation for state; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,observation_decoder,"Next-12-hour features, SOFA, mortality, AKI onset, and AKI trajectory","Next-12-hour feature sequence and cardiovascular/renal SOFA; heads predict mortality, AKI onset, and ordinal trajectory","Next-12-hour feature sequence and cardiovascular/renal SOFA; heads predict mortality, AKI onset, and ordinal trajectory",Methods Phase 1 and Phase 2; Fig. 1,Primary publication supports Reviewer B's more precise formulation for observation_decoder; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,action,Medication/support exposures; vasopressor withdrawal sets four agents absent,"Vasoactive exposure; simulated withdrawal sets norepinephrine, phenylephrine, vasopressin, and epinephrine absent","Vasoactive exposure; simulated withdrawal sets norepinephrine, phenylephrine, vasopressin, and epinephrine absent",Methods Phase 1 and Phase 2; Fig. 1,Primary publication supports Reviewer B's more precise formulation for action; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,action_provenance,Observed documented administrations; withdrawal is simulated,"Observed EHR-administered/documented exposure; counterfactual action is an altered input, not randomized treatment","Observed EHR-administered/documented exposure; counterfactual action is an altered input, not randomized treatment",Methods Phase 1 and Phase 2; Fig. 1,Primary publication supports Reviewer B's more precise formulation for action_provenance; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,transition_mechanism,"GRU variational organ encoders/decoders followed by frozen encoders, cross-attention, and outcome heads",Organ-specific variational GRU encoders/decoders with sparse gates and cross-organ attention; frozen encoders feed heads,Organ-specific variational GRU encoders/decoders with sparse gates and cross-organ attention; frozen encoders feed heads,Methods Phase 1 and Phase 2; Fig. 1,Primary publication supports Reviewer B's more precise formulation for transition_mechanism; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,maximum_horizon,One subsequent 12-hour window,"12 hours in Methods/decoders/figures; Results prose also says 24 hours, an internal inconsistency","Operational Methods and figures use adjacent 12-hour windows; Results prose also reports next-24-hour endpoints and an overview mentions 24/48-hour examples, an internal inconsistency",Methods Phase 1 and Phase 2; Fig. 1,Primary publication resolves maximum_horizon to the stated source-bounded value; incompatible or incomplete reviewer wording was not merged.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,rollout_regime,One-step next-window forecast; no recursive rollout,Direct next-window forecasting; no recursive free-running multi-window rollout,Direct next-window forecasting; no recursive free-running multi-window rollout,Methods Phase 1 and Phase 2; Fig. 1,Primary publication supports Reviewer B's more precise formulation for rollout_regime; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,capability_claim,Short-horizon forecasting plus counterfactual-labeled vasopressor sensitivity,counterfactual,counterfactual,Methods Phase 1 and Phase 2; Fig. 1,Primary publication supports Reviewer B's more precise formulation for capability_claim; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,baselines,0: no strong alternative model comparison for core tasks,"Cross-cohort results reported, but NI: no standard clinical or ML prediction baseline in the main manuscript","Cross-cohort results reported, but NI: no standard clinical or ML prediction baseline in the main manuscript","Results Model performance and Figs. 2, 4-5",Primary publication supports Reviewer B's more precise formulation for baselines; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,state_fidelity_metrics,Mortality AUC 0.86/0.88; AKI-onset 0.78/0.82; trajectory 0.73/0.78; BP MAE 8.5 mmHg and r=0.76,"SBP correlation 0.76, MAE 8.52 mmHg, RMSE 10.79, and 95th-percentile error 21.62 on 6,673 windows","SBP correlation 0.76, MAE 8.52 mmHg, RMSE 10.79, and 95th-percentile error 21.62 on 6,673 windows","Results Model performance and Figs. 2, 4-5",Primary publication supports Reviewer B's more precise formulation for state_fidelity_metrics; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,transition_metrics,"Next-window MSE, SOFA error, and 12-hour outcome/trajectory AUC","AUC: mortality 0.86-0.88, AKI onset 0.78-0.82, AKI trajectory 0.73-0.78 across MIMIC/IUH","AUC: mortality 0.86-0.88, AKI onset 0.78-0.82, AKI trajectory 0.73-0.78 across MIMIC/IUH","Results Model performance and Figs. 2, 4-5",Primary publication supports Reviewer B's more precise formulation for transition_metrics; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,rollout_stability,0: no multistep stability metric; future drift monitoring recommended,NA for free-running rollout; NI: no recursive drift/stability test,NA for free-running rollout; NI: no recursive drift/stability test,"Results Model performance and Figs. 2, 4-5",Primary publication supports Reviewer B's more precise formulation for rollout_stability; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,action_sensitivity,1: vasopressor-withdrawal input ablation on 6673 samples and one case; no dose/timing test,Observed-treatment forecasts versus vasopressor withdrawal shift toward lower BP and higher risk; one detailed case,Observed-treatment forecasts versus vasopressor withdrawal shift toward lower BP and higher risk; one detailed case,"Results Model performance and Figs. 2, 4-5",Primary publication supports Reviewer B's more precise formulation for action_sensitivity; no incompatible claim from Reviewer A was carried forward.
MWM-XF6449FE2D4,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,calibration_and_uncertainty,0: VAE and aggregate AUC confidence intervals but no predictive calibration,"Variational latents and AUC CIs; NI: no calibration slope, reliability curve, Brier score, or interval coverage","Variational latent representations and AUC confidence intervals; no evaluated predictive calibration, reliability, or interval coverage","Results Model performance and Figs. 2, 4-5",Primary publication resolves calibration_and_uncertainty to the stated source-bounded value; incompatible or incomplete reviewer wording was not merged.
