candidate_id,title,decision,corpus_type,reason_code,rationale,full_text_needed
MWM-0026,"AUGMANITAI Prior-Art Working Notes — Descriptive Terminological Frames, Collection 5/5 (84 working notes)",exclude,not_applicable,wrong_domain,“AUGMANITAI Prior-Art Working Notes — Descriptive Terminological...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0027,AuricularWorld: Hierarchical Action-Guided World Modeling for Fine-Grained Auricular Structure Segmentation from CT Scans,include,empirical,include_empirical,The model learns a three-step latent rollout with anatomical actions and evaluates it for CT segmentation.,yes
MWM-0028,Becoming Aware Through Internal Exploration: Understanding Psychotherapy on Conceptual and Neurobiological Levels.,exclude,not_applicable,no_empirical_evaluation,"“Becoming Aware Through Internal Exploration: Understanding...” is conceptual, proposed, or protocol-only and reports no qualifying empirical dynamics evaluation.",no
MWM-0029,Benefits of Latent Artificial Intelligence Technologies for Patient Health: A Comprehensive Review,exclude,not_applicable,review_not_primary,“Benefits of Latent Artificial Intelligence Technologies for...” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0030,Beyond Anthropomorphism: The Case for Orthogonal Artificial Intelligence,exclude,not_applicable,wrong_domain,“Beyond Anthropomorphism: The Case for Orthogonal Artificial...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0031,Beyond Patient Invariance: Learning Cardiac Dynamics via Action-Conditioned JEPAs,include,empirical,include_empirical,Event-conditioned cardiac latent dynamics predict future ECG state and are evaluated on MIMIC-IV-ECG.,yes
MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,include,empirical,include_empirical,The recurrent cell-state model learns NK-tumor trajectories and forecasts future cytotoxic outcomes.,yes
MWM-0033,Brain-AI convergence: Generative world models and hierarchical attention for human intelligence.,exclude,not_applicable,review_not_primary,“Brain-AI convergence: Generative world models and hierarchical...” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0034,Brain-WM: Brain Glioblastoma World Model,include,empirical,include_empirical,The model jointly predicts treatment and generates future MRI under evolving glioblastoma interventions.,yes
MWM-0035,Brains and where else? Mapping theories of consciousness to unconventional embodiments.,exclude,not_applicable,wrong_domain,“Brains and where else Mapping theories of consciousness to...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0036,Bridging Individual Trajectories and Population Dynamics through A Multi-scale Health World Model,uncertain,empirical,uncertain,"The title suggests a multiscale health world model, but no abstract is available to confirm dynamics or evaluation.",yes
MWM-0037,Building a Unified Human LoRA: Cross Domain Advantages from Filmmaking to Virtual Biology Simulation,exclude,not_applicable,no_empirical_evaluation,"“Building a Unified Human LoRA: Cross Domain Advantages from...” is conceptual, proposed, or protocol-only and reports no qualifying empirical dynamics evaluation.",no
MWM-0038,Building the adult growth hormone deficiency data mart: a Real-World model of AI-driven clinical data extraction in a single Italian center.,exclude,not_applicable,no_world_model_dynamics,“Building the adult growth hormone deficiency data mart: a...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0039,CAA-X V5.1 Robot Extension (CAA-R): Modular Control for Embodied Agents — Revised and Expanded Edition,exclude,not_applicable,wrong_domain,“CAA-X V51 Robot Extension (CAA-R): Modular Control for Embodied...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation",include,empirical,include_empirical,A GRU medical transition model is evaluated for out-of-distribution next-state prediction and calibration on sepsis data.,yes
MWM-0041,Can LLMs Acquire Human-Like World Models?,exclude,not_applicable,wrong_domain,“Can LLMs Acquire Human-Like World Models” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0042,"Can Pharmaceutical World Models Become Scientific Instruments? A State-of-the-Art Review of Simulation, Reasoning, and Validation",include,review,include_review,"This state-of-the-art review centers on pharmaceutical world models and their simulation, reasoning, and validation evidence.",yes
MWM-0043,CauCity-WM: An Intervention-Consistent Generative World Model for Counterfactual Urban Dynamics and Risk-Aware Decision Making,exclude,not_applicable,wrong_domain,“CauCity-WM: An Intervention-Consistent Generative World Model...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0044,Causal Primacy in World Modelling: A Generative Ontology Argument Against Statistical-First Artificial Intelligence,exclude,not_applicable,wrong_domain,“Causal Primacy in World Modelling: A Generative Ontology...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0045,Central Questions for Social Neuroscience Research.,exclude,not_applicable,wrong_domain,“Central Questions for Social Neuroscience Research” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0046,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,include,empirical,include_empirical,Action-conditioned CKD trajectories are trained with multi-step rollout and evaluated on patient eGFR forecasting.,yes
MWM-0047,Clinical-AI-Demos: Humanoid and LLM Demos for Physical AI Oncology Clinical Trials,exclude,not_applicable,no_empirical_evaluation,"“Clinical-AI-Demos: Humanoid and LLM Demos for Physical AI...” is conceptual, proposed, or protocol-only and reports no qualifying empirical dynamics evaluation.",no
MWM-0048,Cold-Start Personalization via Training-Free Priors from Structured World Models,exclude,not_applicable,wrong_domain,“Cold-Start Personalization via Training-Free Priors from...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0049,ComBodied Agents: a New Paradigm of Human-Centric Agentic AI,exclude,not_applicable,no_empirical_evaluation,"“ComBodied Agents: a New Paradigm of Human-Centric Agentic AI” is conceptual, proposed, or protocol-only and reports no qualifying empirical dynamics evaluation.",no
MWM-0050,COMPARATIVE ANALYSIS: JEPA WORLD MODELS VS. DETERMINISTIC MULTIMODAL LLMS IN AI GOVERNANCE,exclude,not_applicable,review_not_primary,“COMPARATIVE ANALYSIS: JEPA WORLD MODELS VS DETERMINISTIC...” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0051,Constrained Object Hierarchies as a Universal World Model for AGI,exclude,not_applicable,wrong_domain,“Constrained Object Hierarchies as a Universal World Model for AGI” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0052,Contextual Invertible World Models: A Neuro-Symbolic Agentic Framework for Colorectal Cancer Drug Response,include,empirical,include_empirical,A learned colorectal drug-response emulator supports in-silico CRISPR interventions with empirical perturbation results.,yes
MWM-0053,CPT-Symmetric Two-World Model: Quantum Gravity as a Planck-Boundary Matching Condition,exclude,not_applicable,wrong_domain,“CPT-Symmetric Two-World Model: Quantum Gravity as a...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0054,CrossScope: A Role-Asymmetric World Model for Joint Dual-Scope Surgical Video Prediction,include,empirical,include_empirical,The surgical model predicts dual-scope future video and is benchmarked on phantom and real ERCP episodes.,yes
MWM-0055,Cruelty Across Substrates: From Animal Cruelty to Embodied AI and the Coming Detection Gap,exclude,not_applicable,no_empirical_evaluation,"“Cruelty Across Substrates: From Animal Cruelty to Embodied AI...” is conceptual, proposed, or protocol-only and reports no qualifying empirical dynamics evaluation.",no
MWM-0056,DALE-CT: Depth-Aware 2D Slice Encoders Learn an Anatomical World Model of Chest CT,exclude,not_applicable,static_prediction,"“DALE-CT: Depth-Aware 2D Slice Encoders Learn an Anatomical World...” evaluates static prediction, classification, or risk estimation without state evolution or rollout.",no
MWM-0057,De lo «undruggable» a la medicina predictiva: por qué la química conquistó RAS y dónde empieza el aporte real de la inteligencia artificial dinámica en la oncología del siglo XXI,exclude,not_applicable,review_not_primary,“De lo «undruggable» a la medicina predictiva: por qué la química...” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0058,Deploying and Evaluating a Smart-Agriculture Agentic Engine for Full-Season Soybean Farm Operations,exclude,not_applicable,wrong_domain,“Deploying and Evaluating a Smart-Agriculture Agentic Engine for...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0059,DepthPilot: From Controllability to Interpretability in Colonoscopy Video Generation,exclude,not_applicable,no_world_model_dynamics,“DepthPilot: From Controllability to Interpretability in...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0060,Desegregation of neuronal predictive processing.,exclude,not_applicable,no_world_model_dynamics,“Desegregation of neuronal predictive processing” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0061,Deterministic Event-Graph Substrates as World Models for Counterfactual Reasoning,exclude,not_applicable,wrong_domain,“Deterministic Event-Graph Substrates as World Models for...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0062,Did the Grid Erase the Event? EndoClock for Auditing Medical World-Model Pipelines,exclude,not_applicable,no_world_model_dynamics,“Did the Grid Erase the Event EndoClock for Auditing Medical...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0063,Dissociative Catalysts of Coherence Loss: Impairment of World-Model Maintenance in Cognitive Constructivism,exclude,not_applicable,no_empirical_evaluation,"“Dissociative Catalysts of Coherence Loss: Impairment of...” is conceptual, proposed, or protocol-only and reports no qualifying empirical dynamics evaluation.",no
MWM-0064,Do AI-Native Biotechs Need Departments? Benchmarking Company World Models for AI-Driven Drug Development,exclude,not_applicable,wrong_domain,“Do AI-Native Biotechs Need Departments Benchmarking Company...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0065,"Do Coding Agents Need Executable World Models, Simplification, and Verification to Solve ARC-AGI-3?",exclude,not_applicable,wrong_domain,"“Do Coding Agents Need Executable World Models, Simplification,...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.",no
MWM-0066,"DOORM Genmount WorldModel-OS: A Governance-First Architecture for Auditable Agentic Reasoning — Hybrid State-Space, Structurally-Primed Discrete Anchors, and Anti-Scale Training Discipline",exclude,not_applicable,wrong_domain,“DOORM Genmount WorldModel-OS: A Governance-First Architecture...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0067,DreamLedger: Where to Refuse World-Model Imagination Using Execution-Settled Credit,exclude,not_applicable,wrong_domain,“DreamLedger: Where to Refuse World-Model Imagination Using...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0068,DreamReg: Belief-Driven World Model for 2D-3D Ultrasound Registration,include,empirical,include_empirical,The ultrasound model rolls out candidate probe motions and predicted observations for registration guidance.,yes
MWM-0069,Dyadic Partnership(DP): A Missing Link Towards Full Autonomy in Medical Robotics,exclude,not_applicable,no_empirical_evaluation,"“Dyadic Partnership(DP): A Missing Link Towards Full Autonomy in...” is conceptual, proposed, or protocol-only and reports no qualifying empirical dynamics evaluation.",no
MWM-0070,Dynamic Representational Synchrony through Collective Predictive Coding: A Computational Model of Parent-Infant Homeostatic Co-Regulation,exclude,not_applicable,no_world_model_dynamics,“Dynamic Representational Synchrony through Collective Predictive...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0071,Dynamic Routing of Unmanned Aerial Vehicles: Current State and Development Prospects,exclude,not_applicable,wrong_domain,“Dynamic Routing of Unmanned Aerial Vehicles: Current State and...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0072,Dynamism and evolvability in nucleic acid enzymes,exclude,not_applicable,no_world_model_dynamics,“Dynamism and evolvability in nucleic acid enzymes” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0073,ECG-WM: A Physiology-Informed ECG World Model for Clinical Intervention Simulation,include,empirical,include_empirical,The action-conditioned ECG model simulates post-intervention trajectories and evaluates risk and treatment alignment.,yes
MWM-0074,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,include,empirical,include_empirical,The EHR model simulates long-horizon clinical trajectories under sequential interventions and is empirically benchmarked.,yes
MWM-0075,Elements of human world modelling: a modular algorithmic prefrontal architecture for general-purpose learning and inference,exclude,not_applicable,wrong_domain,“Elements of human world modelling: a modular algorithmic...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0076,"Embodied Artificial Intelligence in Healthcare: Foundations, Applications and Future Challenges",exclude,not_applicable,review_not_primary,"“Embodied Artificial Intelligence in Healthcare: Foundations,...” reviews a broader topic in which medical world models are not the primary subject.",no
MWM-0077,EyeWorld: A Generative World Model of Ocular State and Dynamics,uncertain,empirical,uncertain,The abstract describes longitudinal ocular transitions but does not report enough evaluation detail to confirm eligibility.,yes
MWM-0078,Failure Detection for Surgical Robot Imitation Policies via Flow-Matching World Modeling,include,empirical,include_empirical,An action-conditioned surgical dynamics model is evaluated for detecting failures in simulation and real robot experiments.,yes
MWM-0079,FD3611: A Multi-Class Color Fundus Image Dataset for Retinal Disease Classification,exclude,not_applicable,no_world_model_dynamics,“FD3611: A Multi-Class Color Fundus Image Dataset for Retinal...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0080,"Feasibility and early outcomes of a specialist nurse-led preventive cardiology pathway, integrating advanced risk assessment, lifestyle intervention, and community referral",exclude,not_applicable,no_world_model_dynamics,“Feasibility and early outcomes of a specialist nurse-led...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0081,Federated Semantic Knowledge Graphs for Laboratory Workflows: A Structured Expert Elicitation Methodology Demonstrated Through Bioanalytical Workflow Twins,exclude,not_applicable,no_world_model_dynamics,“Federated Semantic Knowledge Graphs for Laboratory Workflows: A...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0082,Felvia Matrix V2,exclude,not_applicable,wrong_domain,“Felvia Matrix V2” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0083,"Finio, Ergo Sum: An Ontology-First Framework for Consciousness Individuation",exclude,not_applicable,wrong_domain,"“Finio, Ergo Sum: An Ontology-First Framework for Consciousness...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.",no
MWM-0084,FLAME: Adaptive Mixture-of-Experts for Continual Multimodal Multi-Task Learning,exclude,not_applicable,wrong_domain,“FLAME: Adaptive Mixture-of-Experts for Continual Multimodal...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0085,Flexible route planning and rapid structure learning by mice in complex environments,exclude,not_applicable,wrong_domain,“Flexible route planning and rapid structure learning by mice in...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0086,Foundation Models for Microbiome Research: From Sequence Semantics to Community Dynamics and Multimodal World Models,exclude,not_applicable,review_not_primary,“Foundation Models for Microbiome Research: From Sequence...” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0087,Fractal Agentic Consciousness Framework with Observer Lock Integration (FACF/FOLF),exclude,not_applicable,wrong_domain,“Fractal Agentic Consciousness Framework with Observer Lock...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0088,From Atoms to Agents: A Decade of Transformation in Artificial Intelligence (AI) in Medicine,exclude,not_applicable,review_not_primary,“From Atoms to Agents: A Decade of Transformation in Artificial...” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0089,From Classification to Accountability: Mapping the Clinical Responsibility Gap in AI-Enabled SaMD Under EU MDR and the AI Act,exclude,not_applicable,no_world_model_dynamics,“From Classification to Accountability: Mapping the Clinical...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0090,From language to world: Bridging LLMs and world models for intelligent surgery,uncertain,uncertain,uncertain,"The title is directly relevant to surgical world models, but no abstract is available to determine study type or evidence.",yes
MWM-0091,"From Physical State Evolution to Experienced Time A Triadic Spiral-Time Memory Hypothesis for quantum systems, physical records, and conscious temporal world-models",exclude,not_applicable,wrong_domain,“From Physical State Evolution to Experienced Time A Triadic...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0092,"From plug-and-play to institution-calibrated radiology AI: a practical framework for operationalizing local validation, monitoring and governance.",exclude,not_applicable,static_prediction,"“From plug-and-play to institution-calibrated radiology AI: a...” evaluates static prediction, classification, or risk estimation without state evolution or rollout.",no
MWM-0093,From Static Risk to Dynamic Trajectories: Toward World-Model-Inspired Clinical Prediction,exclude,not_applicable,review_not_primary,“From Static Risk to Dynamic Trajectories: Toward...” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0094,Future Querying: Can LLMs Serve as Implicit Medical World Models?,include,empirical,include_empirical,The study evaluates time-indexed future clinical querying on synthetic reports and MIMIC-IV notes.,yes
MWM-0095,"GEMEO: the first patient world model for rare disease, grounding generative clinical trajectories in the genome and a biomedical knowledge graph",include,empirical,include_empirical,The patient world model predicts clinical transitions and evaluates state- and action-conditioned capabilities on rare-disease data.,yes
MWM-0096,Generated Context versus Governed State: Functional Conditions for Accountable Longitudinal Clinical Reasoning,exclude,not_applicable,no_empirical_evaluation,"“Generated Context versus Governed State: Functional Conditions...” is conceptual, proposed, or protocol-only and reports no qualifying empirical dynamics evaluation.",no
MWM-0097,GENESIS Framework R20.4–R21.2: A Drift‑Modulated Bistable Dynamical World Model for Chronic Disease and Sequential Topology Modulation,exclude,not_applicable,no_empirical_evaluation,"“GENESIS Framework R204–R212: A Drift‑Modulated Bistable...” is conceptual, proposed, or protocol-only and reports no qualifying empirical dynamics evaluation.",no
MWM-0098,"GENESIS Framework R20.4–R23.x: Sequential Intervention Dynamics, Structural Analysis, β×η Bifurcation Landscapes, and Nullcline Curvature Effects",exclude,not_applicable,no_world_model_dynamics,"“GENESIS Framework R204–R23x: Sequential Intervention Dynamics,...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.",no
MWM-0099,Governance des Unbekannten,exclude,not_applicable,wrong_domain,“Governance des Unbekannten” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0100,Grounding Clinical AI Competency in Human Cognition Through the Clinical World Model and Skill-Mix Framework,exclude,not_applicable,no_empirical_evaluation,"“Grounding Clinical AI Competency in Human Cognition Through the...” is conceptual, proposed, or protocol-only and reports no qualifying empirical dynamics evaluation.",no
MWM-0101,Harnessing AI to Build Virtual Cells,include,empirical,include_empirical,The system autonomously builds and evaluates biological perturbation-response models across virtual-cell benchmarks.,yes
MWM-0102,"HounsWorld: A Multimodal World Model for Hidden Patient-State Readout, Reconstruction, and Simulation",exclude,not_applicable,no_world_model_dynamics,“HounsWorld: A Multimodal World Model for Hidden Patient-State...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0103,Intervention-Aware Clinical World Model for Post-Op Outcome Forecasting in Cardiology,include,empirical,include_empirical,A structured latent patient state evolves through postoperative events and is evaluated for future recurrence and scar forecasting.,yes
MWM-0104,Kalb-Ramond Topological Term in Majorana Superspace and Kaluza-Klein Spectrum Deformation in Five Dimensions,exclude,not_applicable,wrong_domain,“Kalb-Ramond Topological Term in Majorana Superspace and...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0105,La próxima década de la inteligencia artificial en oncología,exclude,not_applicable,review_not_primary,“La próxima década de la inteligencia artificial en oncología” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0106,Large Language Model and Pediatric Neurosurgery - A Neurosurgeon's Perspective on the Artificial Nervous System.,exclude,not_applicable,review_not_primary,“Large Language Model and Pediatric Neurosurgery - A...” reviews a broader topic in which medical world models are not the primary subject.,no
MWM-0107,Learning a Normal World Model for Few-Shot Boundary-Calibrated Abnormality Detection,exclude,not_applicable,wrong_domain,“Learning a Normal World Model for Few-Shot Boundary-Calibrated...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0108,Learning Abstractions: A Conversation with Yann LeCun,exclude,not_applicable,wrong_domain,“Learning Abstractions: A Conversation with Yann LeCun” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0109,Learning to see clearly again: How critical media engagement can save public health.,exclude,not_applicable,no_world_model_dynamics,“Learning to see clearly again: How critical media engagement can...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0110,LeJEPA + I-JEPA: A World-Model-Grounded Multi-Agent Framework for Medical AGI,exclude,not_applicable,no_world_model_dynamics,“LeJEPA + I-JEPA: A World-Model-Grounded Multi-Agent Framework...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0111,LungSage: A World-Model-Driven Clinical Decision Engine Fusing TCM Syndrome Patterns with PET-CT Imaging for Non-Small Cell Lung Cancer Prognosis,uncertain,empirical,uncertain,"The title claims a world-model-driven lung-cancer engine, but no abstract is available to distinguish dynamics from static prognosis.",yes
MWM-0112,"Magic and Theology Revisited: Hermeticism, Modern Interpretation, and Narrative Resonance",exclude,not_applicable,wrong_domain,"“Magic and Theology Revisited: Hermeticism, Modern...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.",no
MWM-0113,MANTRA: Synthesizing SMT-Validated Compliance Benchmarks for Tool-Using LLM Agents,exclude,not_applicable,wrong_domain,“MANTRA: Synthesizing SMT-Validated Compliance Benchmarks for...” concerns a non-medical domain rather than medical or biomedical world-model dynamics.,no
MWM-0114,medDreamer: Model-Based Reinforcement Learning with Latent Imagination on Complex EHRs for Clinical Decision Support,include,empirical,include_empirical,The EHR world model simulates latent patient states and imagined trajectories for evaluated treatment policies.,yes
MWM-0115,MedGenesis: Toward a World Model for Autonomous Clinical and Translational Research,exclude,not_applicable,no_world_model_dynamics,“MedGenesis: Toward a World Model for Autonomous Clinical and...” lacks a qualifying learned temporal rollout or action-conditioned medical dynamics mechanism.,no
MWM-0116,"Medical world models in healthcare: foundations, applications, and challenges for trustworthy clinical translation",include,review,include_review,"This review defines medical world models and maps their foundations, applications, evidence, and translation gaps.",yes
MWM-0117,"Medical world models: representing medical states, modelling clinical dynamics and guiding intervention policies",include,review,include_review,"This review focuses on medical state representation, clinical dynamics, and intervention-policy support.",yes
