candidate_id,title,decision,corpus_type,primary_reason_code,evidence_for_dynamics,evidence_for_evaluation,publication_lineage,full_text_url,rationale
MWM-0074,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,include,empirical,include_empirical,Learns causal sequential updates for long-horizon EHR states under interventions and inquiries.,Measures numerical and semantic trajectory fidelity and stability across long sequential simulations.,Distinct EHRWorld study; no duplicate record identified.,https://arxiv.org/abs/2602.03569,The patient simulator is tested on long-horizon future-state generation.
MWM-0077,EyeWorld: A Generative World Model of Ocular State and Dynamics,include,empirical,include_empirical,Learns time-conditioned ocular-state transitions from longitudinal multimodal imaging.,"Directly tests future OCT progression with LPIPS, SSIM, and PSNR and demonstrates targeted counterfactual progression synthesis.",Distinct EyeWorld study; no duplicate record identified.,https://arxiv.org/abs/2603.14039,Longitudinal ocular dynamics and generated future states receive direct empirical evaluation.
MWM-0078,Failure Detection for Surgical Robot Imitation Policies via Flow-Matching World Modeling,include,empirical,include_empirical,Predicts a short-horizon endpoint latent conditioned on visual history and robot action chunks.,"Evaluates realized transition consistency on simulated and real dVRK failures, including action and horizon ablations.",Distinct FoMo-FD study; no duplicate record identified.,https://arxiv.org/abs/2607.27511,Action-conditioned nominal dynamics are directly probed through endpoint-consistency detection.
MWM-0090,From language to world: Bridging LLMs and world models for intelligent surgery,uncertain,uncertain,inaccessible_full_text,"The accessible abstract discusses linking language and surgical world models, but methods could not be inspected.",The official publisher page did not provide sufficient primary methods and results for eligibility assessment.,No duplicate identified from available metadata.,https://doi.org/10.59717/j.xinn-inform.2026.100040,Insufficient accessible full text prevents classification as empirical work or an eligible review.
MWM-0094,Future Querying: Can LLMs Serve as Implicit Medical World Models?,include,empirical,include_empirical,Fine-tunes LLMs to answer time-indexed queries about future patient states from prior clinical notes.,Evaluates future-query accuracy across synthetic reports and MIMIC-IV ICU notes at multiple model scales.,Distinct Future Querying study; no duplicate record identified.,https://arxiv.org/abs/2608.23248,The implicit clinical future-state capability is explicitly trained and tested.
MWM-0095,"GEMEO: the first patient world model for rare disease, grounding generative clinical trajectories in the genome and a biomedical knowledge graph",include,empirical,include_empirical,Uses a causal diffusion-forcing transformer for variable-horizon rare-disease trajectory rollout with genome and graph grounding.,Reports novel-event prediction and state- and action-conditioned trajectory capability on RareBench-BR.,Distinct GEMEO study; no duplicate record identified.,https://doi.org/10.5281/zenodo.20328323,The patient trajectory model and action-conditioned rollout capability are empirically evaluated.
MWM-0101,Harnessing AI to Build Virtual Cells,uncertain,uncertain,inaccessible_full_text,"The abstract describes agent-built virtual-cell perturbation models, but the learned dynamics implementation could not be verified.",Official bioRxiv endpoints did not provide inspectable primary methods and results.,No duplicate identified from available metadata.,https://doi.org/10.64898/2026.04.11.717183,"Primary full text was inaccessible, so dynamics and evaluation eligibility remain uncertain."
MWM-0103,Intervention-Aware Clinical World Model for Post-Op Outcome Forecasting in Cardiology,include,empirical,include_empirical,Updates a patient latent through time-ordered post-ablation events and forecasts follow-up imaging state.,Evaluates recurrence forecasting and future scar-extent prediction in repeated patient-level cross-validation.,Distinct intervention-aware cardiology study; no duplicate record identified.,https://arxiv.org/abs/2608.13518,The longitudinal post-intervention state model is directly assessed on future clinical outcomes.
MWM-0111,LungSage: A World-Model-Driven Clinical Decision Engine Fusing TCM Syndrome Patterns with PET-CT Imaging for Non-Small Cell Lung Cancer Prognosis,uncertain,uncertain,inaccessible_full_text,"The title and abstract indicate a world-model clinical decision engine, but its dynamics could not be inspected.",The official IEEE record did not expose sufficient full text for methods and results verification.,No duplicate identified from available metadata.,https://doi.org/10.1109/tce.2026.3725948,"Primary full text was inaccessible, requiring an uncertain decision."
MWM-0114,medDreamer: Model-Based Reinforcement Learning with Latent Imagination on Complex EHRs for Clinical Decision Support,include,empirical,include_empirical,Learns latent patient transitions from irregular EHR data and generates imagined clinical trajectories.,Evaluates model-based policies on sepsis and metabolic management using real-plus-imagined and fully imagined rollouts.,ACM publication and arXiv 2505.19785 are the same study; this row represents that lineage.,https://arxiv.org/abs/2505.19785,Learned patient dynamics support empirically evaluated model-based clinical control.
MWM-0116,"Medical world models in healthcare: foundations, applications, and challenges for trustworthy clinical translation",include,review,include_review,"Not applicable; the review defines medical world models through state, dynamics, intervention simulation, and planning capabilities.","Provides reproducible evidence mapping, a capability taxonomy, and clinical-translation evidence requirements.",Distinct review; no duplicate record identified.,https://arxiv.org/abs/2607.25242,"Medical world models are the primary topic and the paper supplies a definition, evidence map, and evaluation synthesis."
MWM-0117,"Medical world models: representing medical states, modelling clinical dynamics and guiding intervention policies",include,review,include_review,"Not applicable; the review organizes the field around patient state, clinical dynamics, and intervention decisions.",Synthesizes representative systems and proposes a roadmap from static prediction to simulation and planning.,Distinct review; no duplicate record identified.,https://arxiv.org/abs/2606.16721,Medical world models are the primary topic and a substantive capability taxonomy is presented.
MWM-0125,MRI Contrast Enhancement Kinetics World Model,include,empirical,include_empirical,Learns continuous-time contrast-enhancement dynamics from sparse MRI observations.,Evaluates generated temporal enhancement sequences using image fidelity and temporal-consistency metrics across MRI datasets.,Distinct MRI CEK-World study; no duplicate record identified.,https://arxiv.org/abs/2602.19285,The learned contrast kinetics and future images are directly evaluated.
MWM-0127,Multimodal EEG World Model: Self-Supervised Latent Transition Learning for Wearable EEG Seizure Detection,exclude,not_applicable,no_future_or_action_evaluation,Predicts the next EEG-segment latent conditioned on synchronized physiological modalities.,Reports only frozen-encoder seizure-detection metrics; longer-range transition and event-level evaluation are future work.,Distinct EEG world-model study; no duplicate record identified.,https://europepmc.org/article/PPR/PPR1284354,"The latent dynamics objective is not directly tested as future prediction, rollout, action response, or planning."
MWM-0132,NeuroWorld: A Latent Brain World Model for Stimulus-Conditioned Human Brain Dynamics,include,empirical,include_empirical,Rolls learned latent brain states forward autoregressively under strictly causal multimodal stimulus conditioning.,"Evaluates multistep fMRI rollouts on three benchmarks, including horizons up to 100 TRs and a held-out movie season.",Distinct NeuroWorld study; no duplicate record identified.,https://arxiv.org/abs/2608.01773,The brain-state dynamics model is directly evaluated in long autoregressive rollouts.
MWM-0135,Nonstationary Battery,include,empirical,include_empirical,Updates a Beta-Bernoulli treatment-outcome world model online with posterior decay and uses it for active-inference action selection.,"Runs nonstationary bandit, antimicrobial-resistance, and sepsis batteries with reward, optimal-action, and recovery comparisons.",Distinct Zenodo study; candidate title is abbreviated but the DOI resolves to one stable report.,https://doi.org/10.5281/zenodo.20036497,"An adaptive model used for medical action selection is empirically tested, including falsifying results."
MWM-0136,NVIDIA Cosmos-H-Dreams: Real-Time Generative Physics Simulation for Surgical Robotics,include,empirical,include_empirical,Distills an action-conditioned surgical video model into a causal streaming simulator with self-rollout training.,"Evaluates long-horizon stability, visual quality, real-time latency, and closed-loop controller interaction.",Builds on the Open-H simulator lineage but adds a separately extractable distillation and deployment contribution.,https://arxiv.org/abs/2608.24199,The surgical simulator dynamics and real-time closed-loop capability are directly evaluated.
MWM-0137,OcularWorldSim: A Visual World Model for Ophthalmic Microsurgery With Sim-to-Real Transfer Learning,uncertain,uncertain,inaccessible_full_text,"The title and abstract indicate an ophthalmic visual simulator, but the transition mechanism could not be inspected.",The official IEEE record did not expose sufficient primary methods and results.,No duplicate identified from available metadata.,https://doi.org/10.1109/access.2026.3684562,"Primary full text was inaccessible, so strict eligibility cannot be established."
MWM-0138,Open-H-Embodiment: A Large-Scale Dataset for Enabling Foundation Models in Medical Robotics,include,empirical,include_empirical,Fine-tunes an action-conditioned video diffusion model to generate surgical futures across nine robot platforms.,Compares generated and held-out videos over 72-frame autoregressive rollouts using L1 and SSIM.,Dataset/model paper distinct from later Cosmos-H-Surgical and Cosmos-H-Dreams contributions.,https://arxiv.org/abs/2604.21017,The multi-embodiment surgical simulator has a separately extractable and directly evaluated dynamics contribution.
MWM-0146,Physics-informed Koopman-constrained implicitQ-learning for safe offline reinforcement learning in mechanical ventilation.,uncertain,uncertain,inaccessible_full_text,"The abstract indicates a Koopman-constrained learned model used in ventilation control, but details could not be inspected.",Official publisher and PubMed pages did not expose sufficient full text for dynamics and planning verification.,No duplicate identified from available metadata.,https://pubmed.ncbi.nlm.nih.gov/42296990/,"Primary full text was inaccessible, so the eligibility decision is uncertain."
MWM-0149,Policy4OOD: A Knowledge-Guided World Model for Policy Intervention Simulation against the Opioid Overdose Crisis,include,empirical,include_empirical,Learns policy-conditioned spatiotemporal transitions for state-level opioid outcomes.,"Evaluates forecasting, policy substitutions and timing counterfactuals, and MCTS policy optimization.",Distinct Policy4OOD study; no duplicate record identified.,https://arxiv.org/abs/2602.12373,Policy-conditioned public-health dynamics and model-based planning are empirically assessed.
MWM-0151,Progressive Experience Fusion for Multi-Task World Model Control in Endovascular Navigation,include,empirical,include_empirical,TD-MPC2 learns latent vascular dynamics and plans action sequences with an adaptive horizon.,Tests control across multiple tasks and held-out anatomies and transfers to a patient-specific in-vitro phantom.,Follow-up to MWM-0199 with a distinct multi-task fusion and adaptive-planning contribution.,https://arxiv.org/abs/2608.18647,The learned world model is evaluated through model-predictive endovascular control and transfer.
MWM-0154,Reinforcement Learning for Optimal Dialysis Scheduling and Resource Allocation in CKD,uncertain,uncertain,inaccessible_full_text,"The record concerns dialysis scheduling with reinforcement learning, but a learned world model could not be verified.",The official IEEE record did not expose sufficient primary methods and results.,No duplicate identified from available metadata.,https://doi.org/10.1109/iatmsi68868.2026.11465345,"Primary full text was inaccessible, so strict dynamics eligibility remains uncertain."
MWM-0157,SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation,include,empirical,include_empirical,"Generates future surgical action videos conditioned on a scene, affordance mask, language, and tool trajectories.","Evaluates temporal/video fidelity and trajectory-controlled generation with FVD, CD-FVD, SSIM, PSNR, and LPIPS.",Distinct SAW study; no duplicate record identified.,https://arxiv.org/abs/2603.13024,This is an action-conditioned surgical future-observation generator with direct fidelity evaluation.
MWM-0164,Simulating clinical interventions with a generative multimodal model of human physiology,include,empirical,include_empirical,Generatively models multimodal physiological trajectories and conditions future states on medication and behavior interventions.,"Tests two-year forecasts, a held-out nutrition trial, and 41 intervention-outcome comparisons from randomized trials.",Distinct HealthFormer study; no duplicate record identified.,https://arxiv.org/abs/2604.27899,Future physiology and intervention responses are directly and externally evaluated.
MWM-0166,Sonata: A Hybrid World Model for Inertial Kinematics under Clinical Data Scarcity,exclude,not_applicable,no_future_or_action_evaluation,Predicts the latent state of the next IMU window with a linear transition head.,Evaluation emphasizes frozen clinical probes and latent structure; the model transition is not tested through its own rollout or state prediction output.,Distinct Sonata study; no duplicate record identified.,https://arxiv.org/abs/2604.18058,The predictive objective is used for representation learning without direct dynamics-capability evaluation.
MWM-0170,Surg-UniWorld: A Unified Surgical World Model with Multimodal Control Experts,include,empirical,include_empirical,"Generates future surgical videos under edge, depth, optical-flow, and anatomical-anchor controls.","Directly compares video quality, temporal consistency, control fidelity, and multimodal ablations.",Distinct Surg-UniWorld study; no duplicate record identified.,https://arxiv.org/abs/2608.06770,Controllable surgical future dynamics are directly evaluated.
MWM-0173,Surgical WAM: A World-Action Model for Data-Efficient Surgical Robot Learning,include,empirical,include_empirical,Jointly predicts future endoscopic observations and executable robot action chunks after action-free video pretraining.,Evaluates closed-loop success across four simulated surgical tasks and action-label efficiency.,Distinct Surgical WAM study; no duplicate record identified.,https://arxiv.org/abs/2608.11204,The learned visual dynamics are tested through future prediction and closed-loop surgical control.
MWM-0174,SurgVista: Long-Horizon Surgical World Modeling with Plausible Instrument-Tissue Dynamics,include,empirical,include_empirical,Rolls action-conditioned surgical videos forward with learned deformation consistency and drift adaptation.,"Evaluates short- and long-horizon instrument motion, tissue response, visual quality, and temporal drift.",Distinct SurgVista model paper; its associated benchmark contribution is separate from MWM-0175.,https://arxiv.org/abs/2606.19889,The model directly tests long-horizon surgical interaction dynamics.
MWM-0175,SurgWMBench: A Vision-Based Benchmark for World-Modeling Surgical Instrument Motion Planning,include,empirical,include_empirical,Trains and evaluates learned surgical video/trajectory models under near-future and continuous-rollout protocols.,"Reports instrument ADE/FDE, rollout-error accumulation, perturbation recovery, and baseline capability boundaries.",Distinct benchmark paper with a separately extractable empirical contribution.,https://arxiv.org/abs/2608.08070,The benchmark directly evaluates learned surgical dynamics and rollout stability.
MWM-0176,Susagi: A Microbiome World Model,uncertain,uncertain,inaccessible_full_text,"The abstract describes a transformer for microbiome composition dynamics, but the transition design could not be fully inspected.",Official bioRxiv endpoints did not provide accessible primary methods and results.,No duplicate identified from available metadata.,https://doi.org/10.64898/2026.05.07.723428,"Primary full text was inaccessible, requiring an uncertain decision."
MWM-0177,SWoMo: Neuro-Symbolic World Model for Cataract Surgery Simulation,include,empirical,include_empirical,Combines rule-based tool-tissue motion with a learned diffusion future-observation generator.,"Evaluates video fidelity, action/structure adherence, out-of-distribution motion, and autoregressive synthetic sequences.",Distinct SWoMo study; no duplicate record identified.,https://arxiv.org/abs/2605.16530,The learned visual simulator is directly evaluated under controlled surgical dynamics.
MWM-0183,"The Bioprocess World Model for Simulating Cell-State Evolution, Manufacturing Intervention, Process Uncertainty, and Critical Quality Attributes",exclude,not_applicable,no_primary_empirical_evaluation,Proposes a conceptual multiscale bioprocess state-transition and intervention architecture.,Provides literature examples and design requirements but no original trained model or empirical dynamics results.,Distinct conceptual article; no duplicate record identified.,https://doi.org/10.51847/xb0rdsqitf,The article is a conceptual synthesis rather than a primary empirical world-model study or eligible review of medical world models.
MWM-0192,The Patient is not a Moving Document: A World Model Training Paradigm for Longitudinal EHR,exclude,not_applicable,no_future_or_action_evaluation,Trains a JEPA to predict masked future EHR embeddings from the current patient representation.,"All reported outcomes use frozen linear probes for progression, toxicity, and survival rather than model rollouts or transition predictions.",Distinct SMB-Structure study; no duplicate record identified.,https://arxiv.org/abs/2601.22128,The dynamics objective is not directly evaluated as a generative future-state or planning capability.
MWM-0199,Toward Safe Autonomous Robotic Endovascular Interventions using World Models,include,empirical,include_empirical,TD-MPC2 learns vascular dynamics and plans endovascular actions in latent space.,"Compares success, path efficiency, and force in held-out simulations and patient-specific in-vitro phantoms.",Earlier study in the lineage preceding MWM-0151; distinct task and contribution.,https://arxiv.org/abs/2604.20151,Learned dynamics are evaluated through model-based surgical navigation and real-phantom transfer.
MWM-0200,Toward World Modeling of Physiological Signals with Chaos-Theoretic Balancing and Latent Dynamics,include,empirical,include_empirical,Models multivariate physiological and intervention variables in a shared latent transition system with online adaptation.,"Evaluates short- and long-horizon signal forecasts across fitness, dialysis, diabetes, and surgical-monitoring datasets.",Distinct NormWear-2 study; no duplicate record identified.,https://arxiv.org/abs/2605.15465,The physiological dynamics model is directly tested on heterogeneous forecasting regimes.
MWM-0207,TwinRL-Onco: A World Model-Empowered Digital Twin Framework with Hierarchical Reinforcement Learning for Venetoclax Resistance Trajectory Prediction and Adaptive Therapy Optimization in Chronic Lymphocytic Leukemia.,uncertain,uncertain,inaccessible_full_text,The abstract describes oncology trajectory prediction and adaptive therapy with a world-model digital twin.,The official IEEE/PubMed record did not expose sufficient full text to verify dynamics and planning evaluation.,No duplicate identified from available metadata.,https://pubmed.ncbi.nlm.nih.gov/42184194/,"Primary full text was inaccessible, so eligibility remains uncertain."
MWM-0215,World Model Enhanced Offline Reinforcement Learning for Sequential Intervention Optimization in Acute Kidney Injury,include,empirical,include_empirical,An ensemble FNO-Transformer predicts future AKI patient-state distributions conditioned on interventions.,Reports held-out transition MSE and uncertainty plus stage-aware offline policy evaluation and safety analyses.,Distinct WME-ORL study; no duplicate record identified.,https://doi.org/10.53941/aim.2026.100002,The clinical transition model and world-model-enhanced sequential policy are empirically evaluated.
MWM-0234,"Beyond Generative AI: World Models for Clinical Prediction, Counterfactuals, and Planning",include,review,include_review,"Not applicable; the review defines healthcare world models as learned dynamics supporting rollouts, counterfactuals, and planning.","Synthesizes imaging, EHR, and surgical work and introduces a four-level capability rubric and benchmark recommendations.",Distinct review; no duplicate record identified.,https://arxiv.org/abs/2511.16333,Medical world models are the primary topic and the paper presents a field taxonomy and evaluation synthesis.
MWM-0239,CLARITY: Medical World Model for Guiding Treatment Decisions by Modeling Context-Aware Disease Trajectories in Latent Space,include,empirical,include_empirical,Learns treatment- and time-conditioned latent disease trajectories and plans over imagined futures.,"Evaluates treatment planning, survival prediction, cross-dataset generalization, and decoded future-state fidelity.",Distinct CLARITY study; no duplicate record identified.,https://arxiv.org/abs/2512.08029,Both disease dynamics and long-horizon treatment planning are empirically evaluated.
MWM-0242,EchoWorld: Learning Motion-Aware World Models for Echocardiography Probe Guidance,include,empirical,include_empirical,Predicts motion-induced future ultrasound features and decodes held-out visual changes from probe movements.,"Shows generated motion outcomes, ablates motion modeling, and evaluates sequential probe guidance on held-out patients.",Later EchoWorld study related to Cardiac Copilot but with a distinct pretraining and sequential-guidance contribution.,https://arxiv.org/abs/2504.13065,The motion-conditioned visual model is empirically demonstrated and linked to sequential control performance.
MWM-0261,Learning Emotional Dynamics: A World Model Approach,include,empirical,include_empirical,Learns transformer-based latent evolution of physiological affective signals.,"Reports multistep rollouts through five steps, R-squared, error reduction, and conditioning comparisons.",Distinct emotional-dynamics study; no duplicate record identified.,https://doi.org/10.5281/zenodo.17609413,The health-relevant affect dynamics are directly evaluated through multistep forecasting.
MWM-0263,Medical World Model,include,empirical,include_empirical,Generates post-treatment tumor states under candidate clinical actions and scores their expected outcomes.,"Uses radiologist visual Turing tests, FID/LPIPS, treatment-selection metrics, and clinician decision comparisons.",Official ICCV/CVF version retained; no duplicate MeWM publication row identified.,https://openaccess.thecvf.com/content/ICCV2025/html/Yang_Medical_World_Model_ICCV_2025_paper.html,Treatment-conditioned disease simulation and decision support are directly evaluated.
MWM-0290,X-WIN: Building Chest Radiograph World Model via Predictive Sensing,include,empirical,include_empirical,Predicts chest-radiograph projection states under controlled 3D source rotations.,Evaluates rendered projections and CT reconstruction in addition to downstream CXR tasks.,Distinct X-WIN study; no duplicate record identified.,https://arxiv.org/abs/2511.14918,The action-conditioned spatial transition capability receives direct reconstruction-based evaluation.
MWM-0294,Cardiac Copilot: Automatic Probe Guidance for Echocardiography with World Model,include,empirical,include_empirical,Cardiac Dreamer predicts the latent plane reached after a probe action and refines guidance from that imagined state.,Evaluates six-axis guidance MAE and stability across three target planes on held-out scans.,Peer-reviewed MICCAI/Springer paper; arXiv 2406.13165 is the same study.,https://arxiv.org/abs/2406.13165,The learned latent transition is used for internal guidance and evaluated through model-based navigation performance.
MWM-0315,World Models for General Surgical Grasping,include,empirical,include_empirical,DreamerV2 learns visual surgical-grasping dynamics and trains its policy on simulated latent rollouts.,"Evaluates model-based control in simulation and on real robots, including unseen objects and six disturbance conditions.",RSS 2024 paper; arXiv 2405.17940 is the same study.,https://arxiv.org/abs/2405.17940,A learned surgical world model is evaluated through closed-loop planning and real-robot transfer.
MWM-0320,Delphic Offline Reinforcement Learning under Nonidentifiable Hidden Confounding,include,empirical,include_empirical,Learns multiple observationally compatible world models to characterize counterfactual transition uncertainty.,Evaluates pessimistic offline policies and counterfactual value variation on sepsis simulations and EHR data.,Distinct Delphic ORL study; no duplicate record identified.,https://arxiv.org/abs/2306.01157,Learned world models are empirically used to compare counterfactual policies in a medical sequential-decision setting.
MWM-0369,Data-Efficient Reinforcement Learning for Malaria Control,include,empirical,include_empirical,Fits Gaussian-process transition dynamics and uses them for variance-aware MCTS planning.,Evaluates sample efficiency and policy performance in the malaria-control environment against exploration baselines.,IJCAI 2021 paper; arXiv 2105.01620 is the same study.,https://arxiv.org/abs/2105.01620,The learned disease-control transition model is empirically evaluated through model-based planning.
MWM-S002,Xray2Xray: World Model from Chest X-rays with Volumetric Context,include,empirical,include_empirical,Learns projection-transition dynamics across chest X-ray viewing angles with explicit rotation actions.,"Evaluates novel-view synthesis and reconstruction using PSNR/SSIM, alongside clinical transfer tasks.",Distinct Xray2Xray study; no duplicate record identified.,https://arxiv.org/abs/2506.19055,The action-conditioned projection model receives direct future-view fidelity evaluation.
MWM-S003,Treatment-aware Diffusion Probabilistic Model for Longitudinal MRI Generation and Diffuse Glioma Growth Prediction,include,empirical,include_empirical,"Generates future multimodal MRI and tumor masks conditioned on prior scans, treatment, and target time.","Evaluates longitudinal image fidelity, tumor-growth segmentation, and uncertainty on held-out glioma trajectories.",Distinct treatment-aware glioma study; not a duplicate of the later MeWM paper.,https://arxiv.org/abs/2309.05406,Treatment-conditioned disease progression and future observations are directly evaluated.
MWM-S004,Cosmos-H-Surgical: Learning Surgical Robot Policies from Videos via World Modeling,include,empirical,include_empirical,Adapts a video world model to predict future surgical trajectories from an initial frame and action text.,"Evaluates FVD/VBench, expert-rated surgical fidelity, few-shot adaptation, and real-robot policies trained with generated rollouts.",Distinct Cosmos-H-Surgical study; related Open-H and Dreams papers have separate contributions.,https://arxiv.org/abs/2512.23162,The surgical future generator and its downstream embodied utility are empirically evaluated.
MWM-S005,Surgical Vision World Model,include,empirical,include_empirical,Infers latent surgical actions and predicts future video tokens from current state and action embeddings.,"Evaluates multi-frame generation fidelity and action controllability with PSNR, SSIM, FVD, and action perturbations.",Distinct Surgical Vision World Model study; no duplicate record identified.,https://arxiv.org/abs/2503.02904,The learned action-conditioned surgical dynamics model is directly evaluated.
