audit_id,route,title,decision,corpus_type,reason_code,dynamics,evaluation,lineage,full_text_url,rationale,confidence
ALT-1dfb4e7629f9,fresh_alternate_public_search,Brain Amyloid Plaque Levels Affect Clinical Progression in Alzheimer Disease: Assessment of Amyloid PET and Change in CDR-SB Utilizing Semi-Mechanistic Model.,include,empirical,include_empirical,fitted continuous-time state dynamics,future trajectories or next states evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC12823306/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-ea1902cbb70e,fresh_alternate_public_search,Brain Latent Progression: Individual-based spatiotemporal disease progression on 3D Brain MRIs via latent diffusion,include,empirical,include_empirical,learned longitudinal generative dynamics,future trajectories or next states evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC12381938/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-e86bc8b02c40,fresh_alternate_public_search,Building digital twins of the human immune system: toward a roadmap.,include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9122990/,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,high
ALT-d3411f7d184d,fresh_alternate_public_search,"CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling",include,empirical,include_empirical,fitted continuous-time state dynamics,future trajectories or next states evaluated,retained primary version,https://doi.org/10.64898/2026.03.31.715390,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-b82bb2551356,fresh_alternate_public_search,Cardiovascular care with digital twin technology in the era of generative artificial intelligence.,include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://pmc.ncbi.nlm.nih.gov/articles/PMC11638093/,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,high
ALT-1bbcf3252882,fresh_alternate_public_search,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics",include,empirical,include_empirical,learned longitudinal generative dynamics,future trajectories or next states evaluated,retained primary version,https://doi.org/10.64898/2026.02.25.707938,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-744dce1205a8,fresh_alternate_public_search,Challenges of Digital Twin in healthcare,uncertain,uncertain,inaccessible_full_text,not verifiable from accessible primary text,not verifiable from accessible primary text,single record; lineage unresolved,https://doi.org/10.1016/b978-0-32-399163-6.00009-3,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",low
ALT-238a1a830ea0,fresh_alternate_public_search,cLDM-ODE: A Multimodal Generative Framework for Uncertainty-Aware Forecasting of Alzheimer's Disease Progression,include,empirical,include_empirical,fitted continuous-time state dynamics,future trajectories or next states evaluated,retained primary version,https://doi.org/10.1016/j.irbm.2025.100926,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-949bc7547612,fresh_alternate_public_search,Clinical-GAN: Trajectory Forecasting of Clinical Events using Transformer and Generative Adversarial Networks,include,empirical,include_empirical,learned longitudinal generative dynamics,future trajectories or next states evaluated,retained primary version,https://doi.org/10.1016/j.artmed.2023.102507,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-3062c794c4e1,fresh_alternate_public_search,Current progress of digital twin construction using medical imaging.,exclude,not_applicable,review_not_primary,general digital-twin concepts or implementation issues,learned transition/rollout systems are not a central evidence category,retained noneligible review or perspective,https://pmc.ncbi.nlm.nih.gov/articles/PMC12370374/,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",high
ALT-531ffbb6add3,fresh_alternate_public_search,Data-driven discovery of digital twins in biomedical research.,include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://pmc.ncbi.nlm.nih.gov/articles/PMC12890721/,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,high
ALT-61ae05403063,fresh_alternate_public_search,Data-driven Huntington's disease progression modelling and estimation of societal cost in the UK.,include,empirical,include_empirical,fitted continuous-time state dynamics,future trajectories or next states evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC11576117/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-57f713cb9c2e,fresh_alternate_public_search,Data-driven model discovery and model selection for noisy biological systems.,include,empirical,include_empirical,fitted continuous-time state dynamics,simulator fidelity or dynamic predictions evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC11753677/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-66f6aefba9e2,fresh_alternate_public_search,Decomposing heterogeneity in disease progression speeds and pathways.,include,empirical,include_empirical,learned or calibrated longitudinal dynamics,future trajectories or next states evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC13388994/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-cf60ad3588b1,fresh_alternate_public_search,Deep neural networks for endemic measles dynamics: Comparative analysis and integration with mechanistic models.,include,empirical,include_empirical,fitted continuous-time state dynamics,simulator fidelity or dynamic predictions evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC11620694/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-50502bb290be,fresh_alternate_public_search,Deep recurrent model for individualized prediction of Alzheimer’s disease progression,include,empirical,include_empirical,fitted continuous-time state dynamics,future trajectories or next states evaluated,retained primary version,https://doi.org/10.1016/j.neuroimage.2021.118143,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",medium
ALT-9a315a53cb0a,fresh_alternate_public_search,Design of high-performance digital twins to enhance magnetic resonance imaging patient positioning,exclude,not_applicable,no_future_or_action_evaluation,"static, associative, staging, or ordinary endpoint model",no direct evolving-state rollout or action-response evaluation,single primary record,https://doi.org/10.1080/27525783.2026.2719041,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",medium
ALT-8b76200f7bab,fresh_alternate_public_search,Development and validation of a chronic kidney disease progression model using patient-level simulations.,include,empirical,include_empirical,fitted continuous-time state dynamics,future trajectories or next states evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC11494709/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-872c15448450,fresh_alternate_public_search,Development of a model-based clinical trial simulation platform to optimize the design of clinical trials for Duchenne muscular dystrophy.,include,empirical,include_empirical,fitted continuous-time state dynamics,intervention or policy simulations evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC8923721/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-d6d9b0f712ec,fresh_alternate_public_search,Development of a Novel Machine Learning Method for Estimation of Life-Long Chronic Disease Progression and Its Application to Type 2 Diabetes.,include,empirical,include_empirical,learned or calibrated longitudinal dynamics,future trajectories or next states evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC12547360/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-beb122ebb1f2,fresh_alternate_public_search,Development of the simulation-based German albuminuria screening model (S-GASM) for estimating the cost-effectiveness of albuminuria screening in Germany.,exclude,not_applicable,no_learned_dynamics,hand-specified or simulation-trained dynamics without observed-data transition fitting,scenario simulation does not validate learned medical transitions,single primary record,https://pmc.ncbi.nlm.nih.gov/articles/PMC8730388/,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",high
ALT-66d2637db7d6,fresh_alternate_public_search,Digital doppelgangers in psychiatry.,exclude,not_applicable,review_not_primary,general digital-twin concepts or implementation issues,learned transition/rollout systems are not a central evidence category,retained noneligible review or perspective,https://pmc.ncbi.nlm.nih.gov/articles/PMC13396074/,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",high
ALT-d9b3b5b61cb1,fresh_alternate_public_search,Digital Representation of Patients as Medical Digital Twins: Data-Centric Viewpoint.,exclude,not_applicable,review_not_primary,general digital-twin concepts or implementation issues,learned transition/rollout systems are not a central evidence category,retained noneligible review or perspective,https://pmc.ncbi.nlm.nih.gov/articles/PMC11793832/,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",high
ALT-1305c7353fe7,fresh_alternate_public_search,Digital twin brain simulator for real-time consciousness monitoring and virtual intervention using primate electrocorticogram data,include,empirical,include_empirical,learned or calibrated action-conditioned simulator,intervention or policy simulations evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC11811282/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-14a9bd382609,fresh_alternate_public_search,Digital Twin Brain Simulator: Harnessing Primate ECoG Data for Real-Time Consciousness Monitoring and Virtual Intervention,exclude,not_applicable,duplicate_publication,same dynamics as retained publication,same evaluation as retained publication,journal version retained at row 51,https://pmc.ncbi.nlm.nih.gov/articles/PMC11811282/,This is an earlier or less complete publication version of the retained study.,high
ALT-8fec1f0f96e5,fresh_alternate_public_search,Digital Twin in Health Care,uncertain,uncertain,inaccessible_full_text,not verifiable from accessible primary text,not verifiable from accessible primary text,single record; lineage unresolved,https://doi.org/10.1007/978-981-99-0252-1_10,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",low
ALT-f38cea90635e,fresh_alternate_public_search,Digital twin models for predicting venetoclax and azacitidine-induced neutropenia in patients with acute myeloid leukemia.,include,empirical,include_empirical,fitted continuous-time state dynamics,simulator fidelity or dynamic predictions evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC12500890/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-648756a83407,fresh_alternate_public_search,Digital twin technology for better health,uncertain,uncertain,inaccessible_full_text,not verifiable from accessible primary text,not verifiable from accessible primary text,single record; lineage unresolved,https://doi.org/10.1201/9781003498117-3,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",low
ALT-cd8ead69e7e8,fresh_alternate_public_search,Digital twins and digital models of the human circulatory system.,include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://pmc.ncbi.nlm.nih.gov/articles/PMC13256331/,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,high
ALT-19924e20f5f0,fresh_alternate_public_search,Digital twins as global learning health and disease models for preventive and personalized medicine.,include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://pmc.ncbi.nlm.nih.gov/articles/PMC11806862/,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,high
ALT-36f6d95f9f66,fresh_alternate_public_search,Digital Twins as the Implementation Layer of Precision Medicine in Pediatric Neurosurgery.,exclude,not_applicable,review_not_primary,general digital-twin concepts or implementation issues,learned transition/rollout systems are not a central evidence category,retained noneligible review or perspective,https://pmc.ncbi.nlm.nih.gov/articles/PMC13341213/,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",high
ALT-386154555f3d,fresh_alternate_public_search,Digital Twins for Personalized Medicine Require Epidemiological Data and Mathematical Modeling: Viewpoint.,exclude,not_applicable,review_not_primary,general digital-twin concepts or implementation issues,learned transition/rollout systems are not a central evidence category,retained noneligible review or perspective,https://pmc.ncbi.nlm.nih.gov/articles/PMC12365566/,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",high
ALT-5fbea853f1dc,fresh_alternate_public_search,"Digital Twins for Predictive, Preventive Personalized, and Participatory Treatment of Immune-Mediated Diseases.",include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://doi.org/10.1161/atvbaha.122.318331,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,medium
ALT-0c7ca3990ee0,fresh_alternate_public_search,"Digital Twins in Neurology Care: Evidence, Limitations, and a Path Forward.",include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://doi.org/10.31083/jin50563,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,medium
ALT-b5ebc3599d50,fresh_alternate_public_search,"Digital twins in precision pharmacotherapy: emerging applications, challenges, and future directions.",include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://pmc.ncbi.nlm.nih.gov/articles/PMC13530433/,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,high
ALT-1d78c0c833ef,fresh_alternate_public_search,Digital twins in urology: a vision for the future of urological practice.,include,review,include_review,synthesis of learned/adapted medical dynamics,"simulation, forecasting, or intervention evidence synthesized",retained review,https://pmc.ncbi.nlm.nih.gov/articles/PMC12891402/,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,high
ALT-2ff62462ed4f,fresh_alternate_public_search,Digital Twins: From Personalised Medicine to Precision Public Health.,exclude,not_applicable,review_not_primary,general digital-twin concepts or implementation issues,learned transition/rollout systems are not a central evidence category,retained noneligible review or perspective,https://pmc.ncbi.nlm.nih.gov/articles/PMC8401029/,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",high
ALT-6557539979ea,fresh_alternate_public_search,Digital-twin Healthcare: A Gateway to Future Medicine (Preprint),exclude,not_applicable,duplicate_publication,same dynamics as retained publication,same evaluation as retained publication,later peer-reviewed review retained outside this candidate set,https://doi.org/10.1177/27536130241272929,This is an earlier or less complete publication version of the retained study.,high
ALT-f58f7b29b390,fresh_alternate_public_search,Disease Modeling and External Model Evaluation Through Clinical Data Sharing Platform for HR+/HER2- Breast Cancer.,include,empirical,include_empirical,fitted continuous-time state dynamics,simulator fidelity or dynamic predictions evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC12439286/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-38a784f6d7ac,fresh_alternate_public_search,Disease progression simulation via generative AI: assessing the credibility of a conditional longitudinal autoencoder via a case study in Alzheimer’s Disease,uncertain,uncertain,inaccessible_full_text,not verifiable from accessible primary text,not verifiable from accessible primary text,single record; lineage unresolved,https://doi.org/10.70534/sxwc6774,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",low
ALT-d7f5daff27f0,fresh_alternate_public_search,DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer.,include,empirical,include_empirical,learned or calibrated action-conditioned simulator,intervention or policy simulations evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC11879760/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-436d568a61b6,fresh_alternate_public_search,"Drug Development Digital Twins for Drug Discovery, Testing and Repurposing: A Schema for Requirements and Development.",exclude,not_applicable,review_not_primary,general digital-twin concepts or implementation issues,learned transition/rollout systems are not a central evidence category,retained noneligible review or perspective,https://pmc.ncbi.nlm.nih.gov/articles/PMC9351294/,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",high
ALT-4d8c92d03168,fresh_alternate_public_search,DYNAMIC CLASSIFICATION OF LATENT DISEASE PROGRESSION WITH AUXILIARY SURROGATE LABELS.,include,empirical,include_empirical,learned or calibrated longitudinal dynamics,future trajectories or next states evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC13004507/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-531d7f078a79,fresh_alternate_public_search,EczemaPred: A computational framework for personalised prediction of eczema severity dynamics.,include,empirical,include_empirical,learned or calibrated longitudinal dynamics,future trajectories or next states evaluated,retained primary version,https://pmc.ncbi.nlm.nih.gov/articles/PMC8967258/,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",high
ALT-5da29b0ea727,fresh_alternate_public_search,Editorial: The future of oncology: digital twins and precision cancer care.,exclude,not_applicable,no_primary_empirical_evaluation,proposed or discussed dynamics only,no sufficiently extractable primary methods and results,"editorial, abstract, perspective, or proposal",https://pmc.ncbi.nlm.nih.gov/articles/PMC13462063/,The record lacks a complete primary empirical evaluation sufficient to verify eligible dynamics and results.,high
ALT-95ce497fab31,fresh_alternate_public_search,EE221 ECONOMIC IMPACT OF AN AI-ENABLED DIGITAL TWIN INTERVENTION IN TYPE 2 DIABETES,exclude,not_applicable,no_primary_empirical_evaluation,proposed or discussed dynamics only,no sufficiently extractable primary methods and results,"editorial, abstract, perspective, or proposal",https://doi.org/10.1016/j.jval.2026.03.516,The record lacks a complete primary empirical evaluation sufficient to verify eligible dynamics and results.,high
