audit_id,final_decision,final_corpus_type,final_reason_code,lead_rationale,full_text_anchor,confidence
ALT-531d7f078a79,exclude,not_applicable,outside_world_model_conceptual_boundary,"EczemaPred is an ordinary personalized state-space forecasting framework for daily-to-weekly severity trajectories; it is not framed as a patient simulator or twin and is not used for planning or closed-loop control.","Version-of-record Methods and Validation: nine latent severity-item models, PO-SCORAD trajectory composition, and comparison with autoregressive baselines across two studies.",high
ALT-75c423c80690,exclude,not_applicable,outside_world_model_conceptual_boundary,"The rSLDS study estimates and predicts neural dynamics, while closed-loop neuromodulation is stated only as a possible future use; the learned transition is not operationally used for planning or control and has no simulator identity.","Version-of-record rSLDS model and Evaluation sections: synthetic recovery and future-state prediction on monkey recordings; the Discussion presents closed-loop control as future work.",high
ALT-27768d84fbdd,exclude,not_applicable,outside_world_model_conceptual_boundary,"This is conventional exposure-safety pharmacometric Markov modeling and regimen simulation; it is not framed as a world model, twin, or reusable patient simulator and is not used for iterative planning or control.","Version-of-record Model development, Model evaluation, and Model application sections: daily ocular-event transitions, exposure effects, visual predictive checks, and alternative-dose simulations.",high
ALT-0cdd85000e2e,exclude,not_applicable,outside_world_model_conceptual_boundary,"IP-DDGAN performs subject-specific longitudinal MRI forecasting and image generation, but it is not framed as a world model, twin, or reusable dynamic simulator and does not support planning or closed-loop control.","Primary preprint Method and Results: metadata-guided diffusion-GAN forecasting of longitudinal ADNI MRI with multihorizon image, identity, morphology, and phenotype evaluation.",high
ALT-49858f3d90ed,exclude,not_applicable,outside_world_model_conceptual_boundary,"The latent neural SDE is presented as a probabilistic clinical time-series forecasting and treatment-effect framework, not as a reusable patient simulator or world model, and it is not used for iterative planning or control.","Version-of-record methods and experiments: variational latent-SDE state estimation and forecasting on simulated PK/PD, synthetic glucose, and real ICU trajectories.",high
ALT-77e8f9271a36,exclude,not_applicable,outside_world_model_conceptual_boundary,"The hierarchical Bayesian model predicts untreated natural history for rare-disease trial analysis; it is not framed as a clinical-trial simulator or patient simulator and is not an environment for iterative planning or control.","Version-of-record Methods and Results: individual FEV1 natural-history prediction, responder definition, posterior treatment comparison, type-I-error control, and trial-power analysis.",high
ALT-11ca23d625dd,exclude,not_applicable,outside_world_model_conceptual_boundary,"Disease Course Mapping supplies one-year prognostic scores to statistical trial estimators; the study does not present a reusable dynamic simulator, twin, or model-based planning environment.","Version-of-record Methods and Results: external natural-history training, ATRIL trial application, prognostic-score forecasting, variance comparisons, and sample-size calculations.",high
ALT-cf089f5a91f0,exclude,not_applicable,outside_world_model_conceptual_boundary,"The hybrid latent-ODE and Hill-function models reconstruct cellular dynamics and analyze gene-coupling perturbations, but the work is framed as model inference and mechanistic interpretation rather than a virtual cell, reusable simulator, or planning environment.","Primary preprint Methods and Results: six developmental time points, latent neural-ODE reconstruction, short-term prediction, mechanistic gene-regulation fitting, and in silico coupling perturbations.",medium
ALT-ad2c2c11044d,exclude,not_applicable,outside_world_model_conceptual_boundary,"Dynamic causal modeling is used to infer latent psychosis trajectories and subgroup structure; the study does not frame the fitted process as a world model or reusable patient simulator and does not use it for planning or control.","Version-of-record Methods and Results: generative-embedding inversion of longitudinal psychosis data, parameter clustering, inferred disorder trajectories, and subgroup comparisons.",high
ALT-d3993e000d34,exclude,not_applicable,outside_world_model_conceptual_boundary,"This is conventional population dose-response and disease-progression pharmacometrics for daprodustat titration; observed-versus-simulated hemoglobin trajectories do not establish twin or patient-simulator identity.","Version-of-record Model development and Evaluation: five Phase III studies, dose-driven red-cell production dynamics, dialysis-dependent progression, titration algorithms, and visual predictive checks.",high
ALT-8e4690fb56cd,exclude,not_applicable,outside_world_model_conceptual_boundary,"NeuroVelo reconstructs cellular transitions and gene-regulatory interactions from single-cell data; it is not framed as a virtual cell or reusable dynamic simulator and is not used for planning or closed-loop control.","Version-of-record Method and Benchmark Results: optimized projection plus neural ODE, transition reconstruction, regulatory-network recovery, and comparisons with RNA-velocity methods.",high
ALT-1989194480f7,exclude,not_applicable,outside_world_model_conceptual_boundary,"The Bayesian latent-process model is conventional Duchenne disease-progression analysis; potential posterior simulation for drug-development decisions does not amount to explicit trial-simulator, patient-simulator, or world-model identity.","Version-of-record Model and Results: 218 Duchenne patients plus controls, full Bayesian estimation, age-dependent rise and decline of 6MWT, and posterior simulation.",high
ALT-d03766bf85b3,exclude,not_applicable,outside_world_model_conceptual_boundary,"The symbolic neural network learns covariate functions and Markov parameters for ordinary diabetes disease-progression prediction; it has no qualifying simulator or twin identity and no planning or control use.","Version-of-record Method and Application: joint symbolic-function and transition fitting, pruning to readable covariate relations, and predictive comparison with a manually developed model.",high
ALT-792483034b08,exclude,not_applicable,outside_world_model_conceptual_boundary,"LNODE is a fitted latent amyloid-progression model used for trajectory explanation and subtype analysis; it is not framed as a digital twin or reusable patient simulator and is not used for planning or closed-loop control.","Version-of-record Model and Results: 585 ADNI subjects, joint parameter inversion, regional normal and abnormal amyloid states, latent mechanisms, and longitudinal fit.",high
ALT-e928d3e6cc41,exclude,not_applicable,outside_world_model_conceptual_boundary,"The longitudinal item-response model is conventional exposure-outcome pharmacometrics with alternative-dose symptom simulation; it lacks qualifying twin or patient-simulator identity and iterative planning or control.","Version-of-record model and results: 4,136 symptom observations, latent impairment progression, efavirenz exposure effect, model fit, and 400-mg symptom simulations.",high
ALT-c8668820c69c,exclude,not_applicable,outside_world_model_conceptual_boundary,"Myo-ODE reconstructs refractive trajectories and predicts high-myopia risk; it is an ordinary progression and forecasting model rather than an explicitly framed twin or reusable simulator and is not used for planning or control.","Version-of-record Methods and Results: 4,973 longitudinal records, neural-ODE interpolation and short-term extrapolation, individualized trajectories, and risk-prediction metrics.",high
ALT-e32f66429421,exclude,not_applicable,outside_world_model_conceptual_boundary,"The personalized dose-glucose model is conventional PK/PD and linear disease-progression analysis; long-term response forecasting and dose optimization do not establish a patient-simulator, twin, or planning-environment identity.","Version-of-record Model and Results: first-month gestational-diabetes data used for fitting, personalized dose-response estimation, and later glucose-trend comparison with autoregression.",high
ALT-ffa943add08e,exclude,not_applicable,outside_world_model_conceptual_boundary,"This is conventional population PK/PD modeling of paracetamol and ductus closure; virtual-patient dose simulations do not by themselves establish world-model, twin, or reusable patient-simulator identity.","Version-of-record Methods and Results: effect-compartment plus exponential progression model, parameter estimation in 29 neonates, and 500-patient dosing simulations.",high
ALT-bf936bea3ffc,exclude,not_applicable,outside_world_model_conceptual_boundary,"The personalized input-output HMM estimates Parkinson disease states and medication effects for prediction and interpretation; it is not framed as a patient simulator or twin and is not used for iterative model-based planning.","Primary preprint Model and Experiments: variational transition learning, subject and medication effects, synthetic recovery, and two real Parkinson datasets.",high
ALT-e1f3bd53960a,exclude,not_applicable,outside_world_model_conceptual_boundary,"PINN-EM fits patient-specific PDE coefficients for geographic-atrophy progression and extrapolation; it is not framed as a digital twin or reusable simulator and is not used for planning or closed-loop control.","Version-of-record methods and results: iterative PDE-coefficient and data fitting, PDEBench validation, OCT progression extrapolation, and Dice evaluation of newly affected areas.",high
ALT-3c2780d5948f,exclude,not_applicable,outside_world_model_conceptual_boundary,"The multi-information GAN performs ordinary future-MRI generation and Alzheimer progression classification; it is not framed as a world model, twin, or reusable dynamic simulator and does not support planning or control.","Version-of-record experiments: ADNI baseline conditioning, future 3D MRI generation, similarity against observed year-four scans, and pMCI versus sMCI classification.",high
ALT-ab6014707f0f,exclude,not_applicable,outside_world_model_conceptual_boundary,"The mRSS model is conventional disease-progression and treatment-effect analysis used for extrapolation and trial-power simulation; it lacks qualifying simulator or twin identity and iterative planning or control.","Version-of-record Model and Results: 24-week fitting, prediction through week 52, observed-versus-predicted extension outcomes, and simulated alternative trial designs.",high
ALT-3c5208bdbe14,exclude,not_applicable,outside_world_model_conceptual_boundary,"The continuous-time HMM identifies autoimmune disease-progression states and predicts diabetes onset; it is not framed as a patient simulator or twin and is not used for model-based planning or closed-loop control.","Version-of-record Model and Results: 24,662-participant cohort, 11 latent states, three transition pathways, covariate-refined rates, and five-year survival predictions.",high
ALT-8c0d38af637d,exclude,not_applicable,outside_world_model_conceptual_boundary,"The variational disease-progression score framework provides latent staging, individualized prognosis, and uncertainty calibration; it has no qualifying simulator or twin identity and no planning or control use.","Primary preprint Methods and Results: ADNI multimodal biomarkers, learned latent timeline and cascade strengths, unseen-subject prognosis, dynamic updating, and credible-interval coverage.",high
ALT-ca8c7adfc7a7,exclude,not_applicable,outside_world_model_conceptual_boundary,"The longitudinal item-response model is ordinary PSP progression and trial-design pharmacometrics; trial simulations do not give it explicit clinical-trial-simulator, patient-simulator, or world-model identity.","Version-of-record Model and Trial simulations: 979 patients, longitudinal latent progression, item-information comparison, and simulated treatment-detection sample sizes.",high
ALT-86ecd04e07f7,exclude,not_applicable,outside_world_model_conceptual_boundary,"L1MSTATE is a statistical method for risk-factor selection and transition-probability prediction in multistate disease data; it is not a reusable simulator or twin and is not used for planning or control.","Version-of-record Method and Results: coordinate-descent fitting, simulation recovery, and EBMT transition-probability prediction against unregularized models.",high
ALT-422955863466,exclude,not_applicable,outside_world_model_conceptual_boundary,"scMTG is framed as a single-cell transition-reconstruction and held-out-time-point generation method, not as a virtual cell or reusable dynamic simulator, and it is not used for iterative planning or closed-loop control.","Primary preprint Experiments: held-out time-point generation, transition-matrix inference, benchmark comparisons, and time-resolved regulatory-network analysis.",high
ALT-5bec8ffd48d9,exclude,not_applicable,outside_world_model_conceptual_boundary,"The study applies fitted natural-history models and a trial-derived time delay to project long-term lecanemab effects; this is conventional disease-progression simulation without qualifying simulator, twin, planning, or control identity.","Version-of-record Methods and Results: ADNI and NACC progression models, Clarity AD time-delay effect, discontinuation scenarios, and years-to-severe-AD projections.",high
ALT-6dd7b171b472,exclude,not_applicable,outside_world_model_conceptual_boundary,"The multimodal models estimate genotype-specific frontotemporal-dementia progression and support endpoint and sample-size simulations; they are not framed as patient or trial simulators and are not planning environments.","Version-of-record Disease progression modeling and Trial simulations: 796 carriers, 412 controls, genotype-specific temporal ordering, modeled patient selection, endpoints, and sample sizes.",high
ALT-dcb2580cae0b,exclude,not_applicable,outside_world_model_conceptual_boundary,"The Markov-Bayesian model generates synthetic diabetes-complication trajectories for progression inference and population-health analysis, but it is not framed as a patient simulator or twin and is not used for planning or control.","Version-of-record Methods and Results: 9,298 patients, anchor-optimized parameter learning, 5,000 generated trajectories, endocrinologist review, and complication-pattern prediction.",high
AUD-a956f62c779d,exclude,not_applicable,outside_world_model_conceptual_boundary,"This paper audits RNA-velocity estimation and embedding artifacts rather than presenting a world model, virtual cell, reusable dynamic simulator, or learned environment for planning or closed-loop control.","Version-of-record Results: high- and low-dimensional velocity evaluation, nearest-neighbor dependence, direction and speed errors, embedding transition probabilities, and a proposed quality measure.",high
