"audit_id","title","qc_decision","qc_corpus_type","qc_reason_code","qc_rationale","full_text_anchor","confidence"
"ALT-db944a487acf","ARE-GAN: Adaptive Regression and ROI-Enhanced Generative Adversarial Network for Alzheimer Disease Progression Prediction","include","empirical","learned_multistep_dynamics","ARE-GAN learns longitudinal MRI progression conditioned on patient information and evaluates generated future brain states and progression classification against observed Alzheimer follow-up data.","Springer full article, Methods and Results: adaptive regression and ROI-enhanced GAN generation of future MRIs with image-similarity and disease-stage evaluation.","high"
"ALT-7c5ab8c52279","Artificial Intelligence, LLM-based generation of synthetic patients with Parkinson’s Disease: towards a digital twin paradigm for in silico studies","exclude","not_applicable","generative_augmentation_only","The LLM generates complete synthetic longitudinal records and is evaluated for fidelity, privacy, and downstream utility, but no learned state-transition operator is directly evaluated through forecasting, rollout, or action response.","Primary preprint, Methods and Results: synthetic PPMI record generation, distributional similarity, neurologist review, privacy tests, and downstream disease-model reuse.","high"
"ALT-4ebd98e25663","Automatic Interactive Evaluation for Large Language Models with State Aware Patient Simulator","exclude","not_applicable","insufficient_primary_evidence","The accessible SSRN registration and title do not expose stable methods and results sufficient to determine whether patient-state transitions are learned from observed clinical data or hand-authored.","SSRN DOI record and indexed metadata: title-level evidence only; no complete stable primary text available for extraction.","high"
"ALT-6fb8e7370e1e","Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.","include","empirical","fitted_multistep_dynamics","Nonlinear mixed-effects models fit individual eGFR trajectories from longitudinal natural-history data; placebo and treatment trajectories are simulated across trial designs and evaluated by statistical power.","Full text, Natural History Models and Case Studies: SAEM-fitted genotype-specific eGFR curves, parameterized drug effects, virtual populations, and trial power simulations.","high"
"ALT-1dfb4e7629f9","Brain Amyloid Plaque Levels Affect Clinical Progression in Alzheimer Disease: Assessment of Amyloid PET and Change in CDR-SB Utilizing Semi-Mechanistic Model.","include","empirical","fitted_intervention_dynamics","A nonlinear mixed-effects disease-progression transition is fitted to placebo and lecanemab trial trajectories, links amyloid reduction to CDR-SB evolution, and is evaluated through four-year treatment simulations.","Full text, Model development and Simulations: Richard's-function CDR-SB progression fit to Studies 201 and 301, amyloid-mediated treatment effect, and four-year projections.","high"
"ALT-ea1902cbb70e","Brain Latent Progression: Individual-based spatiotemporal disease progression on 3D Brain MRIs via latent diffusion","include","empirical","learned_multistep_dynamics","A latent diffusion model learns subject-specific spatiotemporal MRI transitions and directly evaluates generated future brain anatomy across longitudinal follow-up horizons.","PMC full text, Method and Experiments: individual-conditioned latent diffusion over longitudinal 3D MRI with future-image similarity, morphometry, and progression evaluation.","high"
"ALT-d3411f7d184d","CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling","include","empirical","calibrated_perturbation_dynamics","CardamomOT calibrates gene-regulatory and latent protein transitions from time-labeled single-cell data, reconstructs trajectories, and evaluates generation under unseen regulatory perturbations.","Primary preprint, Results: GRN and protein-trajectory reconstruction on simulated and experimental data, velocity-field recovery, and unseen-perturbation response simulation.","high"
"ALT-b82bb2551356","Cardiovascular care with digital twin technology in the era of generative artificial intelligence.","exclude","not_applicable","review_scope_too_broad","The narrative review spans phenotyping, diagnosis, procedural planning, risk prediction, and future generative-AI possibilities; learned or adapted transition systems with operational rollout evidence are not a consistently central evidence category.","Primary review, abstract and application sections: mechanistic and statistical replicas across diagnosis, prognosis, planning, and proposed future real-time predictions.","medium"
"ALT-1bbcf3252882","CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics","include","empirical","learned_multistep_dynamics","CellPace learns continuous developmental transitions with a temporal diffusion transformer and directly evaluates simulation, missing-time interpolation, and extrapolation to unseen future stages.","Primary preprint, Methods and Results: gap-aware continuous-time conditioning with developmental, spatial-transcriptomic, and joint RNA-chromatin trajectory evaluation.","high"
"ALT-238a1a830ea0","cLDM-ODE: A Multimodal Generative Framework for Uncertainty-Aware Forecasting of Alzheimer's Disease Progression","exclude","not_applicable","insufficient_primary_evidence","Only bibliographic registration and title-level evidence were stably available; the transition model, longitudinal dataset, uncertainty evaluation, and results could not be audited for full extraction.","Elsevier DOI and Crossref record: title and publication metadata only; no stable abstract or full methods/results text located.","high"
"ALT-949bc7547612","Clinical-GAN: Trajectory Forecasting of Clinical Events using Transformer and Generative Adversarial Networks","include","empirical","learned_multistep_dynamics","Clinical-GAN learns next-visit clinical-code transitions from ordered MIMIC-IV histories and evaluates generated multivisit trajectories against recurrent and generative baselines.","Primary article abstract and repository-linked methods: transformer generator/discriminator trained on more than 500,000 visits from about 196,000 patients; subsequent-visit forecasting experiments.","high"
"ALT-3062c794c4e1","Current progress of digital twin construction using medical imaging.","exclude","not_applicable","review_scope_too_broad","The review centers imaging-based twin construction, anatomical representation, diagnosis, and planning; learned longitudinal transitions and operational rollout evaluation are not a central evidence category.","Full text and abstract: system-by-system imaging classification, diagnostic and treatment applications, data augmentation, and real-time optimization as future directions.","high"
"ALT-531ffbb6add3","Data-driven discovery of digital twins in biomedical research.","include","review","substantive_dynamic_simulator_review","The review specifically synthesizes 177 methods that infer governing dynamics from biological time series, including learned differential equations, latent variables, perturbations, uncertainty, and benchmark needs.","Full text sections: State-of-the-art of digital twin inference from temporal data; symbolic and sparse regression; biological challenges; uncertainty; benchmark development.","high"
"ALT-61ae05403063","Data-driven Huntington's disease progression modelling and estimation of societal cost in the UK.","include","empirical","learned_multistate_dynamics","A continuous-time hidden Markov model learns five Huntington disease states and transition speeds from Enroll-HD visits, then evaluates synthetic patient progression and hypothetical intervention scenarios.","Full text, Methods and Results: cross-validated state-number selection, transition-rate estimation, life-expectancy correction, and population simulation under interventions.","high"
"ALT-57f713cb9c2e","Data-driven model discovery and model selection for noisy biological systems.","include","empirical","learned_biological_dynamics","A neural hybrid dynamical model learns missing biological transition terms from noisy observations, then direct simulations are used to recover governing equations and cell-state transitions.","Full text, Methods and Results: neural latent-dynamics fitting, SINDy model recovery, noise stress tests, and single-cell transcriptomic state-transition application.","high"
"ALT-66f6aefba9e2","Decomposing heterogeneity in disease progression speeds and pathways.","include","empirical","learned_multistate_dynamics","DiSPAH learns continuous-time latent disease-state transitions and patient-specific progression speeds from longitudinal ALS scores, reconstructs trajectories, and predicts future course.","Full text, Model and Results: hidden Markov transition framework, individualized speed parameter, inferred ALS pathways, and held-out future-course prediction.","high"
"ALT-cf60ad3588b1","Deep neural networks for endemic measles dynamics: Comparative analysis and integration with mechanistic models.","include","empirical","learned_multistep_dynamics","A spatial neural model learns measles transitions from historical incidence and directly evaluates multi-horizon outbreak forecasts; a hybrid PINN also reconstructs latent susceptible dynamics.","Full text, Forecasting experiments: England and Wales biweekly incidence, 1- to multi-step RMSE comparisons with TSIR, and latent-susceptible reconstruction.","high"
"ALT-50502bb290be","Deep recurrent model for individualized prediction of Alzheimer’s disease progression","include","empirical","learned_multistep_dynamics","An end-to-end recurrent model learns longitudinal MRI, cognitive, and clinical-state transitions and evaluates predictions at multiple future time points on the TADPOLE cohort.","Primary article abstract, Methods and Experiments: joint imputation, biomarker forecasting, cognitive trajectory estimation, and future clinical-status prediction with ablations.","high"
"ALT-8b76200f7bab","Development and validation of a chronic kidney disease progression model using patient-level simulations.","include","empirical","fitted_multistate_dynamics","The patient-level model combines fitted risk equations and calibrated transition probabilities for CKD states and complications, then evaluates evolving outcomes through internal and external validation.","Full text, Model development and Validation: KDIGO state transitions, time-dependent eGFR and complication risks, calibration, and comparison with multiple source cohorts.","high"
"ALT-872c15448450","Development of a model-based clinical trial simulation platform to optimize the design of clinical trials for Duchenne muscular dystrophy.","include","empirical","fitted_multistep_dynamics","Nonlinear mixed-effects models fit five longitudinal Duchenne measures from 27,252 observations, externally validate their trajectories, and drive repeated clinical-trial simulations.","Full text, Model development and Qualification: five disease trajectories, external datasets, and trial-design simulations for eligibility, endpoints, and assessment schedules.","high"
"ALT-d6d9b0f712ec","Development of a Novel Machine Learning Method for Estimation of Life-Long Chronic Disease Progression and Its Application to Type 2 Diabetes.","include","empirical","learned_multistep_dynamics","SReFT-ML learns how fragmented longitudinal observations align on a common disease course, reconstructs 30-year biomarker trajectories, and evaluates recovery on synthetic data and ACCORD patients.","Full text, Method and Results: synthetic trajectory-recovery tests, ACCORD reconstruction, long-term biomarker evolution, and outcome-risk associations.","medium"
"ALT-1305c7353fe7","Digital twin brain simulator for real-time consciousness monitoring and virtual intervention using primate electrocorticogram data","include","empirical","action_conditioned_closed_loop_control","A variational Bayesian recurrent model learns latent ECoG transitions with online data assimilation, evaluates real-time signal rollout, and simulates virtual anesthetic intervention effects.","Full text, Data assimilation and Virtual intervention Results: macaque awake/anesthetized ECoG prediction, latent-state updating, and drug-administration simulation.","high"
"ALT-f38cea90635e","Digital twin models for predicting venetoclax and azacitidine-induced neutropenia in patients with acute myeloid leukemia.","include","empirical","fitted_personalized_dynamics","Patient-specific mechanistic transitions for blasts and neutrophils are fitted and continuously updated from treatment data, with future neutropenia trajectories evaluated across patients.","Full text, Model fitting and Results: venetoclax/azacitidine response equations, patient-level parameter estimation, forecast-error analysis, subgroup fit, and sequential updating.","high"
"ALT-0c7ca3990ee0","Digital Twins in Neurology Care: Evidence, Limitations, and a Path Forward.","exclude","not_applicable","review_scope_too_broad","This is an opinion spanning many neurological domains and proposed standards; it does not centrally synthesize inspectable learned-transition systems with operational dynamics evaluations.","Primary article abstract: conceptual critique across dementia, multiple sclerosis, Parkinson disease, epilepsy, stroke, pain, and migraine; most systems are labeled twin-inspired.","high"
"ALT-b5ebc3599d50","Digital twins in precision pharmacotherapy: emerging applications, challenges, and future directions.","exclude","not_applicable","review_scope_too_broad","The narrative review emphasizes conceptual translation, clinical-pharmacy workflows, and prospective applications; learned or adapted transition models with direct rollout evidence are not systematically central.","Full text sections: conceptual framework, MIPD distinction, use cases, implementation, current status, and future directions.","medium"
"ALT-f58f7b29b390","Disease Modeling and External Model Evaluation Through Clinical Data Sharing Platform for HR+/HER2- Breast Cancer.","include","empirical","fitted_multistep_dynamics","A tumor-growth inhibition transition is fitted to longitudinal breast-cancer measurements and linked to survival, then externally evaluated on two independent Phase III trials.","Full text, TGI and TGI-OS model development and External qualification: CONFIRM fitting with PALOMA-3 and SANDPIPER validation.","high"
"ALT-d7f5daff27f0","DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer.","include","empirical","action_conditioned_treatment_dynamics","DITTO learns sequential treatment-state and outcome relationships from head-and-neck cancer histories, evaluates personalized short- and long-term outcomes under treatment sequences, and exposes action tradeoffs to clinicians.","Full text, Digital twin model and Evaluation: sequential deep-reinforcement-learning state/action representation, quantitative outcome prediction, treatment-policy comparison, and clinician case studies.","medium"
"ALT-531d7f078a79","EczemaPred: A computational framework for personalised prediction of eczema severity dynamics.","include","empirical","learned_multistep_dynamics","Bayesian state-space models learn latent eczema-severity transitions and measurement processes, then directly forecast daily-to-weekly patient trajectories in two independent longitudinal cohorts.","Full text, Methods and Validation: nine latent severity-item models, PO-SCORAD trajectory composition, and comparison with autoregressive baselines across two studies.","high"
"ALT-75c423c80690","Exploring the suitability of piecewise-linear dynamical system models for cognitive neural dynamics.","include","empirical","learned_one_step_state_transition","Recurrent switching linear dynamical systems are fitted to neural time series and directly evaluated for future-state and neural-activity prediction on synthetic and macaque data.","Full text, rSLDS model and Evaluation metrics: held-out R2, mean Euclidean distance, synthetic recovery, and future-state prediction on monkey decision-task recordings.","high"
"ALT-27768d84fbdd","Exposure-safety Markov modeling of ocular adverse events in patient populations treated with tisotumab vedotin.","include","empirical","fitted_multistate_dynamics","A discrete-time Markov transition model is fitted to daily ocular-event states and drug exposure from seven trials, validated by predictive checks, and used for regimen simulations.","Full text, Model development, Model evaluation, and Model application: daily state transitions, exposure effects, VPCs, and alternative-dose trajectory simulations.","high"
"ALT-a34805bc05f7","Fast-acting insulin aspart (Fiasp®) improves glycemic outcomes when used with MiniMed","exclude","not_applicable","no_learned_transition","The study runs a pre-existing virtual-patient simulator and closed-loop algorithm after matching fixed pharmacokinetic profiles; it does not learn or adapt the glucose transition from observed patient trajectories.","Primary article, Methods: 7,485 existing virtual patients were assigned one of 67 PK profiles and simulated for 90 days; clinical data were used only for comparison.","high"
"ALT-0cdd85000e2e","Forecasting Alzheimer’s Disease Progression via Identity-preserved Denoising Diffusion Generative Adversarial Network","include","empirical","learned_multistep_dynamics","IP-DDGAN learns subject-conditioned longitudinal MRI transitions and directly evaluates generated future scans for identity preservation, morphology, image fidelity, and disease-stage progression.","Primary preprint, Method and Results: metadata-guided diffusion-GAN forecasting of longitudinal ADNI MRI with multi-horizon image and phenotype evaluation.","high"
"ALT-4dc856a87102","From mechanistic models to artificial intelligence: exploring the potential of digital twins in geriatric oncology.","exclude","not_applicable","no_learned_transition","The article combines a broad literature discussion with a synthetic frailty/Markov-decision case study; no transition model is learned or adapted from observed patient trajectories and operationally validated.","Full text sections: Literature review; Synthetic data generation; Frailty transitions; Markov decision process framework; simulated case-study Results.","high"
"ALT-f7ef75a1f217","From virtual to reality: innovative practices of digital twins in tumor therapy.","exclude","not_applicable","review_scope_too_broad","The scoping review spans imaging, diagnosis, surgery, microenvironment analysis, drug development, prognosis, and decisions; learned transition and rollout evidence is not the dominant organizing category.","Full text sections: Data sources; AI algorithms; Diagnosis; Surgical planning; Drug development and virtual trials; Prognosis; Treatment decision-making.","high"
"ALT-056bf65776d0","Generating whole-brain neural activity and behavior through unified latent dynamics","include","empirical","learned_multistep_dynamics","NEBULA learns shared neural-behavioral latent transitions from whole-brain recordings, evaluates long-horizon free generation, and performs targeted perturbation and steering interventions.","Primary preprint, Results: C. elegans whole-brain and behavior generation, transition-point perturbations, and controlled state steering without retraining.","high"
"ALT-d95710ea0760","Generative ""Medical Time Travel"" Simulators for Disease Progression Forecasting","exclude","not_applicable","insufficient_primary_evidence","The indexed conference title suggests temporal generation, but no stable abstract or full methods/results source was available to verify the learned transition, clinical data, or trajectory evaluation.","IEEE DOI and Crossref metadata: bibliographic registration only; no inspectable primary evidence supporting full extraction.","high"
"ALT-49858f3d90ed","Generative modeling of clinical time series via latent stochastic differential equations.","include","empirical","learned_multistep_dynamics","A latent neural SDE learns controlled stochastic clinical transitions and directly evaluates probabilistic rollout and uncertainty calibration on simulated PK/PD, glucose, and real ICU trajectories.","Primary article abstract and methods: variational state estimation, modality-specific emissions, and comparisons with latent ODE, CDE, and LSTM baselines.","high"
"ALT-0b099473166d","Graph Representation Forecasting of Patient's Medical Conditions: Toward a Digital Twin.","exclude","not_applicable","no_operational_dynamics_evaluation","The GNN/GAN framework is demonstrated only on two simulated clinical case studies and synthetic multiscale inputs; no learned transition is evaluated against observed longitudinal patient states.","Full text, Methods and Results: simulated organ/tissue/cellular cases, endpoint forecasting, and transcriptomic proof of concept without real longitudinal validation.","high"
"ALT-77e8f9271a36","Hierarchical Bayesian modelling of disease progression to inform clinical trial design in centronuclear myopathy.","include","empirical","fitted_personalized_dynamics","A hierarchical Bayesian transition is fitted to each patient's natural-history FEV1 trajectory, then untreated futures are simulated and prospectively compared with observed post-treatment outcomes.","Full text, Statistical model and Results: four-year natural history, posterior untreated trajectories, responder criterion, type-I-error calibration, and trial-power assessment.","high"
"ALT-11ca23d625dd","How to improve statistical power in a trial with SCA2 patients using natural history data.","include","empirical","learned_one_step_state_transition","Disease Course Mapping learns natural-history progression and forecasts one-year SARA change; the predicted transition is operationally tested in trial estimators and sample-size reduction analyses.","Full text, Methods and Results: external natural-history training, one-year prognostic scores, ATRIL trial application, variance comparison, and power calculations.","high"
"ALT-d527b2b5e8f4","Human Digital Twin for Personalized Elderly Type 2 Diabetes Management.","exclude","not_applicable","source_policy_excluded","The article is published in an MDPI journal, which is excluded by the active literature source policy; it is not retained despite reporting an adaptive control simulation.","PMC full text and DOI identify Journal of Clinical Medicine as the venue; the system combines mathematical models, deep learning, and learning-based MPC.","high"
"ALT-cf089f5a91f0","Hybrid deep learning-mechanistic modeling of cellular dynamics from a spatiotemporal single-cell atlas.","include","empirical","learned_multistep_dynamics","A VAE-neural-ODE learns continuous cell-state transitions and provides trajectories used to fit an interpretable regulatory model; short-term forecasts and gene-pair perturbations are directly evaluated.","Primary preprint, Methods and Results: latent neural-ODE reconstruction of six developmental time points, held-out prediction, and mechanistic coupling perturbations.","high"
"ALT-ad2c2c11044d","Inferring Trajectories of Psychotic Disorders Using Dynamic Causal Modeling.","include","empirical","fitted_latent_dynamics","A hierarchical dynamic causal model is fitted to four years of dense symptom time series, reconstructs latent psychosis-course transitions, and is evaluated through parameter-recovery and held-out pattern classification.","Full text, Model and Validation: nine empirical patients, simulated-subject parameter recovery, PEB course-pattern estimation, and leave-one-out comparisons.","high"
"ALT-d3993e000d34","Integrated Longitudinal Population Dose-Hemoglobin Response of Daprodustat Following Dose Titration in Patients With Anemia in Chronic Kidney Disease.","include","empirical","fitted_action_response_dynamics","A population dose-response transition with precursor and red-cell transit compartments is fitted to 53,535 longitudinal observations and evaluated by titration-based predictive checks.","Full text, Model development and Evaluation: five Phase III studies, dose-driven production-rate dynamics, dialysis-dependent progression, and observed-versus-simulated hemoglobin trajectories.","high"
"ALT-8e4690fb56cd","Interpretable learning of temporal cellular dynamics from single-cell data.","include","empirical","learned_biological_dynamics","NeuroVelo learns a nonlinear neural-ODE transition in an optimized latent space and directly evaluates cell-type transitions and gene-regulatory dynamics across benchmark single-cell datasets.","Full text, Method and Benchmark Results: optimal projection plus neural ODE, transition reconstruction, regulatory-network recovery, and comparisons with RNA-velocity methods.","high"
"ALT-6b7467bd30eb","Is San Diego California on Track to Reach HCV Elimination? A Modeling Analysis of Combination Prevention Strategies.","exclude","not_applicable","source_policy_excluded","The article is published in an MDPI journal, which is excluded by the active literature source policy; its transition is also a pre-specified deterministic epidemic model calibrated to aggregate data.","PMC full text and DOI identify Viruses as the venue; Methods adapt and calibrate a deterministic HCV transmission and progression model.","high"
"ALT-6a64d732fb1e","Koopman-based linearization of preparatory EEG dynamics in Parkinson's disease during galvanic vestibular stimulation.","include","empirical","action_conditioned_closed_loop_control","A deep Koopman operator learns EEG state transitions from patient recordings, predicts preparatory trajectories under stimulation, and supports simulated LQR steering toward healthy dynamics.","Full text, Methods and Results: PD and control EEG under sham and two GVS conditions, eigenanalysis, trajectory fit, motor correlations, and LQR control.","high"
"ALT-1989194480f7","Latent process model of the 6-minute walk test in Duchenne muscular dystrophy : A Bayesian approach to quantifying rare disease progression.","include","empirical","fitted_multistep_dynamics","A Bayesian nonlinear mixed-effects latent process is fitted to longitudinal 6-minute-walk data, evaluates population variability, and supports posterior simulation of complete disease trajectories.","Primary article, Model and Results: 218 Duchenne patients plus controls, full Bayesian estimation, age-dependent rise and decline, and posterior simulation use.","medium"
"ALT-d03766bf85b3","Learning Covariate Relations in Disease Progression Models Using Symbolic Neural Networks.","include","empirical","learned_multistate_dynamics","Symbolic neural networks jointly learn patient-covariate effects and Markov transition parameters from type 2 diabetes progression observations, with predictive performance compared against a manually developed model.","Full text, Method and Application: joint symbolic-function and transition fitting, pruning to readable covariate relations, and diabetes prediction comparison.","high"
"ALT-ea4b3285b2fe","Learning Temporal Basis Vectors for Closed-Loop Neural Stimulation.","include","empirical","action_conditioned_closed_loop_control","The temporal-basis model learns stimulation-conditioned neural transitions from primate recordings, forecasts responses, and is operationally evaluated in simulated model-predictive closed-loop control.","Primary article abstract and methods: 40 micro-ECoG sessions, past activity plus stimulation inputs, baseline comparisons, and two closed-loop shaping experiments.","high"
"ALT-792483034b08","LNODE: Uncovering the Latent Dynamics of A β in Alzheimer's Disease.","include","empirical","fitted_multistep_dynamics","LNODE fits subject- and cohort-level latent ODE transitions to regional amyloid-PET trajectories and directly evaluates longitudinal fit and progression subtypes.","Full text, Model and Results: 585 ADNI subjects, joint parameter inversion, regional normal/abnormal amyloid states, latent mechanisms, and trajectory R-squared.","high"
"ALT-7109e80d2138","Longitudinal Synthetic Data Generation by Artificial Intelligence to Accelerate Clinical and Translational Research in Breast Cancer.","exclude","not_applicable","generative_augmentation_only","The generative models are evaluated for synthetic-data fidelity, privacy, and downstream utility; they do not directly evaluate a learned transition through future-state forecasting, recursive rollout, or action response.","Full text, SAFE evaluation and three settings: synthetic i2b2 integration, downstream multistate modeling, and synthetic trial-control replication.","high"
"ALT-d6abe9c98cda","Mapping the future of medicine through digital twins.","exclude","not_applicable","review_scope_too_broad","The focused survey spans general health systems, cardiology, oncology, and mental health at a conceptual level; learned or adapted dynamics with direct rollout evidence are not a central evidence category.","Full text sections: What are digital twins; applications in general health, heart, oncology, and mental health; challenges and future directions.","high"
"ALT-e928d3e6cc41","Maximizing Knowledge Extraction From Patient-Reported Outcome Data Using Exposure-Outcome Item Response Modeling Approach: Understanding Efavirenz-Induced Central Nervous System Toxicity.","include","empirical","fitted_action_response_dynamics","A longitudinal item-response transition is fitted to repeated neuropsychiatric symptoms and efavirenz exposure, then used to simulate symptom trajectories under alternative dosing.","Primary article abstract and model description: 4,136 observations, latent impairment progression, drug effect, model fit, and 400-mg symptom simulations.","medium"
"ALT-6d957ad1c16c","Med-Real2Sim: Non-Invasive Medical Digital Twins using Physics-Informed Self-Supervised Learning and Virtual Patient Breathing Simulator using VR","exclude","not_applicable","duplicate_publication","The DOI record reproduces and extends the title of the earlier complete Med-Real2Sim preprint without a separately auditable methods contribution; the stable original lineage should be retained instead.","Lineage check: the core work is available as arXiv:2403.11718, while the 2026 low-signal DOI adds a VR phrase but exposes no separate stable methods/results text.","high"
"ALT-467729658e57","Medical digital twin insights: Enhancing cancer treatment through generative modeling.","exclude","not_applicable","review_scope_too_broad","The article gives a high-level narrative of generative twins in cancer but no reproducible review method or central evidence synthesis of learned transitions and operational dynamics evaluations.","Publisher abstract: general claims about multimodal data, tumor behavior, treatment simulation, efficacy, and toxicity without a searchable evidence-selection protocol.","high"
