audit_id,route,title,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,adjudication_rationale
ALT-6236c0921f50,fresh_alternate_public_search,Application of Hidden Markov Model to Identify Disease Progression Process in Medical Research,exclude,review,review_not_primary,Describes hidden Markov disease progression methodology; does not report a separately extractable primary dynamics study.,exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a complete primary empirical evaluation sufficient to verify eligible dynamics and results.,,,,
ALT-7c5ab8c52279,fresh_alternate_public_search,"Artificial Intelligence, LLM-based generation of synthetic patients with Parkinson’s Disease: towards a digital twin paradigm for in silico studies",include,empirical,include_empirical,Fine-tunes an LLM to generate longitudinal Parkinson records; tests trajectory fidelity and downstream in-silico trial utility.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-e86bc8b02c40,fresh_alternate_public_search,Building digital twins of the human immune system: toward a roadmap.,exclude,review,review_not_primary,Outlines a roadmap for immune digital twins; does not substantially synthesize learned transition evaluations.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,,,,
ALT-744dce1205a8,fresh_alternate_public_search,Challenges of Digital Twin in healthcare,exclude,review,review_not_primary,Surveys general healthcare digital-twin challenges; learned medical dynamics are not a central evidence category.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-3062c794c4e1,fresh_alternate_public_search,Current progress of digital twin construction using medical imaging.,include,review,include_review,Reviews imaging-based construction of dynamic medical twins; synthesizes simulation prediction and treatment-planning methods.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",,,,
ALT-9a315a53cb0a,fresh_alternate_public_search,Design of high-performance digital twins to enhance magnetic resonance imaging patient positioning,exclude,empirical,no_learned_dynamics,Builds a geometric MRI positioning twin; does not establish learned temporal medical-state transitions.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-beb122ebb1f2,fresh_alternate_public_search,Development of the simulation-based German albuminuria screening model (S-GASM) for estimating the cost-effectiveness of albuminuria screening in Germany.,exclude,empirical,no_learned_dynamics,Uses an evidence-parameterized kidney screening simulator; compares screening scenarios without fitted transition dynamics.,exclude,not_applicable,no_learned_dynamics,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",,,,
ALT-66d2637db7d6,fresh_alternate_public_search,Digital doppelgangers in psychiatry.,exclude,review,review_not_primary,Offers a conceptual psychiatry digital-doppelganger perspective; does not synthesize evaluated learned patient simulators.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",,,,
ALT-d9b3b5b61cb1,fresh_alternate_public_search,Digital Representation of Patients as Medical Digital Twins: Data-Centric Viewpoint.,exclude,review,review_not_primary,Proposes a data architecture for patient representations; does not review learned dynamic simulation evidence centrally.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",,,,
ALT-14a9bd382609,fresh_alternate_public_search,Digital Twin Brain Simulator: Harnessing Primate ECoG Data for Real-Time Consciousness Monitoring and Virtual Intervention,exclude,empirical,duplicate_publication,Reports the same ECoG digital-twin simulator as row 51; superseded by the complete peer-reviewed article.,exclude,not_applicable,duplicate_publication,This is an earlier or less complete publication version of the retained study.,,,,
ALT-8fec1f0f96e5,fresh_alternate_public_search,Digital Twin in Health Care,exclude,review,review_not_primary,Provides a general healthcare digital-twin chapter; learned transition systems are not verifiably central.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-648756a83407,fresh_alternate_public_search,Digital twin technology for better health,exclude,review,review_not_primary,Provides a broad digital-twin health overview; does not centrally synthesize learned rollout systems.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-cd8ead69e7e8,fresh_alternate_public_search,Digital twins and digital models of the human circulatory system.,exclude,review,review_not_primary,Reviews circulatory digital models across mechanistic scales; learned transition evaluation is not a central evidence category.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,,,,
ALT-19924e20f5f0,fresh_alternate_public_search,Digital twins as global learning health and disease models for preventive and personalized medicine.,exclude,review,review_not_primary,Presents a broad vision for learning health digital twins; does not substantially synthesize evaluated learned dynamics.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,,,,
ALT-36f6d95f9f66,fresh_alternate_public_search,Digital Twins as the Implementation Layer of Precision Medicine in Pediatric Neurosurgery.,exclude,review,review_not_primary,Narratively outlines pediatric neurosurgery twin architecture; evidence on learned dynamic simulators is not central.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",,,,
ALT-386154555f3d,fresh_alternate_public_search,Digital Twins for Personalized Medicine Require Epidemiological Data and Mathematical Modeling: Viewpoint.,exclude,review,review_not_primary,Argues for epidemiological inputs to medical twins; provides a viewpoint rather than a dynamics evidence synthesis.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",,,,
ALT-5fbea853f1dc,fresh_alternate_public_search,"Digital Twins for Predictive, Preventive Personalized, and Participatory Treatment of Immune-Mediated Diseases.",exclude,review,review_not_primary,Discusses aspirational immune-mediated disease twins; does not substantially review evaluated learned transition systems.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,,,,
ALT-1d78c0c833ef,fresh_alternate_public_search,Digital twins in urology: a vision for the future of urological practice.,exclude,review,review_not_primary,Presents a future-oriented urology digital-twin vision; learned dynamic simulator evidence is not substantially synthesized.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,,,,
ALT-2ff62462ed4f,fresh_alternate_public_search,Digital Twins: From Personalised Medicine to Precision Public Health.,exclude,review,review_not_primary,Provides a general medicine and public-health twin overview; learned medical transition systems are not central.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",,,,
ALT-6557539979ea,fresh_alternate_public_search,Digital-twin Healthcare: A Gateway to Future Medicine (Preprint),exclude,review,review_not_primary,Broadly reviews digital-twin healthcare opportunities; does not centrally synthesize operational learned dynamics.,exclude,not_applicable,duplicate_publication,This is an earlier or less complete publication version of the retained study.,,,,
ALT-38a784f6d7ac,fresh_alternate_public_search,Disease progression simulation via generative AI: assessing the credibility of a conditional longitudinal autoencoder via a case study in Alzheimer’s Disease,uncertain,uncertain,inaccessible_full_text,Title indicates a conditional longitudinal Alzheimer simulator; credibility methods and rollout results could not be verified.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-436d568a61b6,fresh_alternate_public_search,"Drug Development Digital Twins for Drug Discovery, Testing and Repurposing: A Schema for Requirements and Development.",exclude,review,review_not_primary,Proposes requirements for drug-development digital twins; does not report or substantially synthesize learned dynamics evaluations.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",,,,
ALT-4d8c92d03168,fresh_alternate_public_search,DYNAMIC CLASSIFICATION OF LATENT DISEASE PROGRESSION WITH AUXILIARY SURROGATE LABELS.,exclude,empirical,no_future_or_action_evaluation,Fits latent disease states for dynamic classification; evaluates classification rather than future trajectories or actions.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",,,,
ALT-95ce497fab31,fresh_alternate_public_search,EE221 ECONOMIC IMPACT OF AN AI-ENABLED DIGITAL TWIN INTERVENTION IN TYPE 2 DIABETES,uncertain,uncertain,inaccessible_full_text,Conference title reports economic effects of a diabetes twin; no stable full methods and results text was accessible.,exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a complete primary empirical evaluation sufficient to verify eligible dynamics and results.,,,,
ALT-48d786c52a2b,fresh_alternate_public_search,Foot digital twin and in silico clinical applications,exclude,review,review_not_primary,Reviews foot digital twins and in-silico applications; learned temporal dynamics are not verifiably central.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-d0134a879a2c,fresh_alternate_public_search,From digital twins to clinically trustworthy twins: a clinical-claim-based validation framework for personalized digital health.,exclude,review,review_not_primary,Proposes a claim-based validation perspective; does not substantially synthesize learned simulator studies.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",,,,
ALT-4dc856a87102,fresh_alternate_public_search,From mechanistic models to artificial intelligence: exploring the potential of digital twins in geriatric oncology.,exclude,review,review_not_primary,Surveys hybrid twins and gives a synthetic case study; no observed-data learned dynamics evaluation is established.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,,,,
ALT-ae68eb54e309,fresh_alternate_public_search,Frontoparietal network activity during model-based reinforcement learning updates is reduced among adolescents with severe sexual abuse.,exclude,empirical,no_future_or_action_evaluation,Fits reinforcement-learning behavior in trauma-exposed adolescents; does not evaluate patient-state trajectories or interventions.,exclude,not_applicable,wrong_domain,The modeled system is outside the review’s substantive medical or biomedical scope.,,,,
ALT-056bf65776d0,fresh_alternate_public_search,Generating whole-brain neural activity and behavior through unified latent dynamics,include,empirical,include_empirical,Learns joint whole-brain and behavior dynamics in C. elegans; tests long-horizon generation and targeted in-silico interventions.,exclude,not_applicable,wrong_domain,The modeled system is outside the review’s substantive medical or biomedical scope.,,,,
ALT-d95710ea0760,fresh_alternate_public_search,"Generative ""Medical Time Travel"" Simulators for Disease Progression Forecasting",uncertain,uncertain,inaccessible_full_text,Indexed title suggests generative disease-progression simulators; primary methods and trajectory results were not accessible.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-e36be08e8db3,fresh_alternate_public_search,Generative morphodynamic forecasting enables robust zero-shot volumetric medical segmentation.,exclude,empirical,no_future_or_action_evaluation,Forecasts morphology to support volumetric segmentation; primary evaluation is segmentation rather than temporal patient dynamics.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-1a4671bd7258,fresh_alternate_public_search,Graph representation forecasting of patient’s medical conditions: towards a digital twin,exclude,empirical,duplicate_publication,Reports the same graph digital-twin study as row 92; superseded by the peer-reviewed journal version.,exclude,not_applicable,duplicate_publication,This is an earlier or less complete publication version of the retained study.,,,,
ALT-f7c03f16c952,fresh_alternate_public_search,Healthcare cyberspace: medical cyber physical system in digital twin,exclude,review,review_not_primary,Provides a medical cyber-physical systems chapter; learned transition evidence is not verifiably central.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-d527b2b5e8f4,fresh_alternate_public_search,Human Digital Twin for Personalized Elderly Type 2 Diabetes Management.,include,empirical,include_empirical,Learns an adaptive elderly diabetes patient model; tests forecasting and model-predictive insulin control in patients.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-3ab5d5dbce77,fresh_alternate_public_search,IDDF2023-ABS-0192 Multi-omics landscape of disease progression characterized by an interpretable multimodal model vec3d,exclude,not_applicable,no_primary_empirical_evaluation,Conference abstract title suggests a multimodal progression model; insufficient methods and results establish operational dynamics evaluation.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-d03766bf85b3,fresh_alternate_public_search,Learning Covariate Relations in Disease Progression Models Using Symbolic Neural Networks.,include,empirical,include_empirical,Learns covariate-dependent Markov disease transitions; tests predictive fit and interpretable progression relations.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-7109e80d2138,fresh_alternate_public_search,Longitudinal Synthetic Data Generation by Artificial Intelligence to Accelerate Clinical and Translational Research in Breast Cancer.,exclude,empirical,no_future_or_action_evaluation,Generates synthetic longitudinal breast-cancer records; evaluates data fidelity and utility without direct dynamics rollouts.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-6d957ad1c16c,fresh_alternate_public_search,Med-Real2Sim: Non-Invasive Medical Digital Twins using Physics-Informed Self-Supervised Learning and Virtual Patient Breathing Simulator using VR,include,empirical,include_empirical,Infers patient hemodynamic twin parameters from noninvasive data; tests disease detection and in-silico intervention trials.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-e1af18d97abc,fresh_alternate_public_search,Medical digital twins: enabling precision medicine and medical artificial intelligence.,exclude,review,review_not_primary,Defines medical digital-twin components and policy issues; does not substantially synthesize learned dynamics evidence.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",,,,
ALT-e81d9308267a,fresh_alternate_public_search,Medical sensor network and machine learning-enabled digital twins for diagnostic and therapeutic purposes,exclude,review,review_not_primary,Describes sensor and machine-learning twin technologies; operational learned dynamics evidence is not verifiably central.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-654a209caf98,fresh_alternate_public_search,Model-informed Clinical Trial Design for Autosomal Dominant Tubulointerstitial Kidney Disease: Integrating Disease Progression and Trial Simulation,exclude,empirical,duplicate_publication,Reports the ADTKD progression and trial-simulation work; superseded by the complete journal article in row 27.,exclude,not_applicable,duplicate_publication,This is an earlier or less complete publication version of the retained study.,,,,
ALT-95bfe14c6a9e,fresh_alternate_public_search,"Modeling and Remodeling the Cell: How Digital Twins and HCMV Can Elucidate the Complex Interactions of Viral Latency, Epigenetic Regulation, and Immune Responses.",exclude,review,review_not_primary,Discusses immune digital twins for HCMV biology; learned transition systems are not a central synthesized category.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,,,,
ALT-bf194e895160,fresh_alternate_public_search,Modeling Disease Progression with Generative Time Series Models: A New Approach to Complex Disease Trajectories,uncertain,uncertain,inaccessible_full_text,Title suggests a generative disease-trajectory methods chapter; primary content was unavailable to verify review eligibility.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-48f2148b8918,fresh_alternate_public_search,Modeling neural coding in the auditory midbrain with high resolution and accuracy,exclude,empirical,duplicate_publication,Reports the same ICNet auditory dynamics study as row 122; superseded by the peer-reviewed journal article.,exclude,not_applicable,duplicate_publication,This is an earlier or less complete publication version of the retained study.,,,,
ALT-87a660788a1b,fresh_alternate_public_search,Multiscale mathematical model-informed reinforcement learning optimizes combination treatment scheduling in glioblastoma evolution.,exclude,empirical,no_learned_dynamics,Learns a surrogate only from a hand-built tumor simulator; treatment planning is not grounded in observed-data transition learning.,exclude,not_applicable,no_learned_dynamics,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",,,,
ALT-a5b2a549c79e,fresh_alternate_public_search,Neurobiologically realistic neural network enables cross-scale modeling of neural dynamics.,include,empirical,include_empirical,Learns cross-scale neural population dynamics; tests reconstruction and prediction of synchronous activity.,exclude,not_applicable,no_learned_dynamics,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",,,,
ALT-ae6a889ecec3,fresh_alternate_public_search,Operations (Management) Warp Speed: Parsimonious Design for Rapid Deployment of Hospital Prediction and Decision Support Framework during a Pandemic,include,empirical,include_empirical,Fits hospital disease-progression and patient-flow dynamics; evaluates forecasts and operational decisions during a pandemic.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-9944b3605899,fresh_alternate_public_search,"Personalised digital twin models for Trypanosoma cruzi : improving prognosis, therapy, and long-term complications",uncertain,uncertain,inaccessible_full_text,Title indicates personalized Chagas disease digital twins; methods results and article type could not be verified.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-4641ca006956,fresh_alternate_public_search,Physiological Vital Time Series Forecasting using Fractional Calculus and Deep Neural Network,include,empirical,include_empirical,Learns multistep vital-sign dynamics with deep networks; evaluates 7- to 30-minute physiological trajectories.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-e55bda8afb75,fresh_alternate_public_search,Physiology-based patient simulator for blood pressure meter testing,exclude,empirical,no_learned_dynamics,Uses a physiology-based blood-pressure simulator; does not establish data-fitted transition dynamics.,exclude,not_applicable,no_learned_dynamics,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",,,,
ALT-bad670da34b0,fresh_alternate_public_search,Potential applications of digital twin in medical care,exclude,review,review_not_primary,Provides a broad medical digital-twin applications chapter; learned dynamics evidence is not verifiably central.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-8dac0de7b939,fresh_alternate_public_search,Potential of Interactive VR and Digital Twin for Drug Development and Clinical Trials,exclude,review,review_not_primary,Discusses VR and digital twins for trials; does not substantially synthesize learned transition evaluations.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-de9f081824cc,fresh_alternate_public_search,Predicting breast cancer treatment response and prognosis using AI-based image classification.,exclude,empirical,no_future_or_action_evaluation,Uses sequence features for treatment-response classification; does not directly evaluate evolving patient-state rollouts.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-1db15c9cac24,fresh_alternate_public_search,Predicting Liver Disease Progression Using Timeseries Random Forest Modeling for Early Intervention and Risk Assessment,uncertain,uncertain,inaccessible_full_text,Title suggests time-series liver progression prediction; no stable primary methods and results text was accessible.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-3c5208bdbe14,fresh_alternate_public_search,Progression of type 1 diabetes from latency to symptomatic disease is predicted by distinct autoimmune trajectories.,include,empirical,include_empirical,Fits continuous-time latent diabetes autoimmunity transitions; validates distinct future progression trajectories and onset risk.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-daa53240ed85,fresh_alternate_public_search,Quantifying Genetic and Environmental Factors Accounting for Multistage Progression of Precancerous Lesions and Oral Cancer: Applications to Risk-Guided Prevention.,include,empirical,include_empirical,Calibrates multistate oral-cancer progression risks; simulates screening and prevention trajectories by risk group.,exclude,not_applicable,no_learned_dynamics,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",,,,
ALT-8c0d38af637d,fresh_alternate_public_search,Quantifying Uncertainty in Alzheimer’s Disease Progression Modelling: A Variational Disease Progression Score Framework,exclude,empirical,no_future_or_action_evaluation,Learns a latent Alzheimer progression score and uncertainty; evaluates staging rather than future-state or intervention rollouts.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-86ecd04e07f7,fresh_alternate_public_search,Risk Factor Identification in Heterogeneous Disease Progression with L1-Regularized Multi-state Models.,include,empirical,include_empirical,Fits regularized multistate disease transitions; evaluates transition-probability prediction on clinical data.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-0f23277c8ef6,fresh_alternate_public_search,Role of Digital Twin Technology in Medical Sector—Toward Ensuring Safe Healthcare,exclude,review,review_not_primary,Provides a general medical digital-twin safety chapter; learned transition systems are not verifiably central.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-a5e6fa903faf,fresh_alternate_public_search,s-SuStaIn: Scaling subtype and stage inference via simultaneous clustering of subjects and biomarkers.,exclude,empirical,no_future_or_action_evaluation,Infers disease subtypes and stages mainly from cross-sectional data; evaluates staging and incidence rather than dynamic rollouts.,exclude,not_applicable,no_future_or_action_evaluation,"The study evaluates classification, staging, synthetic augmentation, or isolated prediction rather than operational state dynamics.",,,,
ALT-497c77ec105e,fresh_alternate_public_search,Simulating the outcome of a clinical intervention from a data‐driven model of Alzheimer's disease progression,exclude,empirical,duplicate_publication,Presents an abstract of the SimulAD intervention study; superseded by the complete article in row 157.,exclude,not_applicable,duplicate_publication,This is an earlier or less complete publication version of the retained study.,,,,
ALT-8ea9085176e4,fresh_alternate_public_search,Simulation of the COVID-19 pandemic on the social network of Slovenia: estimating the intrinsic forecast uncertainty,exclude,empirical,duplicate_publication,Reports the preprint version of row 159; superseded by the peer-reviewed journal article.,exclude,not_applicable,duplicate_publication,This is an earlier or less complete publication version of the retained study.,,,,
ALT-f4f9d23282a9,fresh_alternate_public_search,Surrogate modeling and control of medical digital twins.,exclude,empirical,no_learned_dynamics,Learns a surrogate from a hand-specified biomedical agent model; control evaluation lacks observed-data transition learning.,exclude,not_applicable,no_learned_dynamics,"The simulator is mechanistic, economic, or surrogate-based without a data-fitted transition component meeting the rubric.",,,,
ALT-b3e7bbcf7025,fresh_alternate_public_search,Temporal Generative Models for Longitudinal Study of Disease Progression Patterns,uncertain,uncertain,inaccessible_full_text,Title suggests temporal generative disease-progression models; primary methods data and evaluations were inaccessible.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
ALT-67acfccd7966,fresh_alternate_public_search,"The Era of Preemptive Medicine: Developing Medical Digital Twins through Omics, IoT, and AI Integration.",exclude,review,review_not_primary,Presents a preemptive-medicine digital-twin vision; does not substantially synthesize evaluated learned dynamics.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",,,,
ALT-75ede1e4486d,fresh_alternate_public_search,The Potential of Digital Twins for Pediatric Rare Diseases.,exclude,review,review_not_primary,Discusses potential pediatric rare-disease twins; provides a perspective rather than central evidence synthesis.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,,,,
ALT-7371d6ebce00,fresh_alternate_public_search,Toward mechanistic medical digital twins: some use cases in immunology.,exclude,review,review_not_primary,Summarizes mechanistic immune-twin use cases from a forum; does not centrally synthesize learned transition systems.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,,,,
ALT-d81426ebf4f9,fresh_alternate_public_search,"Towards a multi-organ, multi-omics medical digital twin.",exclude,review,review_not_primary,Offers a short multi-organ multi-omics twin perspective; does not provide substantial learned-dynamics evidence synthesis.,uncertain,uncertain,inaccessible_full_text,"A relevant title was located, but stable primary text with extractable methods and results was not available for a defensible decision.",,,,
