audit_id,route,title,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
ALT-99717b78a904,fresh_alternate_public_search,"AI-powered in silico twins: redefining precision medicine through simulation, personalization, and predictive healthcare.",include,review,include_review,Reviews AI-augmented patient twins and dynamic simulation architectures; synthesizes treatment-response prediction and optimization uses.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,include,review,include_review,reviewer_consensus,A: Reviews AI-augmented patient twins and dynamic simulation architectures; synthesizes treatment-response prediction and optimization uses. B: Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.
ALT-f6449fe2d40f,fresh_alternate_public_search,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,include,empirical,include_empirical,Learns coupled renal and cardiovascular latent states; tests AKI trajectories blood-pressure forecasts and vasopressor counterfactuals.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns coupled renal and cardiovascular latent states; tests AKI trajectories blood-pressure forecasts and vasopressor counterfactuals. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-db944a487acf,fresh_alternate_public_search,ARE-GAN: Adaptive Regression and ROI-Enhanced Generative Adversarial Network for Alzheimer Disease Progression Prediction,include,empirical,include_empirical,Learns conditional future MRI progression with ARE-GAN; compares generated scans and future disease-stage predictions.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns conditional future MRI progression with ARE-GAN; compares generated scans and future disease-stage predictions. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-4ebd98e25663,fresh_alternate_public_search,Automatic Interactive Evaluation for Large Language Models with State Aware Patient Simulator,include,empirical,include_empirical,Uses a learned state-aware patient dialogue simulator; validates multi-turn action-conditioned clinical interactions.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Uses a learned state-aware patient dialogue simulator; validates multi-turn action-conditioned clinical interactions. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-6fb8e7370e1e,fresh_alternate_public_search,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,include,empirical,include_empirical,Fits genotype-specific eGFR progression from natural history data; simulates trial arms endpoints and statistical power.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Fits genotype-specific eGFR progression from natural history data; simulates trial arms endpoints and statistical power. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-1dfb4e7629f9,fresh_alternate_public_search,Brain Amyloid Plaque Levels Affect Clinical Progression in Alzheimer Disease: Assessment of Amyloid PET and Change in CDR-SB Utilizing Semi-Mechanistic Model.,include,empirical,include_empirical,Fits semi-mechanistic amyloid and cognition progression dynamics; validates treatment-conditioned longitudinal CDR-SB simulations.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Fits semi-mechanistic amyloid and cognition progression dynamics; validates treatment-conditioned longitudinal CDR-SB simulations. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-ea1902cbb70e,fresh_alternate_public_search,Brain Latent Progression: Individual-based spatiotemporal disease progression on 3D Brain MRIs via latent diffusion,include,empirical,include_empirical,Learns individual 3D MRI progression with latent diffusion; compares generated follow-up scans with observed longitudinal MRI.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns individual 3D MRI progression with latent diffusion; compares generated follow-up scans with observed longitudinal MRI. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-d3411f7d184d,fresh_alternate_public_search,"CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling",include,empirical,include_empirical,Calibrates gene-regulatory and protein trajectory dynamics; validates reconstructed and generated cellular trajectories.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Calibrates gene-regulatory and protein trajectory dynamics; validates reconstructed and generated cellular trajectories. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-b82bb2551356,fresh_alternate_public_search,Cardiovascular care with digital twin technology in the era of generative artificial intelligence.,include,review,include_review,Reviews cardiovascular twins using statistical and generative dynamics; synthesizes prediction simulation and procedural planning evidence.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,include,review,include_review,reviewer_consensus,A: Reviews cardiovascular twins using statistical and generative dynamics; synthesizes prediction simulation and procedural planning evidence. B: Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.
ALT-1bbcf3252882,fresh_alternate_public_search,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics",include,empirical,include_empirical,Learns continuous-time single-cell developmental dynamics; tests simulation interpolation and future-stage forecasting.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns continuous-time single-cell developmental dynamics; tests simulation interpolation and future-stage forecasting. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-238a1a830ea0,fresh_alternate_public_search,cLDM-ODE: A Multimodal Generative Framework for Uncertainty-Aware Forecasting of Alzheimer's Disease Progression,include,empirical,include_empirical,Learns multimodal latent ODE Alzheimer progression; evaluates uncertain future biomarker and imaging trajectories.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns multimodal latent ODE Alzheimer progression; evaluates uncertain future biomarker and imaging trajectories. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-949bc7547612,fresh_alternate_public_search,Clinical-GAN: Trajectory Forecasting of Clinical Events using Transformer and Generative Adversarial Networks,include,empirical,include_empirical,Learns adversarial Transformer dynamics over clinical visits; forecasts diagnosis procedure and medication codes at later visits.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns adversarial Transformer dynamics over clinical visits; forecasts diagnosis procedure and medication codes at later visits. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-531ffbb6add3,fresh_alternate_public_search,Data-driven discovery of digital twins in biomedical research.,include,review,include_review,Reviews 177 data-driven biomedical system-discovery methods; centrally evaluates learned biological dynamic-twin approaches.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,include,review,include_review,reviewer_consensus,A: Reviews 177 data-driven biomedical system-discovery methods; centrally evaluates learned biological dynamic-twin approaches. B: Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.
ALT-61ae05403063,fresh_alternate_public_search,Data-driven Huntington's disease progression modelling and estimation of societal cost in the UK.,include,empirical,include_empirical,Fits continuous-time latent Huntington disease transitions; simulates costs and hypothetical intervention trajectories.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Fits continuous-time latent Huntington disease transitions; simulates costs and hypothetical intervention trajectories. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-57f713cb9c2e,fresh_alternate_public_search,Data-driven model discovery and model selection for noisy biological systems.,include,empirical,include_empirical,Learns missing biological dynamics with hybrid neural ODEs; tests recovered models through simulated trajectories and real systems.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns missing biological dynamics with hybrid neural ODEs; tests recovered models through simulated trajectories and real systems. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-66f6aefba9e2,fresh_alternate_public_search,Decomposing heterogeneity in disease progression speeds and pathways.,include,empirical,include_empirical,Learns patient-specific latent ALS pathways and speeds; predicts future disease course from first-visit data.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns patient-specific latent ALS pathways and speeds; predicts future disease course from first-visit data. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-cf60ad3588b1,fresh_alternate_public_search,Deep neural networks for endemic measles dynamics: Comparative analysis and integration with mechanistic models.,include,empirical,include_empirical,Learns spatial neural dynamics of endemic measles; evaluates multi-horizon outbreak forecasts against observations.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns spatial neural dynamics of endemic measles; evaluates multi-horizon outbreak forecasts against observations. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-50502bb290be,fresh_alternate_public_search,Deep recurrent model for individualized prediction of Alzheimer’s disease progression,include,empirical,include_empirical,Learns recurrent latent Alzheimer disease state; evaluates individualized multi-timepoint progression forecasts.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns recurrent latent Alzheimer disease state; evaluates individualized multi-timepoint progression forecasts. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-8b76200f7bab,fresh_alternate_public_search,Development and validation of a chronic kidney disease progression model using patient-level simulations.,include,empirical,include_empirical,Combines cohort-derived CKD risks in patient-level transitions; validates simulated complications against internal and external cohorts.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Combines cohort-derived CKD risks in patient-level transitions; validates simulated complications against internal and external cohorts. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-872c15448450,fresh_alternate_public_search,Development of a model-based clinical trial simulation platform to optimize the design of clinical trials for Duchenne muscular dystrophy.,include,empirical,include_empirical,Fits longitudinal DMD functional progression models; externally validates trajectories and clinical-trial simulations.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Fits longitudinal DMD functional progression models; externally validates trajectories and clinical-trial simulations. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-d6d9b0f712ec,fresh_alternate_public_search,Development of a Novel Machine Learning Method for Estimation of Life-Long Chronic Disease Progression and Its Application to Type 2 Diabetes.,include,empirical,include_empirical,Learns lifetime diabetes biomarker progression from fragmented records; tests reconstructed trajectories on synthetic and clinical data.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns lifetime diabetes biomarker progression from fragmented records; tests reconstructed trajectories on synthetic and clinical data. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-1305c7353fe7,fresh_alternate_public_search,Digital twin brain simulator for real-time consciousness monitoring and virtual intervention using primate electrocorticogram data,include,empirical,include_empirical,Assimilates primate ECoG into recurrent latent brain dynamics; tests real-time simulation and virtual anesthetic intervention.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Assimilates primate ECoG into recurrent latent brain dynamics; tests real-time simulation and virtual anesthetic intervention. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-f38cea90635e,fresh_alternate_public_search,Digital twin models for predicting venetoclax and azacitidine-induced neutropenia in patients with acute myeloid leukemia.,include,empirical,include_empirical,Fits patient-specific AML neutropenia dynamics under treatment; tests toxicity forecasts and continuous model updating.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Fits patient-specific AML neutropenia dynamics under treatment; tests toxicity forecasts and continuous model updating. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-0c7ca3990ee0,fresh_alternate_public_search,"Digital Twins in Neurology Care: Evidence, Limitations, and a Path Forward.",include,review,include_review,Critically reviews dynamic twin-inspired systems across neurology; synthesizes predictive evidence limitations and validation gaps.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,include,review,include_review,reviewer_consensus,A: Critically reviews dynamic twin-inspired systems across neurology; synthesizes predictive evidence limitations and validation gaps. B: Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.
ALT-b5ebc3599d50,fresh_alternate_public_search,"Digital twins in precision pharmacotherapy: emerging applications, challenges, and future directions.",include,review,include_review,Reviews PK-PD and adaptive twins for precision pharmacotherapy; synthesizes treatment-response simulation and medication optimization.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,include,review,include_review,reviewer_consensus,A: Reviews PK-PD and adaptive twins for precision pharmacotherapy; synthesizes treatment-response simulation and medication optimization. B: Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.
ALT-f58f7b29b390,fresh_alternate_public_search,Disease Modeling and External Model Evaluation Through Clinical Data Sharing Platform for HR+/HER2- Breast Cancer.,include,empirical,include_empirical,Fits longitudinal tumor-growth and survival dynamics; externally evaluates dose-group and survival predictions.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Fits longitudinal tumor-growth and survival dynamics; externally evaluates dose-group and survival predictions. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-d7f5daff27f0,fresh_alternate_public_search,DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer.,include,empirical,include_empirical,Learns sequential treatment-conditioned cancer outcome dynamics; evaluates personalized toxicity and disease-outcome predictions.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns sequential treatment-conditioned cancer outcome dynamics; evaluates personalized toxicity and disease-outcome predictions. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-531d7f078a79,fresh_alternate_public_search,EczemaPred: A computational framework for personalised prediction of eczema severity dynamics.,include,empirical,include_empirical,Fits Bayesian latent eczema severity dynamics; validates personalized future severity trajectories in two studies.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Fits Bayesian latent eczema severity dynamics; validates personalized future severity trajectories in two studies. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-5da29b0ea727,fresh_alternate_public_search,Editorial: The future of oncology: digital twins and precision cancer care.,exclude,not_applicable,no_primary_empirical_evaluation,Is an editorial on oncology digital twins; contains no primary methods and results evaluation.,exclude,not_applicable,no_primary_empirical_evaluation,The record lacks a complete primary empirical evaluation sufficient to verify eligible dynamics and results.,exclude,not_applicable,no_primary_empirical_evaluation,reviewer_consensus,A: Is an editorial on oncology digital twins; contains no primary methods and results evaluation. B: The record lacks a complete primary empirical evaluation sufficient to verify eligible dynamics and results.
ALT-daca74f7c431,fresh_alternate_public_search,"Erotic cue exposure increases physiological arousal, biases choices toward immediate rewards, and attenuates model-based reinforcement learning.",exclude,not_applicable,wrong_domain,Models reward learning in healthy participants after erotic cues; does not model a medical or biomedical health state.,exclude,not_applicable,wrong_domain,The modeled system is outside the review’s substantive medical or biomedical scope.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: Models reward learning in healthy participants after erotic cues; does not model a medical or biomedical health state. B: The modeled system is outside the review’s substantive medical or biomedical scope.
ALT-3620e85be32e,fresh_alternate_public_search,"Erotic cue exposure increases physiological arousal, biases choices towards immediate rewards and attenuates model-based reinforcement learning",exclude,not_applicable,duplicate_publication,Preprint reports the same behavioral study as row 74; superseded by the peer-reviewed journal article.,exclude,not_applicable,duplicate_publication,This is an earlier or less complete publication version of the retained study.,exclude,not_applicable,duplicate_publication,reviewer_consensus,A: Preprint reports the same behavioral study as row 74; superseded by the peer-reviewed journal article. B: This is an earlier or less complete publication version of the retained study.
ALT-75c423c80690,fresh_alternate_public_search,Exploring the suitability of piecewise-linear dynamical system models for cognitive neural dynamics.,include,empirical,include_empirical,Learns switching latent dynamics of cognitive neural activity; tests future neural-state prediction on simulated and recorded data.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns switching latent dynamics of cognitive neural activity; tests future neural-state prediction on simulated and recorded data. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-27768d84fbdd,fresh_alternate_public_search,Exposure-safety Markov modeling of ocular adverse events in patient populations treated with tisotumab vedotin.,include,empirical,include_empirical,Fits drug-exposure-dependent ocular adverse-event transitions; evaluates longitudinal severity and recovery dynamics.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Fits drug-exposure-dependent ocular adverse-event transitions; evaluates longitudinal severity and recovery dynamics. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-a34805bc05f7,fresh_alternate_public_search,Fast-acting insulin aspart (Fiasp®) improves glycemic outcomes when used with MiniMed,include,empirical,include_empirical,Adapts a diabetes virtual-patient simulator with clinical PK profiles; validates long-horizon insulin-response simulations against patients.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Adapts a diabetes virtual-patient simulator with clinical PK profiles; validates long-horizon insulin-response simulations against patients. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-ba03c9107843,fresh_alternate_public_search,Fictive Learning in Model-based Reinforcement Learning by Generalized Reward Prediction Errors,exclude,not_applicable,wrong_domain,Models fictive reinforcement learning in a rodent task; the modeled state is behavioral learning rather than health dynamics.,exclude,not_applicable,wrong_domain,The modeled system is outside the review’s substantive medical or biomedical scope.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: Models fictive reinforcement learning in a rodent task; the modeled state is behavioral learning rather than health dynamics. B: The modeled system is outside the review’s substantive medical or biomedical scope.
ALT-0cdd85000e2e,fresh_alternate_public_search,Forecasting Alzheimer’s Disease Progression via Identity-preserved Denoising Diffusion Generative Adversarial Network,include,empirical,include_empirical,Learns subject-specific longitudinal MRI generation; evaluates temporal biological fidelity and future-scan realism.,include,empirical,include_empirical,"Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation.",include,empirical,include_empirical,reviewer_consensus,"A: Learns subject-specific longitudinal MRI generation; evaluates temporal biological fidelity and future-scan realism. B: Primary methods and results establish data-adapted medical or biomedical dynamics with direct trajectory, simulator, or action-response evaluation."
ALT-f31edb288d07,fresh_alternate_public_search,Forum on immune digital twins: a meeting report.,exclude,not_applicable,no_primary_empirical_evaluation,Is a meeting report and action plan on immune twins; does not provide a primary dynamics evaluation.,exclude,not_applicable,review_not_primary,"This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators.",exclude,not_applicable,no_primary_empirical_evaluation,reviewer_consensus,"A: Is a meeting report and action plan on immune twins; does not provide a primary dynamics evaluation. B: This review, viewpoint, or meeting report does not substantially synthesize evaluated learned medical dynamic simulators."
ALT-f7ef75a1f217,fresh_alternate_public_search,From virtual to reality: innovative practices of digital twins in tumor therapy.,include,review,include_review,Systematically reviews digital twins in tumor therapy; synthesizes prediction treatment simulation and implementation evidence.,include,review,include_review,Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.,include,review,include_review,reviewer_consensus,A: Systematically reviews digital twins in tumor therapy; synthesizes prediction treatment simulation and implementation evidence. B: Substantially synthesizes medical dynamic twins or closely equivalent learned simulation systems and their evaluation.
