candidate_id,title,highest_capability_claim,state_evidence,dynamics_evidence,rollout_evidence,action_evidence,uncertainty_evidence,causal_evidence,external_evidence,decision_evidence,safety_evidence,reproducibility_evidence,free_running_rollout,horizon_resolved_results,formal_calibration,frozen_external_validation,action_agnostic_comparator,action_perturbation,explicit_causal_estimand,closed_loop_evaluation,safety_hazard_test,public_code,disagreement_fields,reviewer_a_anchors,reviewer_b_anchors,adjudication_anchors,adjudication_notes,confidence
MWM-0114,medDreamer: Model-Based Reinforcement Learning with Latent Imagination on Complex EHRs for Clinical Decision Support,planning,1,0,1,1,1,1,1,2,1,,yes,no,no,no,no,no,no,offline,no,unclear,reproducibility_evidence,Abstract and Introduction pp.1-3; Sec.3 pp.3-8; Sec.4 Tables 1-2 and Figs.2-8 pp.8-13; appendices pp.18-19,Secs.1-3 pp.1-8; Sec.4 and Tables 1-2 pp.8-13; appendices pp.18-19,,,
MWM-0125,MRI Contrast Enhancement Kinetics World Model,passive_forecasting,2,2,0,NA,0,NA,1,0,0,,no,yes,no,no,NA,NA,NA,no,no,no,reproducibility_evidence,Abstract and Sec.1 pp.1-2; Sec.3 pp.3-5; Sec.4.1 and Table 1 pp.5-7; supplementary kinetics figures pp.13-17,Abstract and Sec.1 pp.1-2; Sec.3 pp.3-5; Sec.4.1 and Table 1 pp.5-7; supplement pp.13-17,,,
MWM-0132,NeuroWorld: A Latent Brain World Model for Stimulus-Conditioned Human Brain Dynamics,passive_forecasting,2,2,2,NA,0,NA,1,0,0,1,yes,yes,no,no,NA,NA,NA,no,no,no,,Abstract p.1; Sec.III and Fig.3 pp.3-5; Sec.IV Tables I-III pp.5-8; Discussion pp.9-10,Abstract p.1; Sec.III and Fig.3 pp.3-5; Tables I-III pp.5-8; Discussion pp.9-10,Abstract p.1; Sec.III and Fig.3 pp.3-5; Sec.IV Tables I-III pp.5-8; Discussion pp.9-10,Reviewer consensus.,high
MWM-0135,Nonstationary Battery,planning,1,,,1,,NA,0,2,0,0,yes,yes,no,no,no,no,NA,simulation,no,no,dynamics_evidence;rollout_evidence;uncertainty_evidence,Zenodo draft Abstract and Sec.1; Sec.2 Tables B1-B3; Sec.4 caveats; Zenodo file/status record,Zenodo draft Secs.1-2 and Tables B1-B3; Sec.4 caveats; deposit file/status listing,,,
MWM-0136,NVIDIA Cosmos-H-Dreams: Real-Time Generative Physics Simulation for Surgical Robotics,,2,2,2,,0,NA,1,2,1,2,yes,yes,no,no,no,no,NA,simulation,yes,yes,highest_capability_claim;action_evidence,Abstract and links p.1; Secs.1-3 pp.3-5; Sec.4 pp.6-8; Secs.5-6 Tables 1-4 and Figs.3-5 pp.9-12; Limitations p.14,Abstract/access links p.1; Secs.1-4 pp.3-8; Tables 1-4 and Figs.3-5 pp.9-12; Limitations p.14,,,
MWM-0137,OcularWorldSim: A Visual World Model for Ophthalmic Microsurgery With Sim-to-Real Transfer Learning,action_conditioned,,NI,NI,NI,NI,NA,NI,,1,NI,unclear,unclear,unclear,unclear,unclear,unclear,NA,,,unclear,state_evidence;decision_evidence;closed_loop_evaluation;safety_hazard_test,IEEE Access indexed abstract; DOI 10.1109/ACCESS.2026.3684562; full text unavailable at coding cutoff,IEEE Access indexed abstract; DOI 10.1109/ACCESS.2026.3684562; full PDF retrieval blocked,,,
MWM-0138,Open-H-Embodiment: A Large-Scale Dataset for Enabling Foundation Models in Medical Robotics,action_conditioned,2,2,2,,1,NA,1,,1,2,yes,yes,no,no,no,no,NA,,yes,yes,action_evidence;decision_evidence;closed_loop_evaluation,Abstract pp.1-2; Results pp.7-9 and Table 1; C-H-S-S pp.18-22 and Fig.7; Methods pp.25-29; Data Availability p.36,Abstract pp.1-2; Results and Table 1 pp.7-9; C-H-S-S and Fig.7 pp.18-22; Methods pp.25-29; Data Availability p.36,,,
MWM-0149,Policy4OOD: A Knowledge-Guided World Model for Policy Intervention Simulation against the Opioid Overdose Crisis,planning,2,2,1,2,,0,2,1,0,,yes,yes,no,yes,yes,yes,yes,simulation,no,yes,uncertainty_evidence;reproducibility_evidence,Dataset and Table 1 pp.3-4; Method pp.5-7; Tables 2-3 pp.7-8; Figs.4-5 pp.9-10,Dataset/Table 1 pp.3-4; Method pp.5-7; Tables 2-3 pp.7-8; case studies and caveat pp.9-10,,,
MWM-0151,Progressive Experience Fusion for Multi-Task World Model Control in Endovascular Navigation,planning,,0,1,1,1,NA,1,2,1,1,yes,no,no,no,no,no,NA,real,yes,unclear,state_evidence,Abstract and Sec.II-B pp.1-3; Secs.II-C-II-F pp.3-7; Sec.II-G Tables I-IV pp.7-10; Discussion pp.10-11,Secs.II-B-II-F and Figs.1-5 pp.1-7; Sec.II-G and Tables I-IV pp.7-10; Discussion pp.10-11,,,
MWM-0154,Reinforcement Learning for Optimal Dialysis Scheduling and Resource Allocation in CKD,planning,NI,NI,NI,NI,NI,NA,NI,2,,NI,unclear,unclear,unclear,unclear,unclear,unclear,NA,simulation,yes,unclear,safety_evidence,IEEE conference indexed abstract; DOI 10.1109/IATMSI68868.2026.11465345; full text unavailable at coding cutoff,IEEE conference indexed abstract; DOI 10.1109/IATMSI68868.2026.11465345; full text unavailable,,,
MWM-0157,SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation,action_conditioned,2,,0,2,0,NA,0,,,1,no,no,no,no,yes,yes,NA,no,no,unclear,dynamics_evidence;decision_evidence;safety_evidence,Abstract p.1; Sec.2 and Fig.1 pp.2-4; Sec.3 Tables 1-2 pp.4-6; Sec.4 Table 3 pp.6-9; Conclusion p.10,Abstract p.1; Sec.2 and Fig.1 pp.2-4; Tables 1-3 pp.4-9; Conclusion p.10,,,
MWM-0164,Simulating clinical interventions with a generative multimodal model of human physiology,,2,2,0,2,1,,2,1,1,1,no,yes,no,yes,yes,yes,,,no,no,highest_capability_claim;causal_evidence;explicit_causal_estimand;closed_loop_evaluation,Claims and cohorts pp.2-4; Figs.2-4 pp.6-12; Figs.5-6 pp.14-20; Methods pp.28-33 and pp.42-49; Data/Code p.50,Claims/cohorts pp.2-4; Figs.2-6 pp.6-20; Methods pp.28-49; Data/Code Availability p.50,,,
MWM-0166,Sonata: A Hybrid World Model for Inertial Kinematics under Clinical Data Scarcity,passive_forecasting,2,1,0,NA,0,NA,2,1,0,1,no,no,no,yes,NA,NA,NA,no,no,unclear,,Abstract and Secs.1-3 pp.1-5; Sec.4 pp.5-8; Secs.5-6 Tables 2-4 pp.8-12; Appendix pp.16-18,Secs.1-3 and Table 1 pp.1-5; Sec.4 pp.5-8; Tables 2-5 pp.8-18; limitations pp.12-13,Abstract and Secs.1-3 pp.1-5; Sec.4 pp.5-8; Secs.5-6 Tables 2-4 pp.8-12; Appendix pp.16-18,Reviewer consensus.,high
MWM-0170,Surg-UniWorld: A Unified Surgical World Model with Multimodal Control Experts,action_conditioned,2,2,0,,0,NA,0,0,0,2,no,no,no,no,,yes,NA,no,no,yes,action_evidence;action_agnostic_comparator,Abstract and Secs.I-III pp.1-3; Sec.IV-V.A pp.3-7; Sec.V.B-D and Sec.VI pp.8-10,Abstract and Secs.I-III pp.1-3; Secs.IV-V and Tables II-V pp.3-10,,,
MWM-0173,Surgical WAM: A World-Action Model for Data-Efficient Surgical Robot Learning,planning,1,0,1,,0,NA,1,2,0,0,yes,yes,no,no,no,no,NA,simulation,no,unclear,action_evidence,Abstract pp.1-2; Sec.3 and Fig.2 pp.4-5; Sec.4 Tables 1-3 and Fig.3 pp.5-8; Conclusion pp.7-8,Abstract pp.1-2; Sec.3 and Fig.2 pp.4-5; Sec.4 and Tables 1-3 pp.5-8,,,
MWM-0174,SurgVista: Long-Horizon Surgical World Modeling with Plausible Instrument-Tissue Dynamics,action_conditioned,2,2,2,1,0,NA,1,0,0,0,yes,yes,no,unclear,no,,NA,no,no,no,action_perturbation,Introduction/formulation pp.1-3; Methods pp.4-6; Benchmark pp.6-7; Tables 1-5 pp.8-9,Formulation pp.1-3; Methods pp.4-6; benchmark pp.6-7; Tables 1-5 pp.8-9,,,
MWM-0175,SurgWMBench: A Vision-Based Benchmark for World-Modeling Surgical Instrument Motion Planning,,2,2,2,,0,NA,0,0,0,0,yes,yes,no,no,,,NA,no,no,unclear,highest_capability_claim;action_evidence;action_agnostic_comparator;action_perturbation,Abstract and Introduction pp.1-4; Sec.3 pp.4-5; Sec.4 Tables 1-2 pp.7-9; Appendix pp.12-15,Introduction pp.1-4; data pp.4-5; Tables 1-3 and Fig.3 pp.7-15,,,
MWM-0176,Susagi: A Microbiome World Model,passive_forecasting,1,NI,NI,NA,NI,NA,1,0,0,1,unclear,unclear,unclear,unclear,NA,NA,NA,no,no,yes,,bioRxiv/Europe PMC indexed abstract; DOI 10.64898/2026.05.07.723428; full PDF unavailable at coding cutoff,bioRxiv/Europe PMC indexed abstract; DOI 10.64898/2026.05.07.723428; full PDF retrieval blocked,bioRxiv/Europe PMC indexed abstract; DOI 10.64898/2026.05.07.723428; full PDF unavailable at coding cutoff,Reviewer consensus.,low
MWM-0177,SWoMo: Neuro-Symbolic World Model for Cataract Surgery Simulation,action_conditioned,2,,1,1,0,NA,1,1,1,2,yes,no,no,no,no,yes,NA,,no,yes,dynamics_evidence;closed_loop_evaluation,Abstract p.1; Sec.2 and Fig.2 pp.3-6; Sec.3 Tables 1-2 pp.6-8; Conclusion p.9,Abstract p.1; Sec.2 and Fig.2 pp.3-6; Tables 1-2 pp.6-8; Conclusion p.9,,,
MWM-0199,Toward Safe Autonomous Robotic Endovascular Interventions using World Models,planning,2,,1,1,0,NA,1,2,2,1,yes,no,no,no,no,no,NA,real,yes,unclear,dynamics_evidence,Methods and data pp.2-4; Tables I-II p.5; Results pp.5-6; Limitations/Safety pp.6-7,Methods pp.2-4; Tables I-II and Results pp.5-6; Limitations/Safety pp.6-7,,,
MWM-0200,Toward World Modeling of Physiological Signals with Chaos-Theoretic Balancing and Latent Dynamics,counterfactual,2,2,2,1,0,0,1,0,0,,yes,yes,no,no,no,yes,no,no,no,yes,reproducibility_evidence,Abstract p.1; Sec.3 and Table 1 pp.3-5; Secs.3.5-4 pp.5-10; Appendix Tables 4-6 pp.13-14; Table 10 p.25,Abstract p.1; Sec.3 and Table 1 pp.3-5; Figs.2-3 and Tables 2-3 pp.5-10; Appendix Tables 4-10,,,
MWM-0207,TwinRL-Onco: A World Model-Empowered Digital Twin Framework with Hierarchical Reinforcement Learning for Venetoclax Resistance Trajectory Prediction and Adaptive Therapy Optimization in Chronic Lymphocytic Leukemia.,planning,1,1,,NI,1,0,NI,1,NI,NI,unclear,,unclear,unclear,unclear,unclear,no,simulation,unclear,unclear,rollout_evidence;horizon_resolved_results,PubMed/publisher indexed abstract; PMID 42184194; DOI 10.1109/JBHI.2026.3696685; full text unavailable at coding cutoff,PubMed/publisher indexed abstract; PMID 42184194; DOI 10.1109/JBHI.2026.3696685; full text closed,,,
MWM-0215,World Model Enhanced Offline Reinforcement Learning for Sequential Intervention Optimization in Acute Kidney Injury,planning,2,1,0,1,1,1,0,2,1,0,no,no,no,no,no,no,yes,offline,yes,unclear,,Abstract p.1; Sec.3 pp.4-7; Sec.4 Tables 1-3 pp.7-10; Discussion pp.11-12; Data Availability p.13,Abstract p.1; Sec.3 pp.4-7; Tables 1-3 pp.7-10; Discussion pp.11-12; Data Availability p.13,Abstract p.1; Sec.3 pp.4-7; Sec.4 Tables 1-3 pp.7-10; Discussion pp.11-12; Data Availability p.13,Reviewer consensus.,medium
MWM-0239,CLARITY: Medical World Model for Guiding Treatment Decisions by Modeling Context-Aware Disease Trajectories in Latent Space,planning,2,1,1,1,1,0,,1,1,0,yes,no,no,yes,no,no,no,offline,no,no,external_evidence,Methods/rollout pp.5-10; datasets p.10; Tables 1-6 and Figs.5-6 pp.11-15; Appendix pp.19-24,Methods/rollout pp.5-10; datasets p.10; Tables 1-6 and Figs.5-6 pp.11-15; Appendix pp.19-24,,,
MWM-0242,EchoWorld: Learning Motion-Aware World Models for Echocardiography Probe Guidance,,1,1,0,2,0,NA,0,1,0,1,no,no,no,no,yes,yes,NA,offline,no,yes,highest_capability_claim,Abstract p.1; Secs.3-4 and Fig.4 pp.3-6; Sec.5 Tables 1-3 pp.6-8; supplement pp.12-14,Abstract p.1; Secs.3-4 and Fig.4 pp.3-6; Tables 1-3 pp.6-8; supplement pp.12-14,,,
MWM-0261,Learning Emotional Dynamics: A World Model Approach,counterfactual,2,2,2,0,0,0,0,0,0,2,yes,yes,no,no,no,no,no,no,no,yes,,Abstract and Secs.2.4-4.2 pp.1 and 4-8; Secs.4.4-4.8 pp.12-19; Secs.5.2-6 pp.22-23; code p.32,Abstract and Secs.2.4-4.2 pp.1-8; Tables 2-3 and Figs.6-13 pp.12-19; Secs.5.2-6 pp.22-23,Abstract and Secs.2.4-4.2 pp.1 and 4-8; Secs.4.4-4.8 pp.12-19; Secs.5.2-6 pp.22-23; code p.32,Reviewer consensus.,medium
MWM-0263,Medical World Model,,2,1,0,1,1,0,1,1,1,1,no,no,no,no,no,,yes,offline,no,yes,highest_capability_claim;action_perturbation,Abstract and Fig.1 p.1; Sec.3 Figs.2-3 and Algorithm 1 pp.3-6; Sec.4 Tables 1-3 and Figs.4-7 pp.6-8,Abstract/Fig.1 p.1; Sec.3 and Figs.2-3 pp.3-6; Tables 1-3 and Figs.4-7 pp.6-8,,,
MWM-0290,X-WIN: Building Chest Radiograph World Model via Predictive Sensing,action_conditioned,2,,0,1,0,NA,1,1,0,1,no,no,no,no,no,yes,NA,no,no,yes,dynamics_evidence,Architecture and predictive action pp.1-4; Sec.4 Tables 1-4 pp.5-7; Table 5 p.8,Architecture/action pp.1-4; Sec.4 and Tables 1-4 pp.5-7; Table 5 p.8,,,
MWM-0294,Cardiac Copilot: Automatic Probe Guidance for Echocardiography with World Model,planning,1,1,0,1,0,NA,0,1,0,0,no,no,no,no,no,no,NA,offline,no,unclear,,Abstract and Introduction pp.1-3; Sec.2 and Fig.2 pp.4-6; Sec.3 Table 1 and Fig.3 pp.6-8,Abstract/Introduction pp.1-3; Sec.2 and Fig.2 pp.4-6; Sec.3 and Table 1 pp.6-8,Abstract and Introduction pp.1-3; Sec.2 and Fig.2 pp.4-6; Sec.3 Table 1 and Fig.3 pp.6-8,Reviewer consensus.,high
MWM-0315,World Models for General Surgical Grasping,planning,1,0,1,1,1,NA,1,2,1,,yes,no,no,no,no,yes,NA,real,yes,yes,reproducibility_evidence,Abstract and Secs.I-IV pp.1-4; Sec.V and Table III pp.8-9; Secs.VI-VII Table IV pp.10-11; Appendix p.13,Secs.I-IV and Figs.1-3 pp.1-4; Sec.V and Table III pp.8-9; Secs.VI-VII and Table IV pp.10-11,,,
MWM-0320,Delphic Offline Reinforcement Learning under Nonidentifiable Hidden Confounding,planning,,0,0,1,1,1,1,2,1,1,no,no,no,no,no,no,yes,offline,no,unclear,state_evidence,Abstract pp.1-2; Secs.2-5 pp.2-9; Sec.6 pp.9-14; Apps.C-D pp.20-24; statistical protocol p.22,Abstract pp.1-2; Secs.2-6 pp.2-14; Appendices C-D pp.20-24,,,
MWM-0369,Data-Efficient Reinforcement Learning for Malaria Control,planning,1,1,1,1,1,NA,0,2,,2,yes,no,no,no,no,no,NA,simulation,no,yes,safety_evidence,Problem and method pp.1-4; theorem pp.4-5; Table 1 and Fig.4 pp.5-6,Problem/method pp.1-4; theorem pp.4-5; Table 1 and Fig.4 pp.5-6,,,
MWM-S002,Xray2Xray: World Model from Chest X-rays with Volumetric Context,action_conditioned,2,2,1,1,0,NA,1,1,0,1,yes,no,no,no,no,no,NA,no,no,unclear,,Abstract and Secs.1-2 pp.1-5; Sec.3 Tables 1-3 and Figs.2-3 pp.5-8; Conclusion pp.8-9,Secs.1-2 and Fig.1 pp.1-5; Sec.3 and Tables 1-3 pp.5-8; Conclusion pp.8-9,Abstract and Secs.1-2 pp.1-5; Sec.3 Tables 1-3 and Figs.2-3 pp.5-8; Conclusion pp.8-9,Reviewer consensus.,high
MWM-S003,Treatment-aware Diffusion Probabilistic Model for Longitudinal MRI Generation and Diffuse Glioma Growth Prediction,counterfactual,2,2,0,2,1,0,2,0,0,1,no,yes,no,yes,yes,yes,no,no,no,unclear,,Abstract and Sec.I pp.1-2; Secs.III-IV pp.5-10; Tables I-III and Figs.3-10; Limitations pp.12-13,Abstract/Sec.I pp.1-2; Secs.III-IV pp.5-10; Tables I-III and Figs.3-10; Limitations pp.12-13,Abstract and Sec.I pp.1-2; Secs.III-IV pp.5-10; Tables I-III and Figs.3-10; Limitations pp.12-13,Reviewer consensus.,high
MWM-S004,Cosmos-H-Surgical: Learning Surgical Robot Policies from Videos via World Modeling,,2,,0,1,1,NA,0,1,1,1,no,no,no,no,no,,NA,offline,,yes,highest_capability_claim;dynamics_evidence;action_perturbation;safety_hazard_test,Abstract and links p.1; Sec.3 pp.4-5; Sec.4 Tables 1-2 and Figs.4-8 pp.5-9; Supplement pp.12-15,Abstract/access p.1; Sec.3 pp.4-5; Tables 1-2 and Figs.4-8 pp.5-9; Supplement pp.12-15,,,
MWM-S005,Surgical Vision World Model,action_conditioned,2,2,2,1,0,NA,0,0,0,1,yes,yes,no,no,no,yes,NA,no,no,yes,,Methods and data pp.3-5; Results Figs.2-3 and Table 2 pp.6-8; Conclusion p.9,Methods/data pp.3-5; Results and Table 2 pp.6-8; Conclusion p.9,Methods and data pp.3-5; Results Figs.2-3 and Table 2 pp.6-8; Conclusion p.9,Reviewer consensus.,high
MWM-S006,Surgical Procedural Planning as 3D World Modelling: Towards Automated Pulmonary Resection,planning,1,0,0,1,0,0,0,1,1,0,no,no,no,no,no,no,no,offline,yes,no,,Abstract p.1; Sec.3 and Figs.2-4 pp.2-5; explicit no-post-resection-simulation statement p.5; Tables 1-3 pp.6-8,Abstract p.1; Sec.3 and Figs.2-4 pp.2-5; explicit no-anatomy-simulation statement p.5; Tables 1-3 pp.6-8,Abstract p.1; Sec.3 and Figs.2-4 pp.2-5; explicit no-post-resection-simulation statement p.5; Tables 1-3 pp.6-8,Reviewer consensus.,medium
