candidate_id,title,highest_capability_claim,state_evidence,dynamics_evidence,rollout_evidence,action_evidence,uncertainty_evidence,causal_evidence,external_evidence,decision_evidence,safety_evidence,reproducibility_evidence,free_running_rollout,horizon_resolved_results,formal_calibration,frozen_external_validation,action_agnostic_comparator,action_perturbation,explicit_causal_estimand,closed_loop_evaluation,safety_hazard_test,public_code,evidence_anchors,reviewer_notes,confidence
MWM-0034,Brain-WM: Brain Glioblastoma World Model,counterfactual,2,1,0,1,0,0,2,1,0,1,no,no,no,yes,no,no,no,offline,no,yes,Abstract and Fig. 1 p.1; Sec. III pp.2-5; Tables I-IV and Figs.4-7 pp.5-9,"Counterfactual sandbox language sets the claim level, but evidence is one-step factual treatment-conditioned synthesis without confounding control or alternative-treatment outcomes.",high
MWM-0239,CLARITY: Medical World Model for Guiding Treatment Decisions by Modeling Context-Aware Disease Trajectories in Latent Space,planning,2,1,1,1,1,0,1,1,1,0,yes,no,no,yes,no,no,no,offline,no,no,Methods/rollout pp.5-10; datasets p.10; Tables 1-6 and Figs.5-6 pp.11-15; Appendix pp.19-24,"Recursive planning is not validated by rollout horizon; Brier score is not formal calibration, and regimen matching/expert preference do not validate unobserved treatment counterfactuals.",medium
MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation",passive_forecasting,2,1,0,NA,2,NA,2,0,0,1,no,yes,yes,yes,NA,NA,NA,no,no,unclear,Abstract and Secs.1-3 pp.1-7; Tables 1-2 and Figs.1-2 pp.7-10; Secs.5-6 pp.11-12,"ECE and reliability analysis support formal calibration, and held-out hospitals support frozen external evidence; evaluation remains teacher-forced one-step forecasting.",high
MWM-XD3411F7D18,"CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling",counterfactual,2,2,1,2,1,1,1,0,0,2,yes,no,no,unclear,yes,yes,no,offline,no,yes,"BioRxiv API abstract/version record states joint GRN/protein trajectory reconstruction and prediction of unseen perturbations; official CardamomOT README, configs, tests, dataset modules, and results/figure scripts document mechanistic transcription/translation/degradation, Semrau/Kameneva/Schiebinger data, synthetic networks, AUPR/velocity analyses, dropout/time-point noise, and KO/overexpression/stimulus operators.","Full PDF/HTML access was blocked by bioRxiv HTTP 1015, so exact sample counts, paper tables, numerical findings, complete baselines, statistical procedures, maximum horizon, and frozen-validation status are NI rather than guessed. Counterfactual language is present, but no explicit population intervention estimand or complete causal identification was found in accessible primary artifacts.",low
MWM-0294,Cardiac Copilot: Automatic Probe Guidance for Echocardiography with World Model,planning,1,1,0,1,0,NA,0,1,0,0,no,no,no,no,no,no,NA,offline,no,unclear,Abstract/Introduction pp.1-3; Sec.2 and Fig.2 pp.4-6; Sec.3 and Table 1 pp.6-8,"Planning/guidance is claimed, but evidence is one offline direct action prediction with no generated-state fidelity, recursive control, action perturbation, uncertainty or safety test.",high
MWM-X1BBCF32528,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics",passive_forecasting,2,2,2,NA,1,NA,0,1,0,2,yes,yes,no,no,NA,NA,NA,no,no,yes,Fig. 1; Figs. 2-5; Methods temporal splits/generation/metrics; Software and Data Availability,"Leakage-controlled held-out-stage interpolation/extrapolation and free-running sliding windows are strong; cross-sectional cells, no frozen transfer, and no formal calibration limit interpretation.",high
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,action_conditioned,2,2,0,0,0,0,1,0,1,1,no,yes,no,no,no,no,no,no,no,unclear,Abstract and pp. 2-7; Tables 1-4 pp. 8-9; Scope pp. 9-10; Appendices A-C pp. 12-16; ablations pp. 17-18; NeurIPS checklist pp. 19-25,"Highest claim is action-conditioned because the paper defines a nominal intervention-conditioned transition and perturbation task. However, the action token is null during temporal pretraining and the Norman result replaces a GEARS embedding rather than evaluating a standalone action-conditioned Chreode operator. Multiple elapsed-time targets are one-step queries, not free-running rollout. Cross-dataset results use fine-tuning, so external evidence is adapted rather than frozen. The do(a) notation triggers causal scrutiny, but no effect contrast, identification strategy, overlap analysis, or counterfactual validation is provided. Qualitative dual-use discussion supports safety=1 without a hazard test.",medium
MWM-0046,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,counterfactual,2,2,2,2,0,0,0,0,1,0,yes,yes,no,no,yes,yes,no,no,no,unclear,Sec.2.4 pp.3-4; Sec.3 and Fig.1 pp.4-6; Tables 1-5 pp.6-9; Secs.6.2 and 6.4 p.10,"The paper explicitly disclaims causal estimation, so what-if wording receives causal score 0; free-running multiyear prediction and action-channel removal/intensity tests support rollout/action evidence.",high
MWM-XC0A20D0271,Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,action_conditioned,2,2,2,0,0,NA,0,1,0,2,yes,yes,no,no,no,no,NA,offline,no,yes,Fig. 1 and Secs. 3-4 pp. 3-6; Fig. 2 and Sec. 5.2 pp. 6-7; Fig. 3 pp. 8-9; Fig. 4 and Sec. 5.4 p. 9; Appendices A-D pp. 13-18,"The model genuinely consumes its own predicted latent states in a 48-hour autoregressive rollout, with horizon-resolved L1 drift and collapse diagnostics. Actions are encoded, but their contribution is never isolated by an action-agnostic comparator or perturbation. All evidence is from MIMIC-IV, and downstream utility is an offline risk-probe result rather than clinician or policy evaluation. The paper makes no counterfactual or treatment-effect claim, so causal fields are NA. Public code plus detailed data construction and hyperparameters support reproducibility=2 despite credentialed MIMIC access.",high
MWM-XA5A2F4844E,Control of Magnetic Surgical Robots With Model-Based Simulators and Reinforcement Learning.,planning,2,1,1,1,0,NA,1,2,1,0,yes,no,no,no,no,no,NA,real,yes,no,Methods Sec. IV-B.1–5; Experiments Sec. V-A–D; Tables I–II and Figs. 4–6.,"Real closed-loop transfer is demonstrated on the same apparatus that supplied training data. Physical hazards are discussed/managed, but no independent device, uncertainty, horizon-fidelity, or public implementation is provided.",high
MWM-S004,Cosmos-H-Surgical: Learning Surgical Robot Policies from Videos via World Modeling,action_conditioned,2,2,0,1,1,NA,0,1,1,1,no,no,no,no,no,yes,NA,offline,yes,yes,Abstract/access p.1; Sec.3 pp.4-5; Tables 1-2 and Figs.4-8 pp.5-9; Supplement pp.12-15,"Prompt/action-category comparisons and hallucination review provide limited action/safety evidence, but the world model is not kinematic-action conditioned and no closed-loop robot success is shown.",high
MWM-0054,CrossScope: A Role-Asymmetric World Model for Joint Dual-Scope Surgical Video Prediction,action_conditioned,2,2,0,2,0,NA,0,0,0,1,no,no,no,no,yes,yes,NA,no,no,no,Benchmark p.2; Methods pp.3-5; Tables 1-2 and Fig.6 pp.5-7; Appendix Tables 4-10 pp.11-15,"Eight-frame windows are independent rather than autoregressive. Shuffled-target and constant-prior controls support action sensitivity, although the conditioning trajectory is only an action proxy.",high
MWM-XD7F5DAFF27,DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer.,planning,2,1,1,1,1,1,0,1,1,0,yes,yes,no,no,yes,no,no,offline,no,no,"Accepted manuscript Sections 3-5, quantitative evaluation tables, DITTO workflow/interface figures, two case studies, and Appendix A.2; temporal outputs are shown at 12/24/36/48 months and to 5 years; MC dropout uses at least 20 samples; propensity matching requires at least 5 comparators within a caliper; formative work involved 11 physicians.","The accepted manuscript supports retrospective sequential treatment comparison and clinician-facing utility, not prospective planning efficacy. Main text reports 526 patients while Appendix A.2 reports 536=389+147; this discrepancy is retained. Nominal dropout intervals are not empirically calibrated, and no public code, weights, external validation, action-removal test, or hazard test was found.",high
MWM-XFA677C184B,DRIFT: Direct-Recursive Intervention-Conditioned Forecasting of ICU Physiological Trajectories,action_conditioned,2,2,2,2,0,NA,1,0,0,1,yes,yes,no,no,yes,yes,NA,offline,no,no,"Main text pp. 1-7, especially Secs. 3.1-3.4 and 4.2-4.4; Tables 1-4 pp. 6-7; Appendices B-C pp. 10-20; changed-path and first-divergence analyses pp. 21-24; rollout diagnostics pp. 25-27; eICU protocol pp. 27-34","The recursive correction path consumes its prior latent state and is evaluated within a 48-hour hybrid forecast, with lead-wise trajectory and discrepancy diagnostics. Action evidence is strong because no-action comparators, donor-path replacement, timing/response ablations, and divergence alignment are reported. The eICU study is independently retrained and all hospitals overlap training, so it is adapted cross-database evidence rather than frozen validation. The authors explicitly disclaim causal effects and keep outcomes fixed during path replacement; causal fields are therefore NA, not positive evidence. Code is promised only upon publication.",high
MWM-0369,Data-Efficient Reinforcement Learning for Malaria Control,planning,1,1,1,1,1,NA,0,2,1,2,yes,no,no,no,no,no,NA,simulation,no,yes,Problem/method pp.1-4; theorem pp.4-5; Table 1 and Fig.4 pp.5-6,"Closed-loop simulator policy value is directly tested and reproducible, but predictive variance is uncalibrated and neither model mismatch nor field safety/external validity is evaluated.",high
MWM-X2BD39C3B8E,Deep Generative Model of Macrophage Immune Response for Hepato-intestinal Tumor Therapy Optimization.,planning,2,2,1,1,1,1,2,2,2,1,yes,no,no,yes,no,yes,no,real,yes,unclear,Figs. 1-4; Tables 3-4 and S11-S16; temporal/external holdouts; deployment and limitations sections,"Planning and real observational decision use are reported, but allocation was nonrandomized and the paper disclaims causal identification. Public code/checkpoint claims lack a stable inspectable repository link.",medium
MWM-X872C154484,Development of a model-based clinical trial simulation platform to optimize the design of clinical trials for Duchenne muscular dystrophy.,counterfactual,2,2,2,2,1,0,2,1,0,1,yes,yes,no,yes,yes,yes,yes,simulation,no,yes,Methods and Tables 1–3; development/external VPC Figs. 1–5 and supplement; Appendix S5.,Frozen non-US natural-history validation is strong. Hypothetical treatment perturbations have no observed treatment-effect or causal validation; VPC intervals are uncertainty evidence but not formal calibration coverage.,high
MWM-X1305C7353F,Digital twin brain simulator for real-time consciousness monitoring and virtual intervention using primate electrocorticogram data,action_conditioned,2,2,2,2,1,NA,2,1,0,1,yes,yes,no,yes,yes,yes,NA,offline,no,no,"Methods describe 4 macaques, 20 ECoG channels/10 regions, hierarchical z1/z2/z3 V-RNN, four-fold held-out-animal evaluation, rolling-500-observation/100-update assimilation, and virtual intervention; Results and supplement report power spectra, connectivity, latent clusters, 1-100-step prediction error, and 2,000-step virtual intervention.","The held-out animal is evaluated before subsequent assimilation, supporting a frozen population-transfer result, while adapted results are distinguished. Virtual drug action is a latent model perturbation, not administered treatment. Variational uncertainty is not formal calibration; no code, weights, causal estimand, or safety test was reported.",high
MWM-XF38CEA9063,Digital twin models for predicting venetoclax and azacitidine-induced neutropenia in patients with acute myeloid leukemia.,action_conditioned,2,2,2,1,1,NA,0,1,1,1,yes,yes,no,no,no,yes,NA,offline,yes,yes,Fig. 1; Fig. 3/Table 2; Methods multi-cycle learning; Data/Code availability,"Patient-specific temporal tests and long-term ODE rollouts support dynamics evidence; no external cohort or calibrated predictive uncertainty, and the seven-cycle subset is selected.",high
MWM-0068,DreamReg: Belief-Driven World Model for 2D-3D Ultrasound Registration,planning,2,2,1,1,1,NA,1,2,0,2,yes,no,no,no,no,yes,NA,simulation,no,yes,Abstract p.1; Sec.2 and Figs.1-2 pp.3-6; Sec.3 and Tables 1-2 pp.6-8; Conclusion p.9,"Closed-loop imagined registration supports planning and decision evidence, but fidelity is reported mainly at the final horizon and no action-agnostic comparator or safety test is present.",high
MWM-0073,ECG-WM: A Physiology-Informed ECG World Model for Clinical Intervention Simulation,counterfactual,2,2,2,1,1,0,2,1,2,1,yes,yes,no,yes,no,yes,no,offline,yes,unclear,Secs.1-4 and Figs.1-2 pp.1-5; Tables 1-4 pp.6-9; Apps.A-B pp.13-19,"Autoregressive horizon tests and physiological stress audits are strong, but drug counterfactuals remain observational and stochastic variance is not calibrated.",high
MWM-0074,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,counterfactual,2,2,2,0,0,0,0,0,0,0,yes,yes,no,no,no,no,no,no,no,unclear,Abstract pp.1-2; Secs.3-5 pp.3-8; Tables 1-2 and Fig.3; Limitations p.9; Appendix pp.11-14,"Full-trajectory generation is evaluated at multiple event horizons, but medication/procedure conditioning is not isolated and causal wording is unsupported by identification or counterfactual validation.",high
MWM-0242,EchoWorld: Learning Motion-Aware World Models for Echocardiography Probe Guidance,planning,1,1,0,2,0,NA,0,1,0,1,no,no,no,no,yes,yes,NA,offline,no,yes,Abstract p.1; Secs.3-4 and Fig.4 pp.3-6; Tables 1-3 pp.6-8; supplement pp.12-14,"Motion-removal ablation supports action evidence, but guidance is offline direct pose prediction without recursive imagination, quantitative image fidelity, or safety evaluation.",high
MWM-0077,EyeWorld: A Generative World Model of Ocular State and Dynamics,counterfactual,2,1,0,1,0,0,0,0,1,0,no,no,no,no,no,yes,no,no,no,no,Data pp.5-7; longitudinal synthesis Fig.7 pp.16-18; prompt edits Fig.8 pp.19-21; Limitations/Methods pp.24-31,Prompt-edited pathology images are action sensitivity but not clinical intervention evidence; pooled sources do not establish frozen external validation and counterfactual claims lack a causal estimand.,medium
MWM-0078,Failure Detection for Surgical Robot Imitation Policies via Flow-Matching World Modeling,action_conditioned,1,1,0,2,2,NA,1,1,2,0,no,yes,yes,no,yes,yes,NA,offline,yes,no,Abstract p.1; Sec. III pp.3-4; Sec. IV and Table I pp.4-6; Figs.5-6 p.7; Limitations p.8,"Conformal calibration and explicit recorded failure tests are substantial, but the monitor is evaluated offline and endpoint prediction does not generate free-running observations.",high
MWM-0094,Future Querying: Can LLMs Serve as Implicit Medical World Models?,passive_forecasting,1,1,0,NA,0,NA,1,0,0,0,no,no,no,no,NA,NA,NA,no,no,unclear,Abstract and Secs.1-4 pp.1-4; Secs.5.1-5.3 pp.5-6; Secs.5.4-6 pp.7-8,Semantic future-answer accuracy is an indirect state/dynamics proxy rather than a coherent trajectory test; two corpora provide limited transfer evidence without frozen institutional validation.,high
MWM-0095,"GEMEO: the first patient world model for rare disease, grounding generative clinical trajectories in the genome and a biomedical knowledge graph",action_conditioned,2,2,1,2,2,NA,1,0,1,1,yes,yes,yes,unclear,yes,yes,NA,no,no,yes,Abstract p.1; Secs.2-4 pp.2-6; Tables 1-3; Methods and limitations pp.7-8,"Current evidence reaches an action-association test, while Level-3 counterfactual capability is stated as future work. Integrated calibration is reported, but external partition details are sparse.",medium
MWM-X056BF65776,Generating whole-brain neural activity and behavior through unified latent dynamics,counterfactual,2,2,2,1,1,0,0,1,0,1,yes,yes,no,no,yes,yes,no,simulation,no,no,"Results Secs. 2.2–2.5, Figs. 2–4; Methods Secs. 4.1–4.5; Fig. S1.","Long stochastic rollouts and synthetic steering are well characterized, but all empirical evaluation uses one training recording and latent interventions lack biological, causal, external, or safety validation.",high
MWM-0103,Intervention-Aware Clinical World Model for Post-Op Outcome Forecasting in Cardiology,action_conditioned,2,2,0,2,2,NA,0,0,0,1,no,yes,yes,no,yes,yes,NA,no,no,unclear,Methods and Table 1 pp.3-5; Tables 2-4 and Fig.3 pp.6-7; Fig.4 and Limitations p.8,"Event removal, shuffling, timing and presence edits support action evidence, and ECE supports calibration; risk curves are horizon-resolved but are not recursive self-fed rollouts.",high
MWM-X6A64D732FB,Koopman-based linearization of preparatory EEG dynamics in Parkinson's disease during galvanic vestibular stimulation.,planning,2,2,2,1,0,1,0,1,0,1,yes,yes,no,no,yes,yes,no,simulation,no,yes,"Methods report 18 PD and 18 control participants, subject-level six-fold splits, three-dimensional Koopman state, 1-15-step m-step prediction, and LQR; Results report horizon-specific NMSE, observed sham/GVS1/GVS2 and medication contrasts, spatial maps, motor correlations, and controlled-versus-uncontrolled LQR trajectories; Code Availability reports a public repository.","Observed GVS conditions provide partial causal support for stimulation-associated differences, but the LQR action and steering result remain model simulations without an explicit treatment estimand or real model-directed intervention. There is no external validation, calibrated uncertainty, or stimulation-hazard evaluation.",high
MWM-0261,Learning Emotional Dynamics: A World Model Approach,counterfactual,2,2,2,0,0,0,0,0,0,2,yes,yes,no,no,no,no,no,no,no,yes,Abstract and Secs.2.4-4.2 pp.1-8; Tables 2-3 and Figs.6-13 pp.12-19; Secs.5.2-6 pp.22-23,"Twenty-step emotional forecasts are directly evaluated, but conditioning-source comparisons are not interventions and cannot support the paper's causal wording; time-horizon interpretation is inconsistent.",medium
MWM-XEA4B3285B2,Learning Temporal Basis Vectors for Closed-Loop Neural Stimulation.,planning,2,2,2,2,1,NA,0,2,1,1,yes,yes,no,no,yes,yes,NA,simulation,no,yes,Corresponding arXiv manuscript forecasting results and two closed-loop simulation experiments,"Action-conditioned forecasting and simulated control are operational, but evidence comes from sessions in only two animals; no external subject test or probabilistic calibration.",medium
MWM-0125,MRI Contrast Enhancement Kinetics World Model,passive_forecasting,2,2,0,NA,0,NA,1,0,0,1,no,yes,no,no,NA,NA,NA,no,no,no,Abstract and Sec.1 pp.1-2; Sec.3 pp.3-5; Sec.4.1 and Table 1 pp.5-7; supplement pp.13-17,"Continuous time-conditioned image generation and temporal continuity support dynamics, but generation is direct rather than autoregressive and the second cohort is not a frozen transport test.",high
MWM-XC890A9B151,Machine Learning for Mechanical Ventilation Control,planning,2,2,2,1,0,NA,1,2,2,1,yes,yes,no,no,no,yes,NA,real,yes,no,"Methods pp. 5–8, Secs. 3–5, Figs. 3–9; Fig. 5 for 25-step error; Appendix B, Tables 3–5.","Horizon-resolved simulator error and real hardware control with explicit safeguards are strengths. Transfer remains on the same platform, and uncertainty, action-agnostic comparison, patient evidence, and learned artifacts are absent.",high
MWM-0263,Medical World Model,counterfactual,2,1,0,1,1,0,1,1,1,1,no,no,no,no,no,yes,yes,offline,no,yes,Abstract/Fig.1 p.1; Sec.3 and Figs.2-3 pp.3-6; Tables 1-3 and Figs.4-7 pp.6-8,"Candidate TACE regimens define a textual individual intervention contrast, but only factual one-step outcomes are observed; external data are adapted before testing and toxic-combination rules are not hazard outcomes.",high
MWM-X6C3AA8358E,Model-based reinforcement learning for ultrasound-driven autonomous microrobots.,planning,1,1,1,1,0,NA,1,2,2,2,yes,no,no,no,no,yes,NA,real,yes,yes,"Main article Figs. 1-6 and pp. 1076-1085; Methods pp. 1085-1088; Data and Code Availability p. 1088; Extended Data Figs. 1-4; Supplementary Notes S3, S5, S9-S11 and Figs. 11-16","Planning is supported because latent imagined trajectories train a sequential policy that executes real ultrasound commands in closed-loop image feedback. Direct state-transition fidelity and horizon-resolved imagined-rollout error are not evaluated, so state, dynamics, and rollout remain indirect/limited. Action settings and magnitudes are varied, but there is no action-agnostic comparator. Sim-to-real and unseen-channel results require continued adaptation, not frozen validation. Physical hazard evidence is unusually strong for this corpus: collision, overshoot, flow displacement, tracking loss, cavitation concern, constraints, shutdown, reset, and action-reversal rescue are tested or demonstrated. Public code, data, and checkpoints support reproducibility=2.",medium
MWM-X21155DF63C,Modelling neural coding in the auditory midbrain with high resolution and accuracy.,action_conditioned,2,2,0,1,1,NA,1,1,0,2,no,no,no,no,no,yes,NA,no,no,yes,"Methods describe 14 gerbils, high-resolution sound/MUA alignment, 64-dimensional bottleneck, categorical 0-4 event-count decoder, held-out sounds, random 10% validation, leave-one-animal encoder freezing with decoder adaptation, and bootstrap=1,000; Results evaluate RMSE, likelihood, Fano factor, explainable variance, forward masking, and adaptation; official ICNet repository includes code, config, examples, and DNN/model_weights.hdf5.","ICNet predicts full response sequences conditional on the complete exogenous sound, so it is action/stimulus-conditioned but not autonomous free-running rollout. Cross-animal evidence requires decoder adaptation and is not frozen external validation. Controlled stimulus manipulations count as action perturbations, but there is no action-agnostic comparator framed for the claimed conditional model.",high
MWM-X772584A789,Multi-Objective Model-based Reinforcement Learning for Infectious Disease Control,planning,2,2,2,2,1,1,1,2,0,1,yes,yes,no,no,yes,yes,yes,simulation,no,no,Secs. 3-5; Figs. 3-6; Algorithms 1-3; Appendix C city holdout,"Long-horizon posterior policy rollouts, no-action comparisons, and explicit regime-value objectives are present; causal policy effects rely on a six-city observational transition model.",high
MWM-0136,NVIDIA Cosmos-H-Dreams: Real-Time Generative Physics Simulation for Surgical Robotics,planning,2,2,2,0,0,NA,1,2,1,2,yes,yes,no,no,no,no,NA,simulation,yes,yes,Abstract/access links p.1; Secs.1-4 pp.3-8; Tables 1-4 and Figs.3-5 pp.9-12; Limitations p.14,"Long autoregressive video and real-policy ranking support planning utility, but action dependence is not isolated and physical-feasibility/hallucination tests are limited safety evidence.",high
MWM-0132,NeuroWorld: A Latent Brain World Model for Stimulus-Conditioned Human Brain Dynamics,passive_forecasting,2,2,2,NA,0,NA,1,0,0,1,yes,yes,no,no,NA,NA,NA,no,no,no,Abstract p.1; Sec.III and Fig.3 pp.3-5; Tables I-III pp.5-8; Discussion pp.9-10,The model free-runs from one observed TR and reports 20/50/100-TR performance; stimulus tokens are observed context rather than clinical or control actions.,high
MWM-0135,Nonstationary Battery,planning,1,1,1,1,1,NA,0,2,0,0,yes,yes,no,no,no,no,NA,simulation,no,no,Zenodo draft Secs.1-2 and Tables B1-B3; Sec.4 caveats; deposit file/status listing,"Closed-loop adaptation is evaluated only in simulators with unequal-information concerns; absent code, simulator artifacts and full specification make most evidence non-reproducible.",low
MWM-XBAD327876F,OMG-RL:Offline Model-based Guided Reward Learning for Heparin Treatment,planning,1,1,1,1,1,1,0,1,1,1,yes,no,no,no,no,no,yes,offline,no,no,"Methods pp. 5–7, Algorithms 1–2; Setup pp. 7–8; Results pp. 8–13, Figs. 2–8; limitations p. 13.","Policy value is evaluated with WIS and model rollouts, but direct dynamics fidelity, action support, confounding, calibration, external validation, and explicit bleeding/thrombosis hazard tests are missing.",medium
