audit_id,route,title,reviewer_e_decision,reviewer_e_reason_code,reviewer_e_rationale,reviewer_f_decision,reviewer_f_reason_code,reviewer_f_rationale
AUD-35c94124d2c2,primary_phrase_filter_residual,Evaluating Generative Video AI for Standardized Psychiatric Patient Simulation With Graded Hygiene Deterioration,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to brain and mental-health processes without modeling evolving states, rollouts, or action response.",uncertain,potential_empirical,"Biomedical state generation or longitudinal response is plausible, but transition learning is not fully explicit."
AUD-43a8ecc5253b,primary_phrase_filter_residual,From Uncertainty to Clinical Risk: Severity-Aware Conformal Planning for Interactive Medical Diagnosis,exclude,static_or_isolated_prediction,"Performs classification or detection in patient-state modeling, rather than trajectory simulation or learned control.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-f207351174df,primary_phrase_filter_residual,MicroVerse: A Preliminary Exploration Toward a Micro-World Simulation,exclude,no_learned_or_adapted_dynamics,"Reports on cellular and biological systems without a learned, fitted, calibrated, or data-adapted dynamics model.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-5c062e5c25cd,primary_phrase_filter_residual,Planning in the Brain: It's Not What You Think It Is.,exclude,review_not_primary,"Reviews brain and mental-health processes but does not centrally synthesize learned or adapted transition, rollout, or control systems.",include,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control."
AUD-8641031fc6e4,primary_phrase_filter_residual,Simulating closed-loop transcranial brain stimulation for reinforcement learning-based treatment discovery,uncertain,insufficient_abstract,"The title suggests brain and mental-health processes dynamics or control, but no abstract establishes whether transitions are learned or adapted.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-480973cb8adc,primary_phrase_filter_residual,Toward Autonomous Clinics: Human-Robot Collaboration in Clinical Care.,include,potential_review,"Centrally synthesizes learned or adapted procedural and surgical care simulation, transition, or sequential-control systems.",exclude,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
AUD-e7a5b608002f,primary_phrase_filter_residual,TwinCell: Large Causal Cell Model for Reliable and Interpretable Therapeutic Target Prioritisation,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to cancer care without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-f3e048ff7f5e,primary_phrase_filter_residual,A Bayesian mixture model for Poisson network autoregression.,exclude,wrong_domain,"Addresses a nonmedical topic, not a medical or biomedical state-dynamics system.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-88edf55a5ac3,primary_medical_filter_residual,A mechanistic theory of planning in prefrontal cortex,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to brain and mental-health processes without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-c77c5cd83736,primary_phrase_filter_residual,A Novel Model for Generating Patient Laboratory Test Orders from Admission: Transformer Model Approach,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to clinical records and healthcare operations without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-1ef3d697e152,primary_phrase_filter_residual,A time-dependent model for quantifying postoperative inflammatory trajectories and predicting survival in early triple-negative breast cancer,uncertain,insufficient_abstract,"The title suggests cancer care dynamics or control, but no abstract establishes whether transitions are learned or adapted.",exclude,static_or_isolated_prediction,The model targets a static label or isolated endpoint rather than evolving states.
AUD-201e45b5752f,primary_phrase_filter_residual,Advancements and challenges in autonomous endovascular interventional robotics: A comprehensive review.,uncertain,potential_review,"The review covers autonomous procedural and surgical care sensing and control, but the centrality of learned transition models is unclear.",exclude,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-db69876f2c43,primary_phrase_filter_residual,AI-Based Decision Support for Perfusionists during Cardiopulmonary Bypass.,uncertain,insufficient_abstract,"The title suggests cardiovascular physiology and care dynamics or control, but no abstract establishes whether transitions are learned or adapted.",exclude,wrong_domain,The record is outside the medical or biomedical domain.
AUD-6cfd09330b40,primary_phrase_filter_residual,Constructing future behavior in the hippocampal formation through composition and replay.,exclude,no_learned_or_adapted_dynamics,"Reports on brain and mental-health processes without a learned, fitted, calibrated, or data-adapted dynamics model.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-47c956072226,primary_medical_filter_residual,GeneJepa: A Predictive World Model of the Transcriptome,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to cellular and biological systems without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-7b0da5c1d62d,primary_medical_filter_residual,Impaired goal-directed planning in transdiagnostic compulsivity is explained by uncertainty about learned task structure,exclude,wrong_domain,"Addresses general AI systems, not a medical or biomedical state-dynamics system.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-df92422224c9,primary_phrase_filter_residual,Integrating Process Mining and Machine Learning for Surgical Workflow Optimization: A Real-World Analysis Using the MOVER EHR Dataset,include,potential_empirical,Learns a sequential policy or controller for procedural and surgical care with action-dependent responses.,exclude,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
AUD-c86bf88eead0,primary_phrase_filter_residual,Learning produces an orthogonalized state machine in the hippocampus.,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to brain and mental-health processes without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-683e9266c36c,primary_phrase_filter_residual,Multi-timescale reinforcement learning in the brain.,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to brain and mental-health processes without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-609b6c21c587,primary_phrase_filter_residual,Prospective contingency explains behavior and dopamine signals during associative learning.,exclude,wrong_domain,"Addresses a nonmedical topic, not a medical or biomedical state-dynamics system.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-e1f6926dd145,primary_phrase_filter_residual,Trial-by-trial learning of successor representations in human behavior.,exclude,wrong_domain,"Addresses language, arts, or humanities, not a medical or biomedical state-dynamics system.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-2dc07ed0e914,primary_phrase_filter_residual,Using computational models of learning to advance cognitive behavioral therapy.,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to cellular and biological systems without modeling evolving states, rollouts, or action response.",include,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control."
AUD-9531c80046d7,primary_phrase_filter_residual,A Clinical Pathway Model for Severe Stroke Rehabilitation based on Process Mining,exclude,no_learned_or_adapted_dynamics,"The title concerns rehabilitation and biomechanics but gives no indication of learned, fitted, or calibrated state dynamics.",uncertain,insufficient_abstract,"The title suggests possible biomedical state dynamics, but no usable abstract is available."
AUD-2e79c600b25d,primary_phrase_filter_residual,A Deep Learning-Enhanced Compartmental Model and Its Application in Modeling Omicron in China.,include,potential_empirical,Fits data-adapted temporal models to forecast infectious-disease spread over time.,exclude,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
AUD-69448c657186,primary_phrase_filter_residual,A mini-review on perturbation modelling across single-cell omic modalities.,exclude,review_not_primary,"Reviews procedural and surgical care but does not centrally synthesize learned or adapted transition, rollout, or control systems.",include,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control."
AUD-25baab647428,primary_phrase_filter_residual,A recurrent network model of planning explains hippocampal replay and human behavior,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to brain and mental-health processes without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-0549262f2fd7,primary_phrase_filter_residual,Agent Hospital: A Simulacrum of Hospital with Evolvable Medical Agents,include,potential_empirical,Learns a sequential policy or controller for brain and mental-health processes with action-dependent responses.,exclude,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
AUD-a21a0e3ea5ec,primary_phrase_filter_residual,Latent-state and model-based learning in PTSD.,include,potential_review,"Centrally synthesizes learned or adapted brain and mental-health processes simulation, transition, or sequential-control systems.",exclude,review_not_primary,The review does not centrally synthesize learned biomedical dynamic or rollout systems.
AUD-3b3b7e43e701,primary_phrase_filter_residual,Structural and practical identifiability of contrast transport models for DCE-MRI.,include,potential_empirical,Uses learned or data-adapted dynamics to model evolving cellular and biological systems states.,exclude,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-76de51a9993d,primary_phrase_filter_residual,SurGen: Text-Guided Diffusion Model for Surgical Video Generation,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to procedural and surgical care without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-506b48df42ec,primary_phrase_filter_residual,The utility of a latent-cause framework for understanding addiction phenomena.,exclude,wrong_domain,"Addresses a nonmedical topic, not a medical or biomedical state-dynamics system.",include,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control."
AUD-94d47cf0b09a,primary_phrase_filter_residual,A Longitudinal Chronic Disease Risk Lifecycle Management Model for EHR-Based Systems,exclude,no_learned_or_adapted_dynamics,"The title concerns clinical records and healthcare operations but gives no indication of learned, fitted, or calibrated state dynamics.",uncertain,insufficient_abstract,"The title suggests possible biomedical state dynamics, but no usable abstract is available."
AUD-b2cd91a632c7,primary_phrase_filter_residual,An introduction to reinforcement learning for neuroscience,exclude,wrong_domain,"Addresses language, arts, or humanities, not a medical or biomedical state-dynamics system.",include,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control."
AUD-2b61cfe75bc6,primary_phrase_filter_residual,Constructing future behaviour in the hippocampal formation through composition and replay,exclude,no_learned_or_adapted_dynamics,"Reports on brain and mental-health processes without a learned, fitted, calibrated, or data-adapted dynamics model.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-72656eebf7d0,primary_phrase_filter_residual,"Pain, from perception to action: A computational perspective.",exclude,wrong_domain,"Addresses a nonmedical topic, not a medical or biomedical state-dynamics system.",uncertain,potential_review,"The review may centrally cover eligible biomedical dynamics or intervention models, but its scope is ambiguous."
AUD-62219abe0c2d,primary_phrase_filter_residual,Reinforcement Learning for Healthcare: From Model Development to Deployment,uncertain,potential_empirical,"The abstract centers on learned sequential decisions in cellular and biological systems, but a specific primary dynamic model is not clearly described.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-928cc400d0df,primary_phrase_filter_residual,Towards Model-Informed Precision Dosing of Voriconazole: Challenging Published Voriconazole Nonlinear Mixed-Effects Models with Real-World Clinical Data,uncertain,insufficient_abstract,"The title suggests drug exposure and dosing dynamics or control, but no abstract establishes whether transitions are learned or adapted.",exclude,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-6e7dc8b6eb49,primary_phrase_filter_residual,A neural network account of memory replay and knowledge consolidation,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to brain and mental-health processes without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-01dbcfb5e94a,primary_phrase_filter_residual,A Survey on Digital Epidemiology: Networks and Models,include,potential_review,"Centrally synthesizes learned or adapted infectious-disease spread simulation, transition, or sequential-control systems.",exclude,review_not_primary,The review does not centrally synthesize learned biomedical dynamic or rollout systems.
AUD-59248ee5e53f,primary_phrase_filter_residual,Causal inference using observational intensive care unit data: a systematic review and recommendations for future practice,exclude,review_not_primary,"Reviews patient-state modeling but does not centrally synthesize learned or adapted transition, rollout, or control systems.",uncertain,potential_review,"The review may centrally cover eligible biomedical dynamics or intervention models, but its scope is ambiguous."
AUD-2fc9db7c7304,primary_phrase_filter_residual,Considerations in Bayesian agent-based modeling for the analysis of COVID-19 data,exclude,no_learned_or_adapted_dynamics,Uses a hand-specified mechanistic or mathematical model of infectious-disease spread without learned or calibrated transitions.,include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-b3e63a891d01,primary_phrase_filter_residual,Counterfactual inference with latent variable and its application in mental health care.,exclude,no_learned_or_adapted_dynamics,"Reports on brain and mental-health processes without a learned, fitted, calibrated, or data-adapted dynamics model.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-29f404b183b1,primary_phrase_filter_residual,Direct Evaluation of Treatment Response in Brain Metastatic Disease with Deep Neuroevolution,uncertain,insufficient_abstract,"The title suggests brain and mental-health processes dynamics or control, but no abstract establishes whether transitions are learned or adapted.",exclude,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-7366590fd350,primary_phrase_filter_residual,Increased and biased deliberation in social anxiety.,exclude,wrong_domain,"Addresses language, arts, or humanities, not a medical or biomedical state-dynamics system.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-01e1ec47fdac,primary_phrase_filter_residual,Learning cortical representations through perturbed and adversarial dreaming.,exclude,wrong_domain,"Addresses education, not a medical or biomedical state-dynamics system.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-adda9c971211,primary_phrase_filter_residual,Reward Bases: Instantaneous reward revaluation with temporal difference learning,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to brain and mental-health processes without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-30e4b971e541,primary_phrase_filter_residual,Advances in the computational understanding of mental illness.,exclude,review_not_primary,"Reviews brain and mental-health processes but does not centrally synthesize learned or adapted transition, rollout, or control systems.",include,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control."
AUD-4fc68310eac9,primary_phrase_filter_residual,Digital Epidemiology: A review,include,potential_review,"Centrally synthesizes learned or adapted infectious-disease spread simulation, transition, or sequential-control systems.",exclude,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-1e089ceacd6b,primary_phrase_filter_residual,Dopamine signals as temporal difference errors: recent advances.,exclude,wrong_domain,"Addresses education, not a medical or biomedical state-dynamics system.",include,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control."
AUD-546e61a5a201,primary_phrase_filter_residual,Dynamics of an oncolytic virus model,exclude,no_learned_or_adapted_dynamics,"The title concerns medical or biomedical processes but gives no indication of learned, fitted, or calibrated state dynamics.",uncertain,insufficient_abstract,"The title suggests possible biomedical state dynamics, but no usable abstract is available."
AUD-489b7cb5ab9d,primary_phrase_filter_residual,How specific are patient-specific simulations? Analyzing the accuracy of 3D-printing and modeling to create patient-specific rehearsals for complex urological procedures,uncertain,insufficient_abstract,"The title suggests patient-state modeling dynamics or control, but no abstract establishes whether transitions are learned or adapted.",exclude,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-4f2ca963ccf0,primary_phrase_filter_residual,Model-Based Planning Deficits in Compulsivity Are Linked to Faulty Neural Representations of Task Structure.,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to medical or biomedical processes without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-a34c161e6a68,primary_phrase_filter_residual,Orbitofrontal cortex and learning predictions of state transitions.,exclude,no_learned_or_adapted_dynamics,"Reports on brain and mental-health processes without a learned, fitted, calibrated, or data-adapted dynamics model.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-59a988c082f5,primary_phrase_filter_residual,Phenotyping heart failure using model-based analysis and physiology-informed machine learning,exclude,no_learned_or_adapted_dynamics,"Applies data-driven methods to procedural and surgical care without modeling evolving states, rollouts, or action response.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-1b275981a80a,primary_phrase_filter_residual,Validity of a patient-specific percutaneous nephrolithotomy (PCNL) simulated surgical rehearsal platform: impact on patient and surgical outcomes,uncertain,insufficient_abstract,"The title suggests procedural and surgical care dynamics or control, but no abstract establishes whether transitions are learned or adapted.",exclude,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-6b0fc2dfddd1,primary_phrase_filter_residual,1582O Developing a real-world outcomes forecast model using matched oncology clinical trials and real world evidence to inform policy-making and reimbursement approaches,uncertain,insufficient_abstract,"The title suggests cancer care dynamics or control, but no abstract establishes whether transitions are learned or adapted.",exclude,no_learned_or_adapted_dynamics,"Dynamics are hand-specified or descriptive without learned, fitted, or calibrated transitions."
AUD-8332cc9fa00e,primary_phrase_filter_residual,"Anxiety, avoidance, and sequential evaluation.",exclude,wrong_domain,"Addresses general AI systems, not a medical or biomedical state-dynamics system.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-249ff1072a97,primary_phrase_filter_residual,Continuous detection and prediction model of bacteremia for in-patients: deep learning for time-series EHR data,uncertain,insufficient_abstract,"The title suggests infectious-disease spread dynamics or control, but no abstract establishes whether transitions are learned or adapted.",exclude,static_or_isolated_prediction,The model targets a static label or isolated endpoint rather than evolving states.
AUD-f625df054bad,primary_phrase_filter_residual,"Empirical Model of Spring 2020 Decrease in Daily Confirmed COVID-19 Cases in King County, Washington",include,potential_empirical,Fits data-adapted temporal models to forecast infectious-disease spread over time.,exclude,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
AUD-b4dd9bfd99ef,primary_phrase_filter_residual,Real-time neural network based predictor for cov19 virus spread.,include,potential_empirical,Fits data-adapted temporal models to forecast infectious-disease spread over time.,exclude,static_or_isolated_prediction,"The learned model does not generate biomedical trajectories, transitions, or action responses."
AUD-2962f2619ffd,primary_phrase_filter_residual,"Second waves, social distancing, and the spread of COVID-19 across America",include,potential_empirical,Fits data-adapted temporal models to forecast infectious-disease spread over time.,exclude,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-4bc4e756f9f6,primary_phrase_filter_residual,"Second waves, social distancing, and the spread of COVID-19 across the USA.",include,potential_empirical,Fits data-adapted temporal models to forecast infectious-disease spread over time.,exclude,no_learned_or_adapted_dynamics,No learned or data-adapted biomedical state evolution is described.
AUD-b65e37404868,primary_phrase_filter_residual,State-by-State estimates of R0 at the start of COVID-19 outbreaks in the USA,exclude,no_learned_or_adapted_dynamics,"Reports on infectious-disease spread without a learned, fitted, calibrated, or data-adapted dynamics model.",include,potential_empirical,"A learned or fitted model represents evolving biomedical states, trajectories, interventions, or sequential control."
AUD-5e10f6f71a90,primary_phrase_filter_residual,The evolving view of replay and its functions in wake and sleep.,exclude,wrong_domain,"Addresses language, arts, or humanities, not a medical or biomedical state-dynamics system.",include,potential_review,"The review centrally examines learned biomedical dynamics, simulation, intervention response, or sequential control."
