candidate_id,title,highest_capability_claim,required_domains_strong,required_domains_partial,required_domains_absent,descriptive_feature_limits,priority_for_human_claim_review,extracted_claim_boundary,causal_language,decision_utility,safety_evaluation,evidence_anchors,reviewer_confidence
MWM-0018,Arti-JEPA: Adapting Video World Model to Real-Time MRI of the Vocal Tract for Speech-Production Analysis,passive_forecasting,none,none,rollout;uncertainty,formal_calibration=no;frozen_external_validation=unclear,high,"Passive dynamics representation learning and measurement, not intervention simulation",No causal-effect language; world-model terminology refers to learned video structure,Representation-based speech measurement only; no clinical decision-impact evaluation,NA,Abstract pp.1-2; Sec. 3 pp.3-5 and Table 9 p.19; Sec. 4 pp.6-9 and Tables 1-4; clinical evaluations pp.10-15 and Tables 5-8; Appendix Tables 12-20 pp.20-25; Limitations p.16,high
MWM-X6FB8E7370E,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,counterfactual,action,rollout;uncertainty,causal,formal_calibration=no;frozen_external_validation=no,medium,Counterfactual: assumed treatment modifications are compared with placebo to estimate endpoint behavior and power,Treatment effects are explicitly hypothetical model parameter changes; causal interpretation is assumption-based,"The Shiny simulator estimates sample size, duration, analysis choice, and power for rare-disease trial design","NI/negative: no adverse-event, treatment-toxicity, or safety-hazard process is modeled","Clinical and Translational Science full text, DOI 10.1002/psp4.70258: Methods on CTS development and simulation; case-report Results and figures/tables; Discussion limitations; Data S1 code examples.",high
MWM-0032,BLINK: Behavioral Latent Modeling of NK Cell Cytotoxicity,action_conditioned,none,rollout;action,uncertainty,formal_calibration=no;frozen_external_validation=no,medium,action-conditioned passive forecasting of cellular behavior and cytotoxicity,No causal or counterfactual claim; action denotes observed NK motion,Assay-level death-progression prediction and exploratory behavioral-mode discovery; no clinical or experimental decision study,NA for clinical deployment; no biological-intervention safety evaluation,"Methods, pp. 3-5: RSSM state, action, decoder, and monotonic outcome; Dataset and protocol, p. 6: recording, tracking, scale, split, and exclusions; Table 1, p. 7: predictive baselines and metrics; Fig. 3, p. 8: latent modes and transitions",high
MWM-0034,Brain-WM: Brain Glioblastoma World Model,counterfactual,none,action,rollout;uncertainty;causal,formal_calibration=no;explicit_causal_estimand=no,high,Claims a counterfactual sandbox for care optimization; evidence supports observed-policy next-treatment classification and conditional one-step MRI synthesis,"Uses counterfactual, co-evolution and causal-dependency language",Retrospective agreement with clinician treatment plans and future MRI; no prospective clinical outcome or decision study,"No hazard, override or failure-management evaluation; risk-free-sandbox wording is not empirically established","p.1 Abstract and Fig. 1; pp.2-5 Sec. III for state, treatments and architecture; pp.5-6 Sec. IV-A and Tables I-II for cohorts and splits; pp.7-9 Figs. 4-7 and Tables III-IV for external results and stratified analyses; p.9 Conclusion",High
MWM-0239,CLARITY: Medical World Model for Guiding Treatment Decisions by Modeling Context-Aware Disease Trajectories in Latent Space,planning,none,rollout;action;uncertainty;decision;safety,none,formal_calibration=no;explicit_causal_estimand=no;closed_loop_evaluation=offline;safety_hazard_test=no,high,counterfactual comparison and closed-loop treatment planning,"Uses counterfactual, optimal-treatment, and disease-trajectory language",Agreement with recorded regimens and blinded preference from two experts over 40 cases; no prospective treatment decision or patient outcome,"Prompt constraints specify dose ranges and incompatibilities; no systematic harmful-recommendation severity test, automation-bias control, human override workflow, monitoring, or incident response","Methods/rollout, pp. 5-10: state, treatments, transition, survival, and iterative planning; Datasets, p. 10: cohort sizes and split; Tables 1-6 and Figs. 5-6, pp. 11-15: baselines, metrics, external test, and expert evaluation; Appendix, pp. 19-24: losses, prompt safety constraints, ablations, and limitations","high for extraction; split integrity, causal treatment claims, and expert evaluation require careful adjudication"
MWM-0040,"CalTwin: Towards Calibrated, Shift-Robust Medical World Models via Fisher-Information Regularisation",passive_forecasting,uncertainty,none,rollout,none,medium,Passive next-state forecasting with cross-site robustness and auxiliary-head calibration,No causal treatment-effect claim,NA; no clinical decision or downstream policy evaluated,NI,"pp.1-4 Abstract and Secs.1-2; pp.4-7 Sec.3; pp.7-10 Sec.4, Tables 1-2, Figs.1-2; pp.11-12 Secs.5-6",High
MWM-XD3411F7D18,"CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling",counterfactual,action,uncertainty;causal,none,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no,medium,Action-conditioned simulation: predict cellular trajectories under unseen regulatory perturbations,"The abstract claims prediction of responses to unseen perturbations by modifying inferred regulatory interactions; this is a model-based counterfactual claim, not an identified treatment effect.",No clinical or operational decision-utility evaluation; biological hypothesis generation is proposed,NA: no clinical/physical deployment safety claim or hazard test,"Accessible primary evidence: bioRxiv v2 abstract/version metadata for DOI 10.64898/2026.03.31.715390 and the official eliasventre/CardamomOT README, configs, dataset modules, tests, experimental_datasets, and article-result scripts. Direct v2 PDF/HTML requests returned HTTP 429 on 2026-09-12.",low
MWM-0294,Cardiac Copilot: Automatic Probe Guidance for Echocardiography with World Model,planning,none,action;decision,rollout;uncertainty;safety,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA;closed_loop_evaluation=offline;safety_hazard_test=no,high,Action-conditioned planning and guidance claims are supported only by offline direct prediction,World-model and planning language; no causal clinical-effect claim,"Offline guidance error and 59.4 ms inference; no user, robot closed-loop or patient outcome",None reported,"pp.1-3 Abstract and Introduction; pp.4-6 Sec. 2 and Fig. 2 for data, state, motion and model; pp.6-8 Sec. 3, Table 1 and Fig. 3 for held-out errors and latency; p.8 Conclusion",High
MWM-X1BBCF32528,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics",passive_forecasting,rollout,uncertainty,none,formal_calibration=no;frozen_external_validation=no,routine,"Passive simulation, interpolation, and forecasting of developmental cell-state distributions",Developmental dynamics/forecasting language without intervention-effect claims,"Offline trajectory, spatial, topology, and regulatory fidelity analyses; no experimental decision or intervention evaluation",NA: nonclinical developmental modeling,"bioRxiv v1 Figs. 1-5 and supplements; Methods datasets, deterministic stage splits, generation, and metrics; Software/Data Availability; DOI 10.64898/2026.02.25.707938",high
MWM-X962473BB89,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,action_conditioned,none,none,rollout;action;uncertainty,formal_calibration=no,high,"Claims an action-conditioned one-step cell transition and perturbation prediction; evidence directly supports passive temporal population forecasting and transferable dynamics representations, but not a standalone action-conditioned perturbation operator, counterfactual validity, planning, or rollout","Uses intervention and do(a) notation and calls the model action-conditioned, while explicitly stating that the world-model analogy is predictive only and that planning or rollout is not claimed","No clinician, policy, screening, or control decision evaluation; downstream tasks are forecasting, representation, and fate/perturbation prediction","A qualitative dual-use discussion is provided, but no defined biological hazard, severity, failure stress test, constraint, override, or monitoring evaluation is reported","Abstract and pp. 2-7 for claim, model, pretraining corpus, and protocol; Tables 1-4 on pp. 8-9; Scope on pp. 9-10; Appendices A-C and Tables 5-6 on pp. 12-15; uncertainty limitation on p. 16; ablations on pp. 17-18; NeurIPS checklist pp. 19-25",medium
MWM-0046,ChronoMedicalWorld: A Medical World Model for Learning Patient Trajectories from Longitudinal Care Data,counterfactual,rollout;action,none,uncertainty;causal,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no,high,Action-conditioned forecasting with a what-if interface; not a causally identified counterfactual model,Uses counterfactual intervention and what-if language while explicitly stating it is not a causal estimator,Hypothetical digital-twin and decision-support use only; no clinician or policy-impact study,"Physiology priors, jump penalty, and clipping; no clinical-hazard or subgroup-safety evaluation","Abstract p.1; Sec. 2.4 pp.3-4, including non-causal qualification; Sec. 3 and Fig. 1 pp.4-6; Sec. 4 and Tables 1-3 pp.6-8; Sec. 5 and Tables 4-5 pp.8-9; Secs. 6.2 and 6.4 p.10",high
MWM-XC0A20D0271,Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories,action_conditioned,rollout,action,uncertainty,formal_calibration=no;frozen_external_validation=no,medium,"Action-conditioned latent patient-trajectory forecasting/simulation and reusable risk representation; no causal alternative-treatment, counterfactual, or planning evidence","Describes a patient-state simulator conditioned on a proposed action sequence, but does not use causal, treatment-effect, counterfactual, or policy-value claims","Offline shallow-probe utility on seven early-event and eight stay-level risk tasks; no clinician workflow, treatment policy, or prospective decision evaluation","No clinical hazard definition, harmful-recommendation analysis, subgroup worst-case safety test, override, or monitoring evaluation","Abstract and pp. 2-6 for claims, state/action encoding, transition, and curriculum; Fig. 2 and Sec. 5.2 pp. 6-7 for 48-hour rollout; Fig. 3 pp. 8-9 for state geometry; Fig. 4 and Sec. 5.4 p. 9; Appendices A-D pp. 13-18 for features, hyperparameters, ablations, and confidence intervals",high
MWM-XA5A2F4844E,Control of Magnetic Surgical Robots With Model-Based Simulators and Reinforcement Learning.,planning,decision,rollout;action;safety,uncertainty,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA,high,Planning — policy selects sequential coil commands using learned-model rollouts.,NA: control performance is not framed as an identified causal treatment effect,Real-hardware RMS error is approximately 5.3-7.4 mm for model-based agents versus about 31 mm for the pure-physics-simulator agent on reported tasks,"Coil overheating/cooling, magnetic dead zones, zero-current avoidance, workspace resets, and supervision are described; no biological safety or formal hazard stress test","IEEE TMRB full text, DOI 10.1109/TMRB.2022.3214426: Secs. II-B-II-D on data, model, and TD3; Sec. III and Figs. 4-7 on model loss and real-robot transfer; hardware safety descriptions.",high
MWM-S004,Cosmos-H-Surgical: Learning Surgical Robot Policies from Videos via World Modeling,planning,none,action;uncertainty;decision;safety,rollout,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA;closed_loop_evaluation=offline,high,Video world modeling for surgical-policy data augmentation; evidence does not establish an action-conditioned physical simulator or closed-loop planning,No causal-effect claim,Reduced offline action-prediction MSE; no quantified closed-loop task success or physical execution,"Expert anatomical/tool-consistency review and successful-demo-only data; no failure, hazard, or adverse-event evaluation","Abstract and artifact links p.1; Sec. 3 pp.4-5; Sec. 4, Tables 1-2, and Figs. 4-8 pp.5-9; Conclusion p.8; Supplement pp.12-15",high
MWM-0054,CrossScope: A Role-Asymmetric World Model for Joint Dual-Scope Surgical Video Prediction,action_conditioned,action,none,rollout;uncertainty,formal_calibration=no;frozen_external_validation=no,high,"action-conditioned proxy, joint short-horizon dual-view video forecasting",Does not make an identified causal treatment claim; trajectory conditioning is a visual proxy,"Geometric and video fidelity only; no downstream navigation policy, clinician study, or procedural outcome","Ethics and de-identification are described; no hazard, harmful-output, physical constraint, override, or monitoring evaluation","Benchmark overview, p. 2: paired data and counts; Methods, pp. 3-5: latent streams, routing, trajectory proxy, and horizon; Tables 1-2 and Fig. 6, pp. 5-7: baselines and fidelity; Appendix Tables 4-10, pp. 11-15: geometry metrics, controls, seeds, and implementation; Appendix p. 15: traces are independent windows",high
MWM-XD7F5DAFF27,DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer.,planning,decision,rollout;action;uncertainty;safety,none,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no;closed_loop_evaluation=offline;safety_hazard_test=no,high,Planning: compare and select sequential treatment plans using learned digital-twin outcomes,The title and system use intervention/counterfactual language; propensity matching supports comparison but does not identify individual treatment effects,"Participatory design included three oncologists, formative work with 11 physicians, and two clinician-centered qualitative case studies; no prospective clinical decision trial was performed.","Visual uncertainty, multiple model views and design for healthy skepticism are discussed; no explicit harmful-recommendation or recovery test","Accepted author manuscript arXiv:2407.13107, Sections 3-5, Figs. 5-8, quantitative tables, and Appendix A.2. Main text reports n=526, while Appendix A.2 reports n=536=389+147; both values are retained as an unresolved publication inconsistency.",high
MWM-XFA677C184B,DRIFT: Direct-Recursive Intervention-Conditioned Forecasting of ICU Physiological Trajectories,action_conditioned,rollout;action,none,uncertainty,formal_calibration=no;frozen_external_validation=no,medium,"Action-conditioned factual forecasting; the paper explicitly rejects causal treatment-effect, counterfactual, policy, action-generation, and recommendation interpretations","Explicitly states that actions are predictive covariates, DRIFT estimates neither a policy nor counterfactual outcomes, replacement audits input dependence, and results do not establish causal effects or clinical benefit","No clinician, treatment-policy, recommendation, or prospective workflow evaluation; utility is forecasting accuracy and input-dependence auditing",No clinical hazard/severity framework or intervention-safety test; exploratory subgroup reversals are descriptive and not a safety evaluation,"Main text pp. 1-7 for claim boundary, model, datasets, replacement audit, results, and limitations; Tables 1-4 pp. 6-7; Appendices B-C pp. 10-20 for cohort, preprocessing, losses, seeds, and checkpoint robustness; Appendix D pp. 21-24 for action audits; Appendices F-H pp. 25-34 for rollout diagnostics, code status, and eICU replication",high
MWM-0369,Data-Efficient Reinforcement Learning for Malaria Control,planning,decision,rollout;action;uncertainty,safety,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA;safety_hazard_test=no,high,closed-loop planning for malaria-control policy in simulation,No observational causal-effect claim; dynamics and rewards are defined by the simulator,Simulated malaria-control policy reward only; no policymaker study or field deployment,"Economic cost-effectiveness enters the simulator reward; no clinical hazard, equity, override, monitoring, or simulator-exploitation analysis","Problem and method, pp. 1-4: MDP, state/action, GP transition, uncertainty bonus, and search; Theorem, pp. 4-5: sample complexity; Experiments, Table 1 and Fig. 4, pp. 5-6: simulators, baselines, 20-trial budget, and 10-run results",high
MWM-X2BD39C3B8E,Deep Generative Model of Macrophage Immune Response for Hepato-intestinal Tumor Therapy Optimization.,planning,decision;safety,rollout;action;uncertainty,none,formal_calibration=no;explicit_causal_estimand=no,medium,planning,"Causal-transformer/optimization terminology but explicit statement that learned relations are associations, not formal causation","Nonrandomized physician use in 156 discordant cases: ORR 47.4% vs 28.2%, median PFS 9.8 vs 6.0 months; selection bias acknowledged","Toxicity is an optimization objective; grade 3-4 adverse events and discontinuation were compared in 156 discordant cases, without randomized safety confirmation or an override/recovery test","Primary journal PDF Figs. 1-4; cohort/completeness and temporal holdout Methods; TDM, MPC/CEM, training and evaluation Methods; trajectory Results; Table 4; deployment, limitations, and Reproducibility sections",high
MWM-X872C154484,Development of a model-based clinical trial simulation platform to optimize the design of clinical trials for Duchenne muscular dystrophy.,counterfactual,rollout;action,uncertainty,causal,formal_calibration=no;explicit_causal_estimand=no,medium,Counterfactual — placebo/historical-control versus hypothetical active treatment trial simulation.,Uses hypothetical treatment-effect and trial-simulation language; it does not identify a causal effect from observed treatment assignment,"Trial-design platform for endpoint, enrichment, duration, placebo/historical-control, and treatment-effect scenarios; no prospective decision-impact study.","NI/negative: treatment toxicity, adverse events, and safety hazards are not represented","Clinical and Translational Science full text, DOI 10.1002/psp4.12753: cohort/model-development Methods; internal and external VPC Results; trial-simulation platform description; Appendix S5 model code.",high
MWM-X1305C7353F,Digital twin brain simulator for real-time consciousness monitoring and virtual intervention using primate electrocorticogram data,action_conditioned,rollout;action,uncertainty,none,formal_calibration=no;frozen_external_validation=no,routine,"Action-conditioned simulation: generate ECoG after global, network-level or regional latent intervention",Virtual intervention and digital-twin language is used without an identified causal treatment effect,No clinical decision outcome; virtual intervention localizes networks and tests mechanistic hypotheses,"No physiological hazard, dose limit, failure recovery or real intervention safety evaluation","npj Digital Medicine PMCID PMC11811282: Methods on ECoG data, hierarchical V-RNN, data assimilation, and virtual intervention; Figs. 2-5, Table 1, supplementary 1-100-step prediction results, and 2,000-step intervention; Data Availability; h-idei/pvrnn_sa repository checked.",high
MWM-XF38CEA9063,Digital twin models for predicting venetoclax and azacitidine-induced neutropenia in patients with acute myeloid leukemia.,action_conditioned,rollout,action;uncertainty,none,formal_calibration=no;frozen_external_validation=no,medium,action_conditioned,Mechanistic drug-effect/simulation language without treatment-effect identification claim,Retrospective toxicity forecasting and proposed schedule design; no clinician comparison/prospective use,Neutropenia is explicit life-threatening toxicity target; no deployed alert/override or prospective safety endpoint,"Primary article Figs. 1-3 and Table 2; Model fitting and continuous updating Results; Methods patient selection, multi-cycle learning, interpolation, and statistics; Data/Code availability",high
MWM-0068,DreamReg: Belief-Driven World Model for 2D-3D Ultrasound Registration,planning,decision,rollout;action,uncertainty;safety,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=NA;safety_hazard_test=no,high,"Closed-loop iterative registration is demonstrated in simulated slice rendering, not live ultrasound navigation",Action-observation coupling and imagination language; no treatment-causal claim,"Registration accuracy and 40-56 FPS runtime; no clinician, robot or patient study","No hazard analysis, safe-action constraints, fallback or override evaluation","p.1 Abstract; pp.3-6 Sec. 2 and Figs. 1-2 for state, actions and dynamics; pp.6-8 Sec. 3 and Tables 1-2 for datasets, horizons, metrics and ablations; p.9 Conclusion",High
MWM-0073,ECG-WM: A Physiology-Informed ECG World Model for Clinical Intervention Simulation,counterfactual,rollout,action;uncertainty;causal,none,formal_calibration=no;explicit_causal_estimand=no,medium,Counterfactual drug-response simulation and risk-aware treatment ranking,Uses closed-loop counterfactual simulation and personalized treatment language,Comparative intervention ranking against risk proxy and reported expert-informed preferences; no prospective clinical decision study,"Physiological ODE constraint, hallucination/error audits, missing-lead tests, and graceful-degradation stress test","pp.1-5 Abstract, Secs.1-4, Figs.1-2; pp.6-9 Sec.5, Tables 1-4; pp.9-10 Sec.6; pp.13-19 Apps.A-B, Figs.3-9, Tables 5-8",High
MWM-0074,EHRWorld: A Patient-Centric Medical World Model for Long-Horizon Clinical Trajectories,counterfactual,rollout,none,action;uncertainty;causal,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no,high,Action-conditioned clinical trajectory simulation; causal and counterfactual wording is not supported by causal identification,Describes causal sequential and causally grounded simulation and mentions counterfactual futures,"No downstream treatment optimization, clinician study, or prospective decision-utility test",Ethics section notes observational bias and need for human oversight; no operational safety test,"Abstract pp.1-2; Sec. 3 and Fig. 2 pp.3-4; Sec. 4 pp.4-5 and Algorithm 1 p.13; Sec. 5 pp.5-8, Tables 1-2, and Fig. 3; Limitations and Ethics p.9; Appendices A and C pp.11-14",high
MWM-0242,EchoWorld: Learning Motion-Aware World Models for Echocardiography Probe Guidance,action_conditioned,action,none,rollout;uncertainty,formal_calibration=no;frozen_external_validation=no,high,Claims action-conditioned simulation and guidance; evidence supports pairwise feature prediction and offline imitation on held-out scans,"Simulates visual changes under motion, without a causal clinical-effect claim","Offline probe-guidance errors and runtime; no novice, robot closed-loop or patient study",None reported,"p.1 Abstract; pp.3-6 Secs. 3-4 and Fig. 4 for collection, state, motion and objectives; pp.6-8 Sec. 5, Tables 1-3 and Figs. 7-9 for held-out results and ablations; pp.12-14 supplement A-C for split, planes and training details",High
MWM-0077,EyeWorld: A Generative World Model of Ocular State and Dynamics,counterfactual,none,action,rollout;uncertainty;causal,formal_calibration=no;frozen_external_validation=no;explicit_causal_estimand=no,high,counterfactual comparison and progression forecasting in image space,Uses counterfactual and disease-progression language for prompt-edited images,"The paper proposes follow-up prioritization and disease monitoring, but reports no prospective clinician decision study or patient outcome","A non-diagnostic, human-oversight statement is provided; no harmful-generation test, severity analysis, override protocol, monitoring, or incident response","Data overview, pp. 5-7: sources, scale, splits, and exclusions; Fig. 7, pp. 16-18: longitudinal progression synthesis and metrics; Fig. 8, pp. 19-21: counterfactual prompt edits; Limitations and Methods, pp. 24-31: hallucination caveat, architecture, conditioning, and training",moderate-high; counterfactual interpretation requires careful adjudication
MWM-0078,Failure Detection for Surgical Robot Imitation Policies via Flow-Matching World Modeling,action_conditioned,action;uncertainty,none,rollout,frozen_external_validation=no,medium,Runtime safety-monitor claim is tested offline; evidence supports action-conditioned failure detection on recorded robot episodes,Nominal-consistency language; no causal treatment-effect claim,"Offline detection of failures; no online interruption, recovery or patient-benefit evaluation","Failure modes are detected offline, but no online stop, recovery, override or harm-severity protocol is evaluated","p.1 Abstract; p.2 Fig. 1; pp.3-4 Sec. III for states, actions and flow model; pp.4-6 Sec. IV and Table I for tasks, calibration and counts; p.7 Figs. 5-6 for action and horizon ablations; p.8 Limitations",High
MWM-0094,Future Querying: Can LLMs Serve as Implicit Medical World Models?,passive_forecasting,none,none,rollout;uncertainty,formal_calibration=no;frozen_external_validation=no,high,"Passive, endpoint-agnostic forecasting; implicit medical world model",Counterfactual treatment simulation is mentioned only as a potential downstream use,Potential care planning/resource allocation stated; not empirically evaluated,NI,"pp.1-4 Abstract and Secs.1-4, Fig.1; pp.5-6 Secs.5.1-5.3, Fig.2; pp.7-8 Secs.5.4-6, Figs.3-4",High
MWM-0095,"GEMEO: the first patient world model for rare disease, grounding generative clinical trajectories in the genome and a biomedical knowledge graph",action_conditioned,uncertainty,rollout;action,none,frozen_external_validation=unclear,medium,Validated for Level-1 prediction and a Level-2 action-association test; Level-3 counterfactual capability is a design target only,Uses counterfactual language for a future Level-3 target; current action test is associative,Research benchmark and proposer-verifier evidence paths; no prospective clinician or decision-impact study,Deterministic evidence paths and research-only oversight language; no recommendation-hazard evaluation,"Abstract p.1; Sec. 2 pp.2-3; Sec. 3 pp.3-6 and Tables 1-3; Sec. 4 p.6; Methods p.7; Limitations, Ethics, and Data statements pp.7-8",medium
