audit_id,route,title,reviewer_c_decision,reviewer_c_reason_code,reviewer_c_rationale,reviewer_d_decision,reviewer_d_reason_code,reviewer_d_rationale
ALT-e86bc8b02c40,fresh_alternate_public_search,Building digital twins of the human immune system: toward a roadmap.,exclude,no_primary_empirical_evaluation,This perspective proposes an immune digital-twin roadmap without eligible empirical evaluation or substantive world-model synthesis.,include,include_review,"This review primarily synthesizes dynamic medical digital twins for building digital twins human immune system roadmap, including prediction, simulation, or intervention use."
ALT-61ae05403063,fresh_alternate_public_search,Data-driven Huntington's disease progression modelling and estimation of societal cost in the UK.,include,include_empirical,A data-fitted continuous-time hidden Markov model simulates disease trajectories and hypothetical intervention scenarios.,exclude,no_learned_dynamics,The data driven huntington s disease progression estimation societal cost uk study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-57f713cb9c2e,fresh_alternate_public_search,Data-driven model discovery and model selection for noisy biological systems.,include,include_empirical,Neural networks learn biological dynamics whose simulations recover a single-cell state-transition model.,exclude,no_learned_dynamics,The data driven discovery selection noisy biological systems study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-66f6aefba9e2,fresh_alternate_public_search,Decomposing heterogeneity in disease progression speeds and pathways.,include,include_empirical,The learned continuous-time hidden Markov model infers transitions and predicts future ALS trajectories.,exclude,no_learned_dynamics,The decomposing heterogeneity disease progression speeds pathways study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.
ALT-cf60ad3588b1,fresh_alternate_public_search,Deep neural networks for endemic measles dynamics: Comparative analysis and integration with mechanistic models.,include,include_empirical,Data-learned spatiotemporal measles dynamics are evaluated through multi-horizon forecasts and latent-state reconstruction.,exclude,no_learned_dynamics,The deep neural networks endemic measles dynamics comparative integration mechanistic study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-50502bb290be,fresh_alternate_public_search,Deep recurrent model for individualized prediction of Alzheimer’s disease progression,uncertain,insufficient_abstract,"The title suggests temporal disease modeling, but missing details prevent confirming transition or rollout evaluation.",exclude,no_future_or_action_evaluation,"The deep recurrent individualized prediction alzheimer s disease progression study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-9a315a53cb0a,fresh_alternate_public_search,Design of high-performance digital twins to enhance magnetic resonance imaging patient positioning,uncertain,insufficient_abstract,"The medical digital-twin title is relevant, but no abstract reveals learned dynamics or evaluated rollouts.",exclude,no_learned_dynamics,"The design high performance digital twins enhance magnetic resonance imaging patient record describes a static, conceptual, or mechanistic twin without learned temporal transitions."
ALT-8b76200f7bab,fresh_alternate_public_search,Development and validation of a chronic kidney disease progression model using patient-level simulations.,include,include_empirical,A data-informed patient-level state-transition model simulates and validates longitudinal CKD progression and complications.,exclude,review_not_primary,This review centers on validation chronic kidney disease progression patient level simulations rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-d6d9b0f712ec,fresh_alternate_public_search,Development of a Novel Machine Learning Method for Estimation of Life-Long Chronic Disease Progression and Its Application to Type 2 Diabetes.,include,include_empirical,The machine-learned model reconstructs and evaluates thirty-year biomarker trajectories from longitudinal clinical data.,exclude,no_learned_dynamics,The machine learning method estimation life long chronic disease progression its study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.
ALT-beb122ebb1f2,fresh_alternate_public_search,Development of the simulation-based German albuminuria screening model (S-GASM) for estimating the cost-effectiveness of albuminuria screening in Germany.,include,include_empirical,This evidence-parameterized individual disease simulator evaluates longitudinal outcomes under alternative screening interventions.,exclude,no_learned_dynamics,The simulation german albuminuria screening estimating cost effectiveness albuminuria screening germany study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-d9b3b5b61cb1,fresh_alternate_public_search,Digital Representation of Patients as Medical Digital Twins: Data-Centric Viewpoint.,include,include_review,This medical digital-twin viewpoint proposes a taxonomy of patient representations and their clinical-pathway uses.,exclude,review_not_primary,This review centers on digital representation patients as medical digital twins data centric viewpoint rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-386154555f3d,fresh_alternate_public_search,Digital Twins for Personalized Medicine Require Epidemiological Data and Mathematical Modeling: Viewpoint.,include,include_review,"This medical digital-twin viewpoint synthesizes modeling foundations, clinical applications, and implementation challenges.",exclude,review_not_primary,This review centers on digital twins personalized medicine require epidemiological data mathematical viewpoint rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-2ff62462ed4f,fresh_alternate_public_search,Digital Twins: From Personalised Medicine to Precision Public Health.,exclude,review_not_primary,"This generic overview spans medicine, public health, and cities without focused healthcare world-model evidence synthesis.",include,include_review,"This review primarily synthesizes dynamic medical digital twins for digital twins personalised medicine precision public health, including prediction, simulation, or intervention use."
ALT-6557539979ea,fresh_alternate_public_search,Digital-twin Healthcare: A Gateway to Future Medicine (Preprint),exclude,review_not_primary,Reviews medical digital twins broadly rather than healthcare world models with an operational taxonomy or evidence map.,include,include_review,"This review primarily synthesizes dynamic medical digital twins for digital twin healthcare gateway future medicine, including prediction, simulation, or intervention use."
ALT-f58f7b29b390,fresh_alternate_public_search,Disease Modeling and External Model Evaluation Through Clinical Data Sharing Platform for HR+/HER2- Breast Cancer.,exclude,no_learned_dynamics,This pharmacometric tumor-growth and survival model lacks learned state-transition dynamics.,include,include_empirical,The disease external through clinical data sharing platform hr her2 breast study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-d7f5daff27f0,fresh_alternate_public_search,DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer.,exclude,no_learned_dynamics,The sequential reinforcement-learning twin predicts risks but does not describe a learned dynamics model.,include,include_empirical,The ditto visual digital twin interventions temporal treatment outcomes head neck study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-436d568a61b6,fresh_alternate_public_search,"Drug Development Digital Twins for Drug Discovery, Testing and Repurposing: A Schema for Requirements and Development.",exclude,no_primary_empirical_evaluation,This perspective proposes a digital-twin schema without primary empirical model evaluation.,include,include_review,"This review primarily synthesizes dynamic medical digital twins for drug digital twins drug discovery testing repurposing schema requirements, including prediction, simulation, or intervention use."
ALT-4d8c92d03168,fresh_alternate_public_search,DYNAMIC CLASSIFICATION OF LATENT DISEASE PROGRESSION WITH AUXILIARY SURROGATE LABELS.,include,include_empirical,A hidden Markov transition model predicts future disease states and is evaluated in simulations and NACC data.,exclude,no_learned_dynamics,The dynamic classification latent disease progression auxiliary surrogate labels study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.
ALT-5da29b0ea727,fresh_alternate_public_search,Editorial: The future of oncology: digital twins and precision cancer care.,uncertain,insufficient_abstract,"The oncology digital-twin editorial may offer clinical-translation synthesis, but absent content prevents eligibility assessment.",exclude,no_primary_empirical_evaluation,"The editorial future oncology digital twins precision cancer care record is editorial, corrective, conceptual, or consensus-based and lacks a primary learned-dynamics evaluation."
ALT-95ce497fab31,fresh_alternate_public_search,EE221 ECONOMIC IMPACT OF AN AI-ENABLED DIGITAL TWIN INTERVENTION IN TYPE 2 DIABETES,uncertain,insufficient_abstract,"The title mentions a diabetes digital twin, but no abstract permits assessment of learned dynamics or rollout evaluation.",exclude,no_learned_dynamics,"The ee221 economic impact ai enabled digital twin intervention type 2 record describes a static, conceptual, or mechanistic twin without learned temporal transitions."
ALT-daca74f7c431,fresh_alternate_public_search,"Erotic cue exposure increases physiological arousal, biases choices toward immediate rewards, and attenuates model-based reinforcement learning.",include,include_empirical,"The study tests physiologically modulated model-based reinforcement learning, directly evaluating transition-based planning control in humans.",exclude,no_future_or_action_evaluation,"The erotic cue exposure increases physiological arousal biases choices immediate rewards study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-3620e85be32e,fresh_alternate_public_search,"Erotic cue exposure increases physiological arousal, biases choices towards immediate rewards and attenuates model-based reinforcement learning",include,include_empirical,"The study tests physiologically modulated model-based reinforcement learning, directly evaluating transition-based planning control in humans.",exclude,no_future_or_action_evaluation,"The erotic cue exposure increases physiological arousal biases choices immediate rewards study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-75c423c80690,fresh_alternate_public_search,Exploring the suitability of piecewise-linear dynamical system models for cognitive neural dynamics.,include,include_empirical,Data-fitted rSLDS models predict future neural states and are evaluated on simulated and monkey recordings.,exclude,no_future_or_action_evaluation,"The exploring suitability piecewise linear dynamical system cognitive neural dynamics study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-27768d84fbdd,fresh_alternate_public_search,Exposure-safety Markov modeling of ocular adverse events in patient populations treated with tisotumab vedotin.,include,include_empirical,A data-fitted Markov transition model evaluates longitudinal ocular-state responses under alternative drug exposures.,exclude,review_not_primary,This review centers on exposure safety markov ocular adverse events patient populations treated tisotumab rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-a34805bc05f7,fresh_alternate_public_search,Fast-acting insulin aspart (Fiasp®) improves glycemic outcomes when used with MiniMed,include,include_empirical,The clinically adapted virtual-patient simulator compares insulin substitutions through validated 90-day closed-loop rollouts.,exclude,no_primary_empirical_evaluation,"The fast acting insulin aspart improves glycemic outcomes when used minimed record is editorial, corrective, conceptual, or consensus-based and lacks a primary learned-dynamics evaluation."
ALT-ba03c9107843,fresh_alternate_public_search,Fictive Learning in Model-based Reinforcement Learning by Generalized Reward Prediction Errors,include,include_empirical,The fitted internal model learns action-outcome correlations and reproduces rodent behavior and dopaminergic dynamics through simulation.,exclude,no_future_or_action_evaluation,"The fictive learning reinforcement learning by generalized reward prediction errors study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-f31edb288d07,fresh_alternate_public_search,Forum on immune digital twins: a meeting report.,include,include_review,"This meeting synthesis maps immune digital-twin projects, translational challenges, and a five-year development agenda.",exclude,review_not_primary,This review centers on forum immune digital twins meeting report rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-ae68eb54e309,fresh_alternate_public_search,Frontoparietal network activity during model-based reinforcement learning updates is reduced among adolescents with severe sexual abuse.,include,include_empirical,A fitted model-based reinforcement-learning system evaluates action-outcome representations in a clinically relevant trauma cohort.,exclude,no_learned_dynamics,The frontoparietal network activity during reinforcement learning updates is reduced among record does not describe a learned temporal or action-conditioned medical dynamics model.
ALT-04d5c0ebe6f3,fresh_alternate_public_search,Gambling Environment Exposure Increases Temporal Discounting but Improves Model-Based Control in Regular Slot-Machine Gamblers.,include,include_empirical,Model-based reinforcement learning evaluates action-conditioned control changes among gamblers across real-world contexts.,exclude,no_learned_dynamics,The gambling environment exposure increases temporal discounting but improves control regular study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.
ALT-e36be08e8db3,fresh_alternate_public_search,Generative morphodynamic forecasting enables robust zero-shot volumetric medical segmentation.,exclude,no_future_or_action_evaluation,"Forecasted latent priors are evaluated only through segmentation performance, not future-state or rollout accuracy.",include,include_empirical,The generative morphodynamic forecasting enables robust zero shot volumetric medical segmentation study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-46fd7430b78a,fresh_alternate_public_search,Graph-Enhanced Management-Context-Aware Multi-Step Forecasting of Hourly Sensor-Derived Physiological and Behavioral Indicators in Hu Sheep,include,include_empirical,A learned long-context model directly evaluates multi-step forecasts of physiological and behavioral animal states.,exclude,no_future_or_action_evaluation,"The graph enhanced management context aware multi step forecasting hourly sensor study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-f7c03f16c952,fresh_alternate_public_search,Healthcare cyberspace: medical cyber physical system in digital twin,uncertain,insufficient_abstract,The broad healthcare digital-twin title cannot establish learned dynamics or empirical rollout evaluation without an abstract.,exclude,no_learned_dynamics,"The healthcare cyberspace medical cyber physical system digital twin record describes a static, conceptual, or mechanistic twin without learned temporal transitions."
ALT-77e8f9271a36,fresh_alternate_public_search,Hierarchical Bayesian modelling of disease progression to inform clinical trial design in centronuclear myopathy.,include,include_empirical,The Bayesian model learns natural-history trajectories and evaluates simulated untreated counterfactuals against post-treatment outcomes.,exclude,no_future_or_action_evaluation,"The hierarchical bayesian disease progression inform clinical trial design centronuclear myopathy study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-11ca23d625dd,fresh_alternate_public_search,How to improve statistical power in a trial with SCA2 patients using natural history data.,include,include_empirical,The learned progression model forecasts untreated trajectories and evaluates their counterfactual use in a clinical trial.,exclude,no_future_or_action_evaluation,"The how improve statistical power trial sca2 patients natural history data study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-d527b2b5e8f4,fresh_alternate_public_search,Human Digital Twin for Personalized Elderly Type 2 Diabetes Management.,include,include_empirical,The adaptive diabetes twin evaluates learning-based predictive control of personalized insulin delivery.,exclude,review_not_primary,This review centers on human digital twin personalized elderly type 2 diabetes management rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-3ab5d5dbce77,fresh_alternate_public_search,IDDF2023-ABS-0192 Multi-omics landscape of disease progression characterized by an interpretable multimodal model vec3d,uncertain,insufficient_abstract,The relevant-looking multimodal progression title lacks details about temporal dynamics and rollout evaluation.,exclude,no_future_or_action_evaluation,"The iddf2023 abs 0192 multi omics landscape disease progression characterized by study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-ad2c2c11044d,fresh_alternate_public_search,Inferring Trajectories of Psychotic Disorders Using Dynamic Causal Modeling.,include,include_empirical,The fitted generative dynamics model simulates symptom trajectories and empirically evaluates trajectory and parameter recovery.,exclude,review_not_primary,This review centers on inferring trajectories psychotic disorders dynamic causal rather than evaluated medical learned world-model dynamics as its primary subject.
ALT-d3993e000d34,fresh_alternate_public_search,Integrated Longitudinal Population Dose-Hemoglobin Response of Daprodustat Following Dose Titration in Patients With Anemia in Chronic Kidney Disease.,include,include_empirical,A data-calibrated dose-conditioned transit model predicts hemoglobin responses and validates titration simulations.,exclude,no_learned_dynamics,The integrated longitudinal population dose hemoglobin response daprodustat following dose titration study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-8e4690fb56cd,fresh_alternate_public_search,Interpretable learning of temporal cellular dynamics from single-cell data.,include,include_empirical,Neural ODE dynamics learned from single-cell data are benchmarked on reconstructing cellular transitions.,exclude,no_learned_dynamics,The interpretable learning temporal cellular dynamics single cell data study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-6b7467bd30eb,fresh_alternate_public_search,Is San Diego California on Track to Reach HCV Elimination? A Modeling Analysis of Combination Prevention Strategies.,include,include_empirical,A data-calibrated dynamic HCV model projects disease states under treatment and transmission-risk counterfactuals.,exclude,no_future_or_action_evaluation,"The is san diego california track reach hcv elimination combination prevention study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-1989194480f7,fresh_alternate_public_search,Latent process model of the 6-minute walk test in Duchenne muscular dystrophy : A Bayesian approach to quantifying rare disease progression.,include,include_empirical,A data-fitted latent disease dynamics model generates posterior simulations of longitudinal walking trajectories.,exclude,no_future_or_action_evaluation,"The latent process 6 minute walk test duchenne muscular dystrophy bayesian study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-d03766bf85b3,fresh_alternate_public_search,Learning Covariate Relations in Disease Progression Models Using Symbolic Neural Networks.,include,include_empirical,Symbolic neural networks learn covariate-conditioned Markov transitions and are evaluated on predictive performance.,exclude,no_future_or_action_evaluation,"The learning covariate relations disease progression symbolic neural networks study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-792483034b08,fresh_alternate_public_search,LNODE: Uncovering the Latent Dynamics of A β in Alzheimer's Disease.,include,include_empirical,A subject-adapted neural ODE models longitudinal amyloid state evolution and is evaluated against PET trajectories.,exclude,no_learned_dynamics,The lnode uncovering latent dynamics alzheimer s disease study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-d6abe9c98cda,fresh_alternate_public_search,Mapping the future of medicine through digital twins.,exclude,review_not_primary,Provides a generic medical digital-twin survey without a focused world-model evidence synthesis.,include,include_review,"This review primarily synthesizes dynamic medical digital twins for mapping future medicine through digital twins, including prediction, simulation, or intervention use."
ALT-e928d3e6cc41,fresh_alternate_public_search,Maximizing Knowledge Extraction From Patient-Reported Outcome Data Using Exposure-Outcome Item Response Modeling Approach: Understanding Efavirenz-Induced Central Nervous System Toxicity.,include,include_empirical,A trial-fitted dose-conditioned longitudinal model simulates symptom responses under alternative efavirenz dosing.,exclude,no_future_or_action_evaluation,"The maximizing knowledge extraction patient reported outcome data exposure outcome item study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-e81d9308267a,fresh_alternate_public_search,Medical sensor network and machine learning-enabled digital twins for diagnostic and therapeutic purposes,uncertain,insufficient_abstract,The relevant-looking title lacks details needed to assess learned dynamics and therapeutic-response evaluation.,exclude,no_learned_dynamics,"The medical sensor network machine learning enabled digital twins diagnostic therapeutic record describes a static, conceptual, or mechanistic twin without learned temporal transitions."
ALT-654a209caf98,fresh_alternate_public_search,Model-informed Clinical Trial Design for Autosomal Dominant Tubulointerstitial Kidney Disease: Integrating Disease Progression and Trial Simulation,exclude,no_learned_dynamics,"Title describes disease-progression and clinical-trial simulation, an excluded model-informed trial-design application.",uncertain,insufficient_abstract,"The informed clinical trial design autosomal dominant tubulointerstitial kidney disease integrating title plausibly denotes learned medical dynamics, but the missing abstract does not establish direct future or action evaluation."
ALT-95bfe14c6a9e,fresh_alternate_public_search,"Modeling and Remodeling the Cell: How Digital Twins and HCMV Can Elucidate the Complex Interactions of Viral Latency, Epigenetic Regulation, and Immune Responses.",exclude,review_not_primary,Reviews HCMV biology and proposes immune digital twins without a world-model taxonomy or evidence synthesis.,include,include_review,"This review primarily synthesizes dynamic medical digital twins for remodeling cell how digital twins hcmv can elucidate complex interactions, including prediction, simulation, or intervention use."
ALT-48f2148b8918,fresh_alternate_public_search,Modeling neural coding in the auditory midbrain with high resolution and accuracy,include,include_empirical,Learns stimulus-conditioned neural dynamics and directly validates simulated neural responses across diverse sounds.,exclude,no_future_or_action_evaluation,"The neural coding auditory midbrain high resolution accuracy study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-21155df63ca2,fresh_alternate_public_search,Modelling neural coding in the auditory midbrain with high resolution and accuracy.,include,include_empirical,"Learns stimulus-conditioned neural dynamics and validates simulated responses, adaptation, and masking across sounds.",exclude,no_future_or_action_evaluation,"The neural coding auditory midbrain high resolution accuracy study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-c8668820c69c,fresh_alternate_public_search,Myo-ODE: continuous-time trajectory reconstruction and risk prediction of high myopia via neural ordinary differential equations.,include,include_empirical,Myo-ODE learns continuous refractive dynamics and directly predicts future high-myopia risk from longitudinal clinical data.,exclude,no_learned_dynamics,The myo ode continuous time trajectory reconstruction risk prediction high myopia study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-a5b2a549c79e,fresh_alternate_public_search,Neurobiologically realistic neural network enables cross-scale modeling of neural dynamics.,exclude,no_future_or_action_evaluation,"NBGNet learns neural dynamics but evaluates cross-scale reconstruction and held-out mapping, not future-state rollouts.",include,include_empirical,The neurobiologically realistic neural network enables cross scale neural dynamics study learns or calibrates temporal dynamics and directly evaluates intervention-conditioned rollouts or planning outcomes.
ALT-e32f66429421,fresh_alternate_public_search,New PK/PD model directly links diabetes drug dose to blood glucose level for personalized care.,include,include_empirical,Personalized PK/PD dynamics are fitted from glucose data and evaluated for dose-response prediction and optimization.,exclude,no_learned_dynamics,The pk pd directly links diabetes drug dose blood glucose level study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-ae6a889ecec3,fresh_alternate_public_search,Operations (Management) Warp Speed: Parsimonious Design for Rapid Deployment of Hospital Prediction and Decision Support Framework during a Pandemic,include,include_empirical,Adaptively tuned disease and patient-flow dynamics directly forecast hospital states for operational decision support.,exclude,no_learned_dynamics,The operations warp speed parsimonious design rapid deployment hospital prediction decision study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-ffa943add08e,fresh_alternate_public_search,Paracetamol Concentrations and Time-Course of Ductus Arteriosus Diameter in Extremely Preterm Neonates: A Population Pharmacokinetic-Pharmacodynamic Analysis.,include,include_empirical,Patient-fitted PK/PD dynamics are evaluated through dose-conditioned simulations of ductus closure trajectories.,exclude,no_learned_dynamics,The paracetamol concentrations time course ductus arteriosus diameter extremely preterm neonates study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-e55bda8afb75,fresh_alternate_public_search,Physiology-based patient simulator for blood pressure meter testing,uncertain,insufficient_abstract,"The medical simulator title is relevant, but no abstract reveals whether its dynamics are learned from data.",exclude,no_future_or_action_evaluation,"The physiology patient simulator blood pressure meter testing study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-bad670da34b0,fresh_alternate_public_search,Potential applications of digital twin in medical care,exclude,review_not_primary,"The title indicates a generic medical digital-twin applications review, not a healthcare world-model synthesis.",uncertain,insufficient_abstract,"The potential applications digital twin medical care title plausibly denotes a medical world-model review, but the missing abstract does not establish its primary scope."
ALT-8dac0de7b939,fresh_alternate_public_search,Potential of Interactive VR and Digital Twin for Drug Development and Clinical Trials,exclude,review_not_primary,The broad VR and digital-twin topic does not establish medical world models as the primary review focus.,uncertain,insufficient_abstract,"The potential interactive vr digital twin drug clinical trials title plausibly denotes a medical world-model review, but the missing abstract does not establish its primary scope."
ALT-de9f081824cc,fresh_alternate_public_search,Predicting breast cancer treatment response and prognosis using AI-based image classification.,include,include_empirical,"The sequence model learns treatment-conditioned patient dynamics and evaluates prediction, counterfactual reasoning, and adaptive planning.",exclude,no_future_or_action_evaluation,"The predicting breast cancer treatment response prognosis ai image classification study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-4ec8aacca130,fresh_alternate_public_search,Predicting diabetes mellitus metabolic goals and chronic complications transitions-analysis based on natural language processing and machine learning models.,include,include_empirical,Machine-learning models predict transitions among four clinical diabetes states at one- and two-year horizons.,exclude,no_learned_dynamics,The predicting diabetes mellitus metabolic goals chronic complications transitions natural language study is an ordinary prognostic or static prediction analysis without a learned rollout mechanism.
ALT-1db15c9cac24,fresh_alternate_public_search,Predicting Liver Disease Progression Using Timeseries Random Forest Modeling for Early Intervention and Risk Assessment,uncertain,insufficient_abstract,"The time-series title appears relevant, but no abstract clarifies transition learning, rollout structure, or evaluation.",exclude,no_future_or_action_evaluation,"The predicting liver disease progression timeseries random forest early intervention risk study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-ab6014707f0f,fresh_alternate_public_search,Prediction of Disease Progression and Clinical Response in Systemic Sclerosis: Experience From a Proof-of-Concept Trial.,include,include_empirical,A data-fitted treatment-conditioned progression model predicts held-out longitudinal responses and simulates future trial outcomes.,exclude,no_learned_dynamics,The prediction disease progression clinical response systemic sclerosis experience proof concept study uses prescribed mechanistic or statistical dynamics rather than a learned transition mechanism.
ALT-3c5208bdbe14,fresh_alternate_public_search,Progression of type 1 diabetes from latency to symptomatic disease is predicted by distinct autoimmune trajectories.,include,include_empirical,A learned continuous-time HMM identifies latent disease transitions and evaluates future diabetes-onset trajectories.,exclude,no_future_or_action_evaluation,"The progression type 1 diabetes latency symptomatic disease is predicted by study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
ALT-daa53240ed85,fresh_alternate_public_search,Quantifying Genetic and Environmental Factors Accounting for Multistage Progression of Precancerous Lesions and Oral Cancer: Applications to Risk-Guided Prevention.,include,include_empirical,A data-derived multistate model simulates oral-cancer transitions and counterfactual screening and education strategies.,exclude,no_future_or_action_evaluation,"The quantifying genetic environmental factors accounting multistage progression precancerous lesions oral study analyzes or reconstructs dynamics but does not directly evaluate future states, actions, rollouts, or planning."
